"rel","date","n","sif","nirvr","phif","clim_n","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","window"
-14,2020-12-17,152,-0.0246467898434371,19.8153812772454,-0.00194635024131607,25,0.187678259226977,29.5255246305586,0.00525817056082846,-0.212325049070414,-9.71014335331313,-0.00720452080214452,"baseline"
-13,2020-12-18,33,0.202392089674532,24.9870740435829,0.00719268999040419,25,0.186127903779191,29.6463280238749,0.00527699025946186,0.0162641858953402,-4.65925398029196,0.00191569973094233,"baseline"
-12,2020-12-19,88,0.37968182314018,29.7978249896968,0.0126670428652778,25,0.186749184782417,29.745557419781,0.00520375636166285,0.192932638357763,0.0522675699157809,0.00746328650361496,"baseline"
-11,2020-12-20,0,NA,NA,NA,26,0.195075215738799,30.4339394365013,0.00525637519711781,NA,NA,NA,"baseline"
-10,2020-12-21,519,0.458555195508399,41.5440502583076,0.0106873525959648,26,0.200265582442643,30.456238842122,0.0054623764181041,0.258289613065756,11.0878114161856,0.00522497617786073,"baseline"
-9,2020-12-22,987,0.47162046769715,41.9923166049347,0.0110867530118284,26,0.199697204926643,30.4277953922248,0.00539699340025625,0.271923262770507,11.5645212127099,0.00568975961157218,"baseline"
-8,2020-12-23,2212,0.286488548762771,36.0322735302412,0.00770176551111772,27,0.205668484644377,31.1177787795198,0.00561016114450296,0.0808200641183937,4.91449475072143,0.00209160436661476,"baseline"
-7,2020-12-24,2089,0.368273192364884,39.5930019001879,0.00905285326619036,27,0.213965390999241,30.9989016406224,0.00593460701256345,0.154307801365643,8.59410025956545,0.00311824625362691,"pre7"
-6,2020-12-25,361,0.243922416606745,30.7895592331082,0.00738529332508382,27,0.224820662646179,31.3600097719012,0.00620775747483433,0.019101753960566,-0.570450538793018,0.00117753585024949,"pre7"
-5,2020-12-26,0,NA,NA,NA,27,0.240647952195932,31.3191234962666,0.0068466550134349,NA,NA,NA,"pre7"
-4,2020-12-27,1426,0.450030799527838,44.5601272790264,0.00938624882262863,26,0.254048287260898,31.7665615919643,0.00717554072303355,0.19598251226694,12.7935656870621,0.00221070809959508,"pre7"
-3,2020-12-28,2518,0.315716942378281,37.6968058841419,0.00767701869176185,24,0.250057883343165,31.5841395997682,0.00702598911704856,0.0656590590351162,6.11266628437367,0.00065102957471329,"pre7"
-2,2020-12-29,1224,0.338425784135824,38.0340300947408,0.00877660898503708,23,0.245166765060776,30.9322931810448,0.0070518097489249,0.0932590190750478,7.10173691369597,0.00172479923611218,"pre7"
-1,2020-12-30,755,0.327993441343717,38.1166279699825,0.00841132696059528,22,0.242236482604858,30.5139201397474,0.00695433831974707,0.0857569587388586,7.60270783023511,0.00145698864084822,"pre7"
0,2020-12-31,15,0.324169496695201,34.4756829090295,0.00850519088173163,21,0.242618049982469,30.0949618408403,0.00708983645525986,0.0815514467127316,4.38072106818911,0.00141535442647177,"acute"
1,2021-01-01,0,NA,NA,NA,11,0.208136843216937,28.2745232441616,0.00621477862389344,NA,NA,NA,"acute"
2,2021-01-02,0,NA,NA,NA,10,0.213391229669735,28.62754725729,0.00650550195558499,NA,NA,NA,"acute"
3,2021-01-03,0,NA,NA,NA,9,0.208486780858117,28.3751298222172,0.00649740823474661,NA,NA,NA,"acute"
4,2021-01-04,0,NA,NA,NA,8,0.185803050454686,27.3859281110853,0.00585861814257059,NA,NA,NA,"acute"
5,2021-01-05,0,NA,NA,NA,8,0.174491102338974,26.7233330513801,0.00577518342398635,NA,NA,NA,"acute"
6,2021-01-06,0,NA,NA,NA,9,0.196326643396992,27.4178061521655,0.00639370671327901,NA,NA,NA,"acute"
7,2021-01-07,0,NA,NA,NA,9,0.216112144743766,28.5804799706332,0.00696479212897443,NA,NA,NA,"early"
8,2021-01-08,0,NA,NA,NA,9,0.231804446648335,29.6265255057395,0.00754813893892243,NA,NA,NA,"early"
9,2021-01-09,0,NA,NA,NA,9,0.237961877018777,30.2279759770744,0.00767075000391877,NA,NA,NA,"early"
10,2021-01-10,0,NA,NA,NA,9,0.225325561569523,30.1843570686393,0.00719616976184166,NA,NA,NA,"early"
11,2021-01-11,0,NA,NA,NA,9,0.24414488069419,30.0440313779994,0.00778659532791807,NA,NA,NA,"early"
12,2021-01-12,0,NA,NA,NA,9,0.259627597309798,30.562574604403,0.00812882239673818,NA,NA,NA,"early"
13,2021-01-13,0,NA,NA,NA,9,0.280781662598168,31.5880736634476,0.00860066744610669,NA,NA,NA,"early"
14,2021-01-14,0,NA,NA,NA,9,0.285156591099054,32.4538278892575,0.00853451813732887,NA,NA,NA,"recov2"
15,2021-01-15,0,NA,NA,NA,9,0.269866744450629,32.5360822911917,0.00800013803503919,NA,NA,NA,"recov2"
