"rel","date","n","sif","nirvr","phif","clim_n","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","window"
-14,2021-01-11,0,NA,NA,NA,18,0.20428677785536,27.5917791963289,0.00612047971613907,NA,NA,NA,"baseline"
-13,2021-01-12,0,NA,NA,NA,18,0.215013321330567,27.623407758435,0.0065999171156183,NA,NA,NA,"baseline"
-12,2021-01-13,0,NA,NA,NA,18,0.20904110728854,27.5652107419285,0.00640058569879949,NA,NA,NA,"baseline"
-11,2021-01-14,0,NA,NA,NA,18,0.195794649806326,27.1920128195125,0.00598305307333649,NA,NA,NA,"baseline"
-10,2021-01-15,0,NA,NA,NA,18,0.186913225991864,27.0281050883871,0.00570757447536856,NA,NA,NA,"baseline"
-9,2021-01-16,0,NA,NA,NA,18,0.181865955105781,27.092938349509,0.00547186025205176,NA,NA,NA,"baseline"
-8,2021-01-17,0,NA,NA,NA,18,0.189192307504226,27.9493986583056,0.00559999338183725,NA,NA,NA,"baseline"
-7,2021-01-18,0,NA,NA,NA,18,0.19133801210448,28.6577803978486,0.00567465721573826,NA,NA,NA,"pre7"
-6,2021-01-19,0,NA,NA,NA,18,0.189566691490468,28.7410915897154,0.00549698700547054,NA,NA,NA,"pre7"
-5,2021-01-20,0,NA,NA,NA,18,0.181280589757074,28.4565777858473,0.00519778558789885,NA,NA,NA,"pre7"
-4,2021-01-21,0,NA,NA,NA,18,0.174296405604486,28.589500088198,0.00495439738206887,NA,NA,NA,"pre7"
-3,2021-01-22,0,NA,NA,NA,18,0.185423366687202,29.1133575526755,0.00528874827995277,NA,NA,NA,"pre7"
-2,2021-01-23,0,NA,NA,NA,18,0.187442027849414,29.3521929805292,0.00520799927077034,NA,NA,NA,"pre7"
-1,2021-01-24,0,NA,NA,NA,18,0.183926233336091,29.4567661217801,0.00498577119848225,NA,NA,NA,"pre7"
0,2021-01-25,0,NA,NA,NA,18,0.192679793599211,30.3873082472661,0.00504682656879389,NA,NA,NA,"acute"
1,2021-01-26,0,NA,NA,NA,18,0.182011208401948,29.383852523799,0.00496364336258818,NA,NA,NA,"acute"
2,2021-01-27,0,NA,NA,NA,17,0.172766709294561,28.5575036031034,0.00481285505525719,NA,NA,NA,"acute"
3,2021-01-28,0,NA,NA,NA,17,0.164345299565398,27.993323712326,0.00464017489003809,NA,NA,NA,"acute"
4,2021-01-29,0,NA,NA,NA,17,0.151232355975863,27.6603157833342,0.00415425974991058,NA,NA,NA,"acute"
5,2021-01-30,0,NA,NA,NA,17,0.155223811644416,27.9262779932533,0.004203669376424,NA,NA,NA,"acute"
6,2021-01-31,0,NA,NA,NA,17,0.149265489589951,27.5853548333075,0.00407945337558115,NA,NA,NA,"acute"
7,2021-02-01,0,NA,NA,NA,17,0.136945979934716,26.9144408370299,0.00383941199943768,NA,NA,NA,"early"
8,2021-02-02,0,NA,NA,NA,17,0.157441041300697,25.9175603808532,0.00542618268041608,NA,NA,NA,"early"
9,2021-02-03,0,NA,NA,NA,17,0.156135398253792,24.8289912702721,0.00601103766206595,NA,NA,NA,"early"
10,2021-02-04,0,NA,NA,NA,17,0.173036757504119,26.7459371066632,0.00608607303120522,NA,NA,NA,"early"
11,2021-02-05,0,NA,NA,NA,18,0.172272793463702,26.9562733912193,0.0059770667721395,NA,NA,NA,"early"
12,2021-02-06,0,NA,NA,NA,17,0.179188719564518,27.3538719334832,0.00622210984703048,NA,NA,NA,"early"
13,2021-02-07,0,NA,NA,NA,17,0.180343312816259,27.1596198629209,0.00645075272708927,NA,NA,NA,"early"
14,2021-02-08,0,NA,NA,NA,17,0.173138456976875,27.1019430511754,0.00617935728092004,NA,NA,NA,"recov2"
15,2021-02-09,0,NA,NA,NA,17,0.17228457993714,27.3841956612829,0.00600006441308015,NA,NA,NA,"recov2"
16,2021-02-10,0,NA,NA,NA,17,0.185272992731351,28.0916227020087,0.0061596901337649,NA,NA,NA,"recov2"
17,2021-02-11,0,NA,NA,NA,17,0.165420567291659,29.7676114413777,0.00456927848550649,NA,NA,NA,"recov2"
18,2021-02-12,0,NA,NA,NA,17,0.16540656666548,31.246630307307,0.00405232546752157,NA,NA,NA,"recov2"
19,2021-02-13,0,NA,NA,NA,17,0.1443941867173,29.3228707479925,0.00377854384218862,NA,NA,NA,"recov2"
20,2021-02-14,0,NA,NA,NA,17,0.141807821942106,29.3783848706031,0.00369085177459167,NA,NA,NA,"recov2"
21,2021-02-15,0,NA,NA,NA,18,0.146205926039254,29.8536722997015,0.00379000399825945,NA,NA,NA,"recov3"
22,2021-02-16,0,NA,NA,NA,18,0.161833916404438,30.9976951841613,0.00412819364068835,NA,NA,NA,"recov3"
23,2021-02-17,0,NA,NA,NA,18,0.164674410195657,31.3983297743482,0.004127534873059,NA,NA,NA,"recov3"
24,2021-02-18,0,NA,NA,NA,18,0.168176738047428,32.0645198653028,0.00417437911074177,NA,NA,NA,"recov3"
25,2021-02-19,0,NA,NA,NA,18,0.171144738491991,32.5557363435378,0.00450636461945221,NA,NA,NA,"recov3"
26,2021-02-20,0,NA,NA,NA,18,0.170615944067384,31.7964720174342,0.00464491106795855,NA,NA,NA,"recov3"
27,2021-02-21,0,NA,NA,NA,18,0.173309040083968,31.3177101440519,0.00478726293496538,NA,NA,NA,"recov3"
