"country","event","term","estimate","naive_lo","naive_hi","naive_sig","R2","adjR2","F_p","n_pix","moran_resid","shapiro_p","bp_p","blk10_lo","blk10_hi","blk10_sig","blk10_n","blk25_lo","blk25_hi","blk25_sig","blk25_n","blk50_lo","blk50_hi","blk50_sig","blk50_n"
"Malawi","Idai_2019","(Intercept)",0.015,-0.0298,0.0489,"",0.211,0.145,0.0205,53,0.047,0.187,0.766,-0.0313,0.052,"",53,-0.1131,0.0498,"",25,-0.0923,0.048,"",16
"Malawi","Idai_2019","wind_stress",-0.075,-0.1385,-0.014,"*",0.211,0.145,0.0205,53,0.047,0.187,0.766,-0.1428,-0.0178,"*",53,-0.2935,-0.0164,"*",25,-0.2608,-0.0145,"*",16
"Malawi","Idai_2019","ante_moist",-0.0369,-0.0821,0.0016,"",0.211,0.145,0.0205,53,0.047,0.187,0.766,-0.0839,-8e-04,"*",53,-0.157,0.001,"",25,-0.1513,-0.0111,"*",16
"Malawi","Idai_2019","acute_rain",0.0375,-0.0226,0.0889,"",0.211,0.145,0.0205,53,0.047,0.187,0.766,-0.0231,0.0889,"",53,-0.0349,0.1092,"",25,-0.0445,0.1093,"",16
"Malawi","Idai_2019","wind_stress:ante_moist",0.0181,-0.0313,0.056,"",0.211,0.145,0.0205,53,0.047,0.187,0.766,-0.0332,0.055,"",53,-0.1141,0.0598,"",25,-0.0999,0.0414,"",16
"Zimbabwe","Chalane_2020","(Intercept)",-0.1265,-0.18,-0.0748,"*",0.121,0.055,0.138,58,-0.065,0.0191,0.894,-0.18,-0.0746,"*",58,-0.1844,-0.0576,"*",29,-0.1966,-0.0268,"*",18
"Zimbabwe","Chalane_2020","wind_stress",0.0276,-0.049,0.0891,"",0.121,0.055,0.138,58,-0.065,0.0191,0.894,-0.0452,0.0911,"",58,-0.0568,0.1035,"",29,-0.1004,0.1097,"",18
"Zimbabwe","Chalane_2020","ante_moist",0.0904,-0.0192,0.2364,"",0.121,0.055,0.138,58,-0.065,0.0191,0.894,-0.0149,0.2344,"",58,-0.0265,0.2589,"",29,-0.0358,0.2627,"",18
"Zimbabwe","Chalane_2020","acute_rain",-0.0379,-0.1906,0.0531,"",0.121,0.055,0.138,58,-0.065,0.0191,0.894,-0.1846,0.0559,"",58,-0.1803,0.062,"",29,-0.1533,0.0873,"",18
"Zimbabwe","Chalane_2020","wind_stress:ante_moist",-0.0071,-0.1411,0.0315,"",0.121,0.055,0.138,58,-0.065,0.0191,0.894,-0.1302,0.0335,"",58,-0.149,0.0564,"",29,-0.1855,0.0571,"",18
"Zimbabwe","Idai_2019","(Intercept)",0.0142,-0.0049,0.0354,"",0.202,0.179,1.73e-06,147,0.152,0.5,0.54,-0.0044,0.0337,"",147,-0.0092,0.0389,"",67,-0.0129,0.0463,"",30
"Zimbabwe","Idai_2019","wind_stress",0.0485,0.0193,0.0776,"*",0.202,0.179,1.73e-06,147,0.152,0.5,0.54,0.0185,0.0781,"*",147,0.0138,0.0803,"*",67,0.0125,0.0789,"*",30
"Zimbabwe","Idai_2019","ante_moist",-0.0667,-0.1044,-0.0281,"*",0.202,0.179,1.73e-06,147,0.152,0.5,0.54,-0.105,-0.0281,"*",147,-0.1105,-0.0207,"*",67,-0.1183,-0.0069,"*",30
"Zimbabwe","Idai_2019","acute_rain",0.05,0.0076,0.0949,"*",0.202,0.179,1.73e-06,147,0.152,0.5,0.54,0.0082,0.093,"*",147,0.0075,0.0987,"*",67,-5e-04,0.0984,"",30
"Zimbabwe","Idai_2019","wind_stress:ante_moist",-0.0637,-0.1097,-0.0166,"*",0.202,0.179,1.73e-06,147,0.152,0.5,0.54,-0.1108,-0.0156,"*",147,-0.1176,-0.0081,"*",67,-0.1157,0.0058,"",30
