"country","storm","anchor_used","first_fix_inside","first_crossing","closest_approach","min_dist_km","max_wind_inside_date","max_wind_kt","track_enters_country","n_fixes_inside","anchor_type"
"Zimbabwe","Idai","2019-03-15","2019-03-15","2019-03-15","2019-03-15",0,"2019-03-16",20,TRUE,6,"first fix inside / first boundary crossing / closest approach"
"Zimbabwe","Chalane","2020-12-30","2020-12-30","2020-12-30","2020-12-30",0,"2020-12-30",30,TRUE,6,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"Zimbabwe","Eloise","2021-01-23",NA,"2021-01-23","2021-01-23",3.8,NA,NA,TRUE,0,"first boundary crossing / closest approach"
"Mozambique","Idai","2019-03-04","2019-03-04","2019-03-04","2019-03-04",0,"2019-03-15",85,TRUE,36,"first fix inside / first boundary crossing / closest approach"
"Mozambique","Kenneth","2019-04-25","2019-04-25","2019-04-25","2019-04-25",0,"2019-04-25",85,TRUE,22,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"Mozambique","Eloise","2021-01-23","2021-01-23","2021-01-23","2021-01-23",0,"2021-01-23",70,TRUE,7,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"Mozambique","Chalane","2020-12-30","2020-12-30","2020-12-30","2020-12-30",0,"2020-12-30",50,TRUE,3,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"Mozambique","Desmond","2019-01-17","2019-01-17","2019-01-17","2019-01-17",0,"2019-01-22",35,TRUE,6,"first fix inside / first boundary crossing / closest approach"
"Mozambique","Guambe","2021-02-12","2021-02-12","2021-02-12","2021-02-12",0,"2021-02-12",25,TRUE,32,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"Malawi","Idai","2019-03-07","2019-03-07","2019-03-07","2019-03-07",0,NA,NA,TRUE,7,"first fix inside / first boundary crossing / closest approach"
"Botswana","Chalane","2020-12-31","2020-12-31","2020-12-31","2020-12-31",0,"2020-12-31",20,TRUE,9,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"Botswana","Eloise","2021-01-25","2021-01-25","2021-01-25","2021-01-25",0,"2021-01-25",15,TRUE,13,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"South_Africa","Eloise","2021-01-24","2021-01-24","2021-01-23","2021-01-24",0,"2021-01-24",25,TRUE,18,"first fix inside / closest approach / max in-country wind"
"Madagascar","Ava","2018-01-05","2018-01-05","2018-01-05","2018-01-05",0,"2018-01-05",80,TRUE,12,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"Madagascar","Eliakim","2018-03-16","2018-03-16","2018-03-16","2018-03-16",0,"2018-03-16",60,TRUE,7,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"Madagascar","Belna","2019-12-09","2019-12-09","2019-12-09","2019-12-09",0,"2019-12-09",80,TRUE,15,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"Madagascar","Diane","2020-01-22","2020-01-22","2020-01-22","2020-01-22",0,"2020-01-22",30,TRUE,7,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"Madagascar","Francisco","2020-02-15","2020-02-15","2020-02-15","2020-02-15",0,"2020-02-15",30,TRUE,4,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"Madagascar","Chalane","2020-12-26","2020-12-26","2020-12-26","2020-12-26",0,"2020-12-27",30,TRUE,10,"first fix inside / first boundary crossing / closest approach"
"Madagascar","Eloise","2021-01-19","2021-01-19","2021-01-19","2021-01-19",0,"2021-01-19",55,TRUE,6,"first fix inside / first boundary crossing / closest approach / max in-country wind"
"Madagascar","Iman","2021-03-05","2021-03-05","2021-03-05","2021-03-05",0,"2021-03-05",30,TRUE,5,"first fix inside / first boundary crossing / closest approach / max in-country wind"
