"country","event","anchor","clim_years","n_contaminated","contamination"
"Botswana","Chalane_2020","2020-12-31","2018/2019/2021",0,"none"
"Botswana","Eloise_2021","2021-01-25","2018/2019/2020",0,"none"
"Madagascar","Ava_2018","2018-01-05","2019/2020/2021",2,"2020: DIANE; 2021: CHALANE, ELOISE"
"Madagascar","Belna_2019","2019-12-09","2018/2020/2021",1,"2020: CHALANE"
"Madagascar","Chalane_2020","2020-12-26","2018/2019/2021",1,"2019: DIANE"
"Madagascar","Diane_2020","2020-01-22","2018/2019/2021",1,"2021: ELOISE"
"Madagascar","Eliakim_2018","2018-03-16","2019/2020/2021",2,"2020: HEROLD; 2021: IMAN"
"Madagascar","Eloise_2021","2021-01-19","2018/2019/2020",2,"2018: AVA; 2020: DIANE, FRANCISCO"
"Madagascar","Francisco_2020","2020-02-15","2018/2019/2021",2,"2018: DUMAZILE; 2021: IMAN"
"Madagascar","Iman_2021","2021-03-05","2018/2019/2020",2,"2018: DUMAZILE, ELIAKIM; 2019: IDAI"
"Malawi","Idai_2019","2019-03-07","2018/2020/2021",0,"none"
"Mozambique","Chalane_2020","2020-12-30","2018/2019/2021",1,"2018: DESMOND"
"Mozambique","Desmond_2019","2019-01-17","2018/2020/2021",1,"2021: ELOISE, GUAMBE"
"Mozambique","Eloise_2021","2021-01-23","2018/2019/2020",1,"2019: DESMOND"
"Mozambique","Guambe_2021","2021-02-12","2018/2019/2020",0,"none"
"Mozambique","Idai_2019","2019-03-04","2018/2020/2021",1,"2021: IMAN"
"Mozambique","Kenneth_2019","2019-04-25","2018/2020/2021",0,"none"
"South_Africa","Eloise_2021","2021-01-24","2018/2019/2020",1,"2019: DESMOND"
"Zimbabwe","Chalane_2020","2020-12-30","2018/2019/2021",0,"none"
"Zimbabwe","Eloise_2021","2021-01-23","2018/2019/2020",0,"none"
"Zimbabwe","Idai_2019","2019-03-15","2018/2020/2021",0,"none"
