"country","event","anchor","n_obs_old","RR_old_1_10","n_obs_new","RR_new_7_13","delta","RR_late_45_60"
"Botswana","Chalane_2020","2020-12-31",0,NA,0,NA,NA,NA
"Botswana","Eloise_2021","2021-01-25",0,NA,0,NA,NA,NA
"Madagascar","Ava_2018","2018-01-05",0,NA,0,NA,NA,NA
"Madagascar","Belna_2019","2019-12-09",8484,1.65,15733,1.102,-0.548,0.972
"Madagascar","Chalane_2020","2020-12-26",1665,1.042,0,NA,NA,NA
"Madagascar","Diane_2020","2020-01-22",5414,0.973,5028,1.009,0.036,0.974
"Madagascar","Eliakim_2018","2018-03-16",0,NA,0,NA,NA,0.947
"Madagascar","Eloise_2021","2021-01-19",0,NA,0,NA,NA,NA
"Madagascar","Francisco_2020","2020-02-15",1595,1.002,5146,1.057,0.056,0.951
"Madagascar","Iman_2021","2021-03-05",0,NA,0,NA,NA,1.007
"Malawi","Idai_2019","2019-03-07",2293,1.339,872,1.266,-0.073,1.135
"Mozambique","Chalane_2020","2020-12-30",165,1.25,0,NA,NA,NA
"Mozambique","Desmond_2019","2019-01-17",1643,1.225,1989,1.446,0.221,1.052
"Mozambique","Eloise_2021","2021-01-23",0,NA,0,NA,NA,NA
"Mozambique","Guambe_2021","2021-02-12",0,NA,0,NA,NA,NA
"Mozambique","Idai_2019","2019-03-04",5591,0.976,5976,0.917,-0.059,1.054
"Mozambique","Kenneth_2019","2019-04-25",327,0.916,1263,0.775,-0.141,0.979
"South_Africa","Eloise_2021","2021-01-24",0,NA,0,NA,NA,NA
"Zimbabwe","Chalane_2020","2020-12-30",167,1.813,0,NA,NA,NA
"Zimbabwe","Eloise_2021","2021-01-23",0,NA,0,NA,NA,NA
"Zimbabwe","Idai_2019","2019-03-15",5026,0.841,4613,1.051,0.21,1.097
