"rel","date","n","sif","nirvr","phif","clim_n","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","window"
-14,2019-11-25,1163,0.192123373343944,19.3650429448263,0.00965970440646408,21,0.144637974794554,18.0495901036688,0.00736177784281176,0.0474853985493898,1.31545284115747,0.00229792656365232,"baseline"
-13,2019-11-26,52,0.398421216326264,28.1422502752147,0.0137748118260883,22,0.149856196255027,18.2904243763276,0.00753120575478983,0.248565020071237,9.85182589888711,0.00624360607129843,"baseline"
-12,2019-11-27,554,0.368684613621215,32.0434383712274,0.0112068431902073,23,0.149843181755958,18.7493555891712,0.00727942660753195,0.218841431865257,13.2940827820562,0.00392741658267535,"baseline"
-11,2019-11-28,2240,0.286716808421574,26.9500612441957,0.0102558399851741,24,0.161691233975305,18.6593925081374,0.00812290134366638,0.125025574446269,8.29066873605835,0.00213293864150775,"baseline"
-10,2019-11-29,2645,0.240983486908293,23.4483606346173,0.00993987706788211,26,0.167921064138081,18.7061945184812,0.00855218519875506,0.0730624227702123,4.74216611613606,0.00138769186912705,"baseline"
-9,2019-11-30,541,0.28138468734784,22.7508067746924,0.0121706813560839,26,0.159085347360518,18.6441279044644,0.00804354212594537,0.122299339987322,4.10667887022798,0.00412713923013849,"baseline"
-8,2019-12-01,282,0.303064759601079,25.5618087917201,0.0121365072906069,27,0.163168750209174,19.1295503974036,0.00794482020465124,0.139896009391905,6.43225839431654,0.00419168708595568,"baseline"
-7,2019-12-02,545,0.366812204514254,34.1351035541364,0.0104002480259684,27,0.166943555275876,19.4604026195801,0.00787162114686051,0.199868649238378,14.6747009345564,0.00252862687910784,"pre7"
-6,2019-12-03,1469,0.361495861986023,35.2734766942718,0.00982391079989295,27,0.174348727948921,19.5873866690353,0.00833249051254841,0.187147134037102,15.6860900252365,0.00149142028734454,"pre7"
-5,2019-12-04,4753,0.272239992357082,25.3407721403676,0.0103188320943021,27,0.189876454046445,20.2253779131239,0.00888166146069463,0.0823635383106376,5.11539422724368,0.00143717063360742,"pre7"
-4,2019-12-05,5070,0.257552472221497,23.7040918474297,0.0106735932839337,27,0.183675396060639,20.114329517703,0.00853736085622346,0.0738770761608581,3.58976232972666,0.00213623242771025,"pre7"
-3,2019-12-06,1298,0.269819158749588,23.9860916983981,0.0114715249063542,26,0.195222596247347,20.3888302649148,0.00896608767472039,0.0745965625022412,3.59726143348329,0.00250543723163383,"pre7"
