"event","window","signal","n_cells","raw_mean","demeaned_mean","demeaned_median","pct_suppressed","min","max"
"MADAGASCAR_BELNA_2019","baseline","sif",1299,0.10906,0,-0.01189,54.5,-0.38191,0.50566
"MADAGASCAR_BELNA_2019","baseline","nirvr",1299,6.1755,0,-1.05363,59,-22.515,31.66275
"MADAGASCAR_BELNA_2019","baseline","phif",1299,0.00292,0,-0.00026,52.6,-0.0196,0.03116
"MADAGASCAR_BELNA_2019","pre7","sif",1975,0.09576,-0.0133,-0.02759,58.7,-0.65656,0.71683
"MADAGASCAR_BELNA_2019","pre7","nirvr",1975,4.89976,-1.27574,-2.55844,68.9,-45.32812,48.06827
"MADAGASCAR_BELNA_2019","pre7","phif",1975,0.00241,-0.00052,-0.00082,57.2,-0.04688,0.02283
"MADAGASCAR_BELNA_2019","acute","sif",994,0.0977,-0.01136,-0.0193,55.9,-0.64003,0.66025
"MADAGASCAR_BELNA_2019","acute","nirvr",994,6.25404,0.07854,-1.64585,61,-40.42026,38.22334
"MADAGASCAR_BELNA_2019","acute","phif",994,0.00131,-0.00161,-0.00145,61.5,-0.02951,0.02225
"MADAGASCAR_BELNA_2019","early","sif",1951,0.04269,-0.06637,-0.07535,73.4,-0.67964,0.67756
"MADAGASCAR_BELNA_2019","early","nirvr",1951,3.03601,-3.13949,-3.59066,77.4,-49.63302,44.26428
"MADAGASCAR_BELNA_2019","early","phif",1951,0.00059,-0.00233,-0.00241,74.4,-0.01688,0.01461
"MADAGASCAR_BELNA_2019","recov2","sif",1629,0.0999,-0.00916,-0.02243,57.5,-0.45104,0.71543
"MADAGASCAR_BELNA_2019","recov2","nirvr",1629,5.0076,-1.16791,-2.41042,67.8,-25.49594,46.06084
"MADAGASCAR_BELNA_2019","recov2","phif",1629,0.00163,-0.0013,-0.00139,66.1,-0.0175,0.01673
"MADAGASCAR_BELNA_2019","recov3","sif",893,0.06247,-0.0466,-0.06628,66.3,-0.52,0.70023
"MADAGASCAR_BELNA_2019","recov3","nirvr",893,2.76371,-3.41179,-5.08919,76,-28.41502,40.66771
"MADAGASCAR_BELNA_2019","recov3","phif",893,0.00068,-0.00224,-0.00205,69.7,-0.0191,0.02193
