"rel","date","n","sif","nirvr","phif","clim_n","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","window"
-14,2020-12-12,151,0.186535650679983,19.6566205403848,0.00925382140173244,25,0.329074278983404,30.2540493860278,0.0106658946739665,-0.14253862830342,-10.597428845643,-0.00141207327223411,"baseline"
-13,2020-12-13,347,0.231386892017536,23.1714816022691,0.00975909381659592,25,0.326687104738589,30.7229965411291,0.0104205626015901,-0.0953002127210526,-7.55151493885992,-0.000661468784994231,"baseline"
-12,2020-12-14,114,0.109562078543955,17.0493663997759,0.00631195097535826,25,0.341257442002028,30.7565902179218,0.0108502217209827,-0.231695363458073,-13.7072238181459,-0.00453827074562445,"baseline"
-11,2020-12-15,901,0.345807649435842,30.4380860346578,0.0111810513788607,25,0.331919761175378,30.1340038509214,0.0107154134291523,0.0138878882604642,0.304082183736416,0.000465637949708383,"baseline"
-10,2020-12-16,2047,0.333278386958122,30.6812808740923,0.0103927276602008,26,0.322669452952175,29.8279256572473,0.010475057415604,0.0106089340059466,0.853355216844939,-8.2329755403213e-05,"baseline"
-9,2020-12-17,2305,0.298246581103641,25.9442304553641,0.0111389943831776,26,0.323585464099286,29.9447210651092,0.0104520393609762,-0.0253388829956454,-4.00049060974512,0.000686955022201351,"baseline"
-8,2020-12-18,579,0.320392153866023,28.0823556715215,0.0114524851150127,26,0.322555871662466,29.8981171162358,0.0102759712269978,-0.00216371779644331,-1.81576144471435,0.00117651388801484,"baseline"
-7,2020-12-19,835,0.231035027542001,27.4304324236385,0.00813033714118646,25,0.331268597301717,30.2967066332378,0.010398982242266,-0.100233569759716,-2.8662742095992,-0.00226864510107955,"pre7"
-6,2020-12-20,148,0.413637816553583,36.6079770358514,0.0111451211501347,25,0.350505492060086,31.4741250133337,0.0105891422579537,0.0631323244934968,5.13385202251778,0.000555978892180996,"pre7"
-5,2020-12-21,448,0.642511505546281,40.9286305866296,0.0148531953626572,25,0.353799420191907,31.8083387944987,0.0106331944921462,0.288712085354374,9.12029179213085,0.00422000087051096,"pre7"
-4,2020-12-22,1414,0.330460706529029,28.7313614099215,0.0112475111877601,25,0.357484578330838,31.4575047205118,0.0108814042435252,-0.0270238718018089,-2.72614331059031,0.000366106944234959,"pre7"
-3,2020-12-23,1490,0.288139072294256,28.8620099787907,0.00984852180193324,25,0.348946438484695,31.562331460469,0.0106546156102641,-0.0608073661904391,-2.70032148167828,-0.000806093808330868,"pre7"
