"rel","date","n","sif","nirvr","phif","clim_n","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","window"
-14,2020-01-08,53,0.662958795029037,46.6912894159417,0.0149572852411787,9,0.474396734325113,39.7064840257365,0.0120423708786204,0.188562060703925,6.98480539020517,0.0029149143625583,"baseline"
-13,2020-01-09,107,0.63377488582073,45.6420257445333,0.0136165476924023,9,0.466540992130348,40.4878518482265,0.0115302620355295,0.167233893690382,5.15417389630677,0.00208628565687278,"baseline"
-12,2020-01-10,730,0.475225787028696,43.7782362604127,0.0105799164079455,9,0.46407801650929,40.0399024856726,0.0116662676086734,0.0111477705194057,3.7383337747401,-0.00108635120072785,"baseline"
-11,2020-01-11,3882,0.369153731152095,36.8463948826452,0.00975851312311947,9,0.462938409894797,39.7260780471724,0.0117712765541949,-0.093784678742702,-2.87968316452714,-0.00201276343107548,"baseline"
-10,2020-01-12,1408,0.393744346752597,35.6460055637238,0.0110905721790586,9,0.480837073896771,40.0518776764296,0.0121410647728845,-0.0870927271441745,-4.40587211270583,-0.00105049259382589,"baseline"
-9,2020-01-13,152,0.564948147554931,42.2655203212799,0.013658407025076,9,0.503301893158454,41.3293286669142,0.0123338205671239,0.0616462543964773,0.936191654365736,0.00132458645795204,"baseline"
-8,2020-01-14,123,0.707155249770579,47.4161347914062,0.0153345602082174,9,0.495630898584511,41.9183918581133,0.0118766140124397,0.211524351186068,5.49774293329288,0.00345794619577767,"baseline"
-7,2020-01-15,382,0.550452953408392,45.8090243556454,0.0119279829082955,9,0.464393705642038,41.3859311909593,0.0112834993710839,0.086059247766354,4.42309316468602,0.000644483537211603,"pre7"
-6,2020-01-16,737,0.497247554882372,39.6072216817056,0.0126767300648524,9,0.441924346229092,39.9308556039896,0.0111891600159822,0.0553232086532799,-0.323633922283996,0.00148757004887014,"pre7"
-5,2020-01-17,730,0.561456306959974,40.0124920948128,0.0146152604315022,9,0.440272583795383,39.7162770462852,0.0110563239947449,0.121183723164592,0.296215048527621,0.00355893643675734,"pre7"
-4,2020-01-18,239,0.527526919016903,36.0978855884707,0.014867094523981,8,0.449318737162753,39.5915997243534,0.0113420064652586,0.0782081818541497,-3.49371413588266,0.00352508805872239,"pre7"
-3,2020-01-19,17,0.414358844761463,28.6041425010374,0.0144273702844769,8,0.46638685733314,40.6546759547847,0.0114298983782033,-0.0520280125716772,-12.0505334537472,0.00299747190627363,"pre7"
-2,2020-01-20,5,0.574300783872604,20.0700266142535,0.0287594265209869,8,0.480967627531285,42.9515803681764,0.01113144751823,0.0933331563413196,-22.8815537539229,0.0176279790027569,"pre7"
-1,2020-01-21,0,NA,NA,NA,8,0.47020520783905,42.1458506453773,0.0112418595286225,NA,NA,NA,"pre7"
0,2020-01-22,0,NA,NA,NA,8,0.466897654910916,41.8066906082529,0.0112748774897372,NA,NA,NA,"acute"
1,2020-01-23,6,0.291949453453223,21.8641616824432,0.0138146691742685,8,0.470975099939368,41.6126500380138,0.0113987911855765,-0.179025646486145,-19.7484883555706,0.00241587798869203,"acute"
2,2020-01-24,67,0.563776848921135,45.4636703141147,0.0125593543582702,8,0.480173209343972,42.2534890494763,0.0114607948971604,0.083603639577163,3.21018126463831,0.0010985594611098,"acute"
