"event","window","signal","n_cells","raw_mean","demeaned_mean","demeaned_median","pct_suppressed","min","max"
"MADAGASCAR_DIANE_2020","baseline","sif",581,0.03243,0,-0.00707,51.8,-0.94465,0.44886
"MADAGASCAR_DIANE_2020","baseline","nirvr",581,1.47742,0,-0.37269,53.5,-26.4178,41.82728
"MADAGASCAR_DIANE_2020","baseline","phif",581,0.00014,0,0.00026,46.3,-0.01945,0.01498
"MADAGASCAR_DIANE_2020","pre7","sif",302,0.07837,0.04595,0.04763,35.8,-0.49583,0.48726
"MADAGASCAR_DIANE_2020","pre7","nirvr",302,-0.41332,-1.89074,-2.11879,62.9,-45.03186,35.0287
"MADAGASCAR_DIANE_2020","pre7","phif",302,0.00216,0.00202,0.00198,28.8,-0.01293,0.01605
"MADAGASCAR_DIANE_2020","acute","sif",81,-0.04839,-0.08082,-0.07292,72.8,-0.54531,0.4484
"MADAGASCAR_DIANE_2020","acute","nirvr",81,1.54678,0.06936,-0.22625,50.6,-26.61948,27.50227
"MADAGASCAR_DIANE_2020","acute","phif",81,-0.00124,-0.00139,-0.00164,70.4,-0.01122,0.01804
"MADAGASCAR_DIANE_2020","early","sif",375,-0.01646,-0.04889,-0.03917,60,-0.57155,0.4986
"MADAGASCAR_DIANE_2020","early","nirvr",375,-3.63182,-5.10924,-3.58354,74.1,-38.3243,38.02945
"MADAGASCAR_DIANE_2020","early","phif",375,0.00062,0.00047,3e-04,45.9,-0.0098,0.01685
"MADAGASCAR_DIANE_2020","recov2","sif",754,0.05519,0.02277,0.03778,39.3,-0.5672,0.43293
"MADAGASCAR_DIANE_2020","recov2","nirvr",754,1.88438,0.40696,0.73342,44.3,-38.02566,36.97792
"MADAGASCAR_DIANE_2020","recov2","phif",754,0.00101,0.00086,0.00106,37,-0.0096,0.01597
"MADAGASCAR_DIANE_2020","recov3","sif",596,-0.01942,-0.05185,-0.04464,65.3,-0.65866,0.44515
"MADAGASCAR_DIANE_2020","recov3","nirvr",596,-6.4173,-7.89472,-7.51596,90.9,-34.56133,23.08744
"MADAGASCAR_DIANE_2020","recov3","phif",596,0.00059,0.00045,0.00078,39.3,-0.01669,0.01025
