"rel","date","n","sif","nirvr","phif","clim_n","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","window"
-14,2018-03-02,0,NA,NA,NA,15,0.513407753841293,50.8950246321446,0.0103523195394331,NA,NA,NA,"baseline"
-13,2018-03-03,0,NA,NA,NA,14,0.529575324306831,51.6487580681272,0.0105988578711574,NA,NA,NA,"baseline"
-12,2018-03-04,0,NA,NA,NA,13,0.538902162701598,53.5084632893419,0.0100259116838475,NA,NA,NA,"baseline"
-11,2018-03-05,0,NA,NA,NA,14,0.533660903827196,53.0247464848968,0.00995264353514547,NA,NA,NA,"baseline"
-10,2018-03-06,0,NA,NA,NA,14,0.512410574055654,51.4147334374722,0.00980970780739809,NA,NA,NA,"baseline"
-9,2018-03-07,0,NA,NA,NA,13,0.485099706357673,49.2232191412855,0.00975677371112459,NA,NA,NA,"baseline"
-8,2018-03-08,0,NA,NA,NA,12,0.501169414626292,48.9875597272661,0.00993442218286875,NA,NA,NA,"baseline"
-7,2018-03-09,0,NA,NA,NA,12,0.486068395747944,48.398379755455,0.00972406965379261,NA,NA,NA,"pre7"
-6,2018-03-10,0,NA,NA,NA,13,0.458309321266418,47.3523371371595,0.00908273299030526,NA,NA,NA,"pre7"
-5,2018-03-11,0,NA,NA,NA,13,0.457925159107658,47.5238195305827,0.00905721343806235,NA,NA,NA,"pre7"
-4,2018-03-12,0,NA,NA,NA,14,0.443362490058132,47.4051293491932,0.00880715210209585,NA,NA,NA,"pre7"
-3,2018-03-13,0,NA,NA,NA,15,0.459999314728748,48.4859554829392,0.00897596242298096,NA,NA,NA,"pre7"
-2,2018-03-14,0,NA,NA,NA,13,0.45839460290762,48.8221375446732,0.00884749796561243,NA,NA,NA,"pre7"
-1,2018-03-15,0,NA,NA,NA,13,0.465290711014571,49.3538524905514,0.00889432568171581,NA,NA,NA,"pre7"
0,2018-03-16,0,NA,NA,NA,14,0.459983571145443,49.0527372221904,0.0088472679844172,NA,NA,NA,"acute"
1,2018-03-17,0,NA,NA,NA,14,0.431701004362203,48.4016899603154,0.00855203636393127,NA,NA,NA,"acute"
2,2018-03-18,0,NA,NA,NA,13,0.43651221080341,48.2121001789863,0.00868683768162425,NA,NA,NA,"acute"
3,2018-03-19,0,NA,NA,NA,12,0.479671560857724,49.9211403009142,0.00949038926936169,NA,NA,NA,"acute"
4,2018-03-20,0,NA,NA,NA,12,0.495533397981762,51.0549343825243,0.00959008385229581,NA,NA,NA,"acute"
5,2018-03-21,0,NA,NA,NA,12,0.513337129540366,50.9493124996737,0.00998974197888178,NA,NA,NA,"acute"
6,2018-03-22,0,NA,NA,NA,12,0.505240733220226,49.3889564527065,0.0102555761373112,NA,NA,NA,"acute"
7,2018-03-23,0,NA,NA,NA,13,0.509410636740507,48.7131283670482,0.0105144231596182,NA,NA,NA,"early"
8,2018-03-24,0,NA,NA,NA,12,0.51319943875504,48.7387191284405,0.0105960476360518,NA,NA,NA,"early"
9,2018-03-25,0,NA,NA,NA,11,0.518978359437716,48.8704175631036,0.010732009095412,NA,NA,NA,"early"
10,2018-03-26,0,NA,NA,NA,12,0.518041027106377,48.8715227917469,0.0107500850663227,NA,NA,NA,"early"
11,2018-03-27,0,NA,NA,NA,13,0.506759556464868,48.7137375970209,0.0105442055997908,NA,NA,NA,"early"
12,2018-03-28,0,NA,NA,NA,13,0.492907831936511,47.9218115851801,0.0104499720474996,NA,NA,NA,"early"
13,2018-03-29,0,NA,NA,NA,14,0.490695825104721,47.9296132408445,0.0103861485589712,NA,NA,NA,"early"
14,2018-03-30,0,NA,NA,NA,13,0.492411220229498,48.5796371759232,0.0103175134630497,NA,NA,NA,"recov2"
15,2018-03-31,0,NA,NA,NA,13,0.486119522058235,48.5934729136835,0.0100695507272503,NA,NA,NA,"recov2"
16,2018-04-01,0,NA,NA,NA,14,0.480380341831927,48.5684705174119,0.00996322591021186,NA,NA,NA,"recov2"
17,2018-04-02,0,NA,NA,NA,14,0.487993491198058,48.9354487258314,0.0100514567645654,NA,NA,NA,"recov2"
18,2018-04-03,0,NA,NA,NA,14,0.490834002953341,48.9656898200686,0.0101093395873694,NA,NA,NA,"recov2"
19,2018-04-04,0,NA,NA,NA,13,0.493281060788161,49.1179674407379,0.0100819198212906,NA,NA,NA,"recov2"
20,2018-04-05,0,NA,NA,NA,12,0.49577831131968,48.8498719276302,0.0101715927017291,NA,NA,NA,"recov2"
21,2018-04-06,0,NA,NA,NA,13,0.489115962951534,48.6343247132035,0.010069910631246,NA,NA,NA,"recov3"
22,2018-04-07,0,NA,NA,NA,13,0.470550872540022,47.5254851868433,0.00985922072334129,NA,NA,NA,"recov3"
23,2018-04-08,0,NA,NA,NA,13,0.456423203184582,46.7180680594526,0.00971545840904801,NA,NA,NA,"recov3"
24,2018-04-09,0,NA,NA,NA,12,0.451906458893183,46.6164507158769,0.00962021193581951,NA,NA,NA,"recov3"
25,2018-04-10,0,NA,NA,NA,11,0.434923480364685,46.2314934340688,0.00923829117807506,NA,NA,NA,"recov3"
26,2018-04-11,0,NA,NA,NA,11,0.418928439949827,45.1207576293126,0.0091097877886024,NA,NA,NA,"recov3"
27,2018-04-12,0,NA,NA,NA,12,0.405643055081097,44.4326565069536,0.00897968858255453,NA,NA,NA,"recov3"
