"rel","date","n","sif","nirvr","phif","clim_n","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","window"
-14,2021-01-05,0,NA,NA,NA,15,0.504082827337625,43.1659522522115,0.0116403612419588,NA,NA,NA,"baseline"
-13,2021-01-06,0,NA,NA,NA,15,0.486207313627248,40.9174687635571,0.0119958646428749,NA,NA,NA,"baseline"
-12,2021-01-07,0,NA,NA,NA,15,0.493148881988508,41.4476245683377,0.0120234539075895,NA,NA,NA,"baseline"
-11,2021-01-08,0,NA,NA,NA,16,0.492510000957305,42.0681341667445,0.0118348045558035,NA,NA,NA,"baseline"
-10,2021-01-09,0,NA,NA,NA,17,0.49609167690548,42.8684786791181,0.011663751403507,NA,NA,NA,"baseline"
-9,2021-01-10,0,NA,NA,NA,17,0.503774734848464,43.1031273048967,0.0117700674394344,NA,NA,NA,"baseline"
-8,2021-01-11,0,NA,NA,NA,17,0.514820191098781,43.7118881346439,0.011848727482598,NA,NA,NA,"baseline"
-7,2021-01-12,0,NA,NA,NA,17,0.52296401689853,43.8489433841265,0.0120079845923518,NA,NA,NA,"pre7"
-6,2021-01-13,0,NA,NA,NA,17,0.522929604260744,43.8074068358745,0.0120165141119009,NA,NA,NA,"pre7"
-5,2021-01-14,0,NA,NA,NA,17,0.522987779615408,44.065844812286,0.0120214742071221,NA,NA,NA,"pre7"
-4,2021-01-15,0,NA,NA,NA,16,0.521156623865289,44.784103556489,0.0116392028849168,NA,NA,NA,"pre7"
-3,2021-01-16,0,NA,NA,NA,16,0.526256950998664,44.6760641130729,0.01182524141873,NA,NA,NA,"pre7"
-2,2021-01-17,0,NA,NA,NA,15,0.525458233401335,43.9914419974563,0.0119756771150348,NA,NA,NA,"pre7"
-1,2021-01-18,0,NA,NA,NA,14,0.518088544806296,42.5680565831025,0.0122326105157104,NA,NA,NA,"pre7"
0,2021-01-19,0,NA,NA,NA,14,0.512469625607918,42.1993808830673,0.0122428707583229,NA,NA,NA,"acute"
1,2021-01-20,0,NA,NA,NA,14,0.51702421607851,43.0193996991227,0.0121739074497678,NA,NA,NA,"acute"
2,2021-01-21,0,NA,NA,NA,14,0.495796394277485,42.7844333922251,0.0115993125626306,NA,NA,NA,"acute"
3,2021-01-22,0,NA,NA,NA,14,0.491410264252344,42.3464676728303,0.0116851410951988,NA,NA,NA,"acute"
4,2021-01-23,0,NA,NA,NA,14,0.483684234057382,42.2145964231114,0.0114772067395907,NA,NA,NA,"acute"
5,2021-01-24,0,NA,NA,NA,14,0.495041535828091,43.2688307078758,0.0114920763242266,NA,NA,NA,"acute"
6,2021-01-25,0,NA,NA,NA,15,0.498359990578792,44.0256129258126,0.0113568478266096,NA,NA,NA,"acute"
7,2021-01-26,0,NA,NA,NA,15,0.516876957550107,45.104988239386,0.0114719859399532,NA,NA,NA,"early"
8,2021-01-27,0,NA,NA,NA,15,0.523887592886348,46.0786699601792,0.01135516206416,NA,NA,NA,"early"
9,2021-01-28,0,NA,NA,NA,15,0.511871973358154,46.3839753572841,0.0109698984852243,NA,NA,NA,"early"
10,2021-01-29,0,NA,NA,NA,15,0.493095032550967,45.4852139602037,0.0107567023066351,NA,NA,NA,"early"
11,2021-01-30,0,NA,NA,NA,15,0.504935365317041,46.1769910761644,0.0109770729989211,NA,NA,NA,"early"
12,2021-01-31,0,NA,NA,NA,15,0.499170455050589,46.6626993278073,0.0106516617631237,NA,NA,NA,"early"
13,2021-02-01,0,NA,NA,NA,15,0.502884477396596,47.1680805045312,0.0106563103540423,NA,NA,NA,"early"
14,2021-02-02,0,NA,NA,NA,16,0.499330342540092,46.7096775991047,0.0106523769056226,NA,NA,NA,"recov2"
15,2021-02-03,0,NA,NA,NA,16,0.507631760477392,47.3393242780003,0.0106669821839736,NA,NA,NA,"recov2"
16,2021-02-04,0,NA,NA,NA,17,0.487441712102685,47.1947208000104,0.0102981294886787,NA,NA,NA,"recov2"
17,2021-02-05,0,NA,NA,NA,18,0.483424676245234,47.2962200117259,0.0101159872292225,NA,NA,NA,"recov2"
18,2021-02-06,0,NA,NA,NA,18,0.486384802063938,47.8116232887427,0.0100248674873538,NA,NA,NA,"recov2"
19,2021-02-07,0,NA,NA,NA,18,0.494779689479877,48.2349488670128,0.0101039785885669,NA,NA,NA,"recov2"
20,2021-02-08,0,NA,NA,NA,18,0.49862323043905,48.3624955599529,0.0101893745187445,NA,NA,NA,"recov2"
21,2021-02-09,0,NA,NA,NA,18,0.509478956276519,49.3675491174168,0.0101914640625861,NA,NA,NA,"recov3"
22,2021-02-10,0,NA,NA,NA,18,0.513221387992834,49.8965163575172,0.010168692010052,NA,NA,NA,"recov3"
23,2021-02-11,0,NA,NA,NA,18,0.5208445265667,50.2875711121809,0.010301700476437,NA,NA,NA,"recov3"
24,2021-02-12,0,NA,NA,NA,18,0.513611735435113,50.3714148149377,0.0101101118780132,NA,NA,NA,"recov3"
25,2021-02-13,0,NA,NA,NA,18,0.517213971307212,50.4742650589241,0.0101751525502726,NA,NA,NA,"recov3"
26,2021-02-14,0,NA,NA,NA,18,0.520611360540642,50.7016525748726,0.0102407767027027,NA,NA,NA,"recov3"
27,2021-02-15,0,NA,NA,NA,18,0.538262782758677,52.0730991309057,0.0103162068984015,NA,NA,NA,"recov3"
