"rel","date","n","sif","nirvr","phif","clim_n","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","window"
-14,2020-02-01,997,0.459780779447679,41.5612370793606,0.0110540051671763,8,0.460770221250245,40.4979043548367,0.0118364457350892,-0.000989441802565993,1.06333272452387,-0.000782440567912922,"baseline"
-13,2020-02-02,189,0.371808067905327,33.9379257698757,0.0110175782644803,8,0.444273673938701,39.8876858532007,0.0116464867138125,-0.0724656060333735,-5.94976008332503,-0.000628908449332206,"baseline"
-12,2020-02-03,330,0.382130055039218,37.9660354584744,0.0100921712022086,8,0.464345937351501,41.955413622976,0.0115754464308793,-0.0822158823122828,-3.98937816450164,-0.00148327522867079,"baseline"
-11,2020-02-04,0,NA,NA,NA,9,0.444309272916538,41.9577889840781,0.0110286944402328,NA,NA,NA,"baseline"
-10,2020-02-05,239,0.454797713912119,41.605203883143,0.0111434664706474,9,0.423211126943384,41.4702066980085,0.0105440052848295,0.031586586968735,0.134997185134445,0.000599461185817898,"baseline"
-9,2020-02-06,1262,0.494974769291943,48.098731755923,0.0101912123614974,9,0.410364446064683,42.3184685388395,0.00974703457202059,0.0846103232272602,5.78026321708352,0.000444177789476759,"baseline"
-8,2020-02-07,1904,0.481918663004396,49.9644839457865,0.00969464882464839,9,0.405851719885046,41.5931472761321,0.00985339432166135,0.0760669431193495,8.37133666965438,-0.000158745497012957,"baseline"
-7,2020-02-08,1036,0.421443654123593,44.1346367107475,0.00965110052506198,9,0.409402117240755,42.5320378452145,0.0097953060860336,0.0120415368828378,1.60259886553302,-0.000144205560971621,"pre7"
-6,2020-02-09,8,0.534851841628551,35.3267447488859,0.0154498019620989,9,0.423638767697765,43.9628077607608,0.0098242108855519,0.111213073930786,-8.63606301187483,0.00562559107654696,"pre7"
-5,2020-02-10,464,0.448355346344058,46.539275670374,0.0096772825982947,9,0.425808547540001,45.9427555920131,0.00946332377128191,0.0225467988040573,0.596520078360967,0.000213958827012794,"pre7"
-4,2020-02-11,2632,0.530553504394627,53.7893592138006,0.00977258523438181,9,0.423650611556459,48.0435863293948,0.00887813755519665,0.106902892838168,5.7457728844058,0.000894447679185164,"pre7"
-3,2020-02-12,2030,0.43863367334516,44.7334537145946,0.00944850168874286,9,0.409179706539217,47.2233367341901,0.0087254780829967,0.0294539668059431,-2.48988301959551,0.000723023605746156,"pre7"
-2,2020-02-13,0,NA,NA,NA,9,0.408259463571236,48.1962594297762,0.00859737210654821,NA,NA,NA,"pre7"
-1,2020-02-14,9,0.492249382866753,47.3221311623125,0.0103786090494638,9,0.4418247854472,51.2413528977024,0.00884251163082856,0.0504245974195532,-3.91922173538993,0.00153609741863527,"pre7"
0,2020-02-15,0,NA,NA,NA,9,0.450975402909522,53.3691817170888,0.00862516465329478,NA,NA,NA,"acute"
1,2020-02-16,8,0.292503828182817,34.4285114253746,0.0086714458645367,8,0.444558972336588,54.1345369776259,0.00822260471508491,-0.152055144153771,-19.7060255522512,0.000448841149451783,"acute"
2,2020-02-17,159,0.245427600796329,38.205165089113,0.00637480668265087,9,0.448725717219488,54.2197423168119,0.00830364284473189,-0.20329811642316,-16.014577227699,-0.00192883616208102,"acute"
3,2020-02-18,128,0.355441985309881,39.7722562164373,0.00890969384869976,9,0.432343369050401,52.5148953024336,0.00829029302794389,-0.07690138374052,-12.7426390859963,0.000619400820755867,"acute"
4,2020-02-19,25,0.394329763352871,37.4943952306898,0.0108296657688432,8,0.42186837771318,51.5406743946347,0.00826096173581865,-0.0275386143603095,-14.0462791639449,0.00256870403302458,"acute"
5,2020-02-20,0,NA,NA,NA,8,0.43093105156697,51.0858885271317,0.00848522075470725,NA,NA,NA,"acute"
6,2020-02-21,0,NA,NA,NA,8,0.430847099062813,51.1717251781445,0.0084219907103369,NA,NA,NA,"acute"
7,2020-02-22,0,NA,NA,NA,8,0.452716455648867,50.1406254616143,0.00910195999662223,NA,NA,NA,"early"
8,2020-02-23,445,0.456440296261624,47.6687121094291,0.00972904074077924,8,0.433621507792721,45.4130801764854,0.0102838096173718,0.022818788468903,2.25563193294375,-0.00055476887659253,"early"
9,2020-02-24,828,0.502169298586224,50.2766346623203,0.0100785084531744,8,0.442816587228337,44.0497566273504,0.0107549649566352,0.0593527113578872,6.22687803496991,-0.000676456503460793,"early"
10,2020-02-25,2,0.695924758911133,49.3888601826373,0.0143296234827839,8,0.444585987358756,43.9943263176409,0.0107844705255708,0.251338771552376,5.39453386499636,0.00354515295721303,"early"
11,2020-02-26,4,0.132663236232474,32.1546969737539,0.00381764414338503,8,0.438695615998862,43.3319005119276,0.0107484699299913,-0.306032379766387,-11.1772035381737,-0.00693082578660629,"early"
12,2020-02-27,411,0.284935964915818,40.9927100626315,0.00688005387983688,8,0.447487290868918,43.6750805471684,0.0108515021016406,-0.1625513259531,-2.68237048453688,-0.0039714482218037,"early"
13,2020-02-28,3456,0.460211590587217,52.6985020298477,0.00865940231602155,9,0.456946916225024,44.3415512274836,0.0108364007346986,0.00326467436219252,8.35695080236404,-0.00217699841867709,"early"
14,2020-02-29,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"recov2"
15,2020-03-01,8,0.388410933315754,34.2002716785606,0.012169562578409,8,0.454970404916257,43.8248925131505,0.0110045056140953,-0.0665594716005033,-9.62462083458995,0.00116505696431373,"recov2"
16,2020-03-02,5,0.842814385890961,70.240672417667,0.0119531094300988,8,0.448957330094829,43.8439079746552,0.010906578711068,0.393857055796132,26.3967644430118,0.00104653071903079,"recov2"
17,2020-03-03,5,0.365128252282739,47.5247451863823,0.00724122773328703,8,0.447047304852273,44.2402027117531,0.0107054273701728,-0.081919052569534,3.28454247462926,-0.00346419963688578,"recov2"
18,2020-03-04,341,0.494917774985372,51.3266269882806,0.00926309123905709,8,0.459010771627663,47.5135951865774,0.00962592707070292,0.0359070033577091,3.81303180170325,-0.000362835831645822,"recov2"
19,2020-03-05,180,0.346941168932244,39.8629424478043,0.0085703391510975,8,0.454094260358584,47.0844014812304,0.00961758122086152,-0.10715309142634,-7.22145903342609,-0.00104724206976402,"recov2"
20,2020-03-06,17,0.395460448282606,42.5634148364412,0.00923707413473584,7,0.448614150304571,46.5074114074165,0.00961871460945468,-0.0531537020219641,-3.94399657097535,-0.000381640474718841,"recov2"
21,2020-03-07,0,NA,NA,NA,6,0.46006937064692,46.8742812223515,0.00981510116809588,NA,NA,NA,"recov3"
22,2020-03-08,0,NA,NA,NA,5,0.457318198177157,46.5046887043228,0.00983592569720306,NA,NA,NA,"recov3"
23,2020-03-09,34,0.30479666700258,36.8957586104323,0.00814669738636572,5,0.421738401644342,44.6821279515783,0.00940546957716114,-0.116941734641763,-7.78636934114604,-0.00125877219079542,"recov3"
24,2020-03-10,234,0.356843601370979,39.0667737570193,0.00900000340166345,6,0.39861356107041,44.1504133965304,0.00895817748973699,-0.0417699596994311,-5.08363963951108,4.18259119264585e-05,"recov3"
25,2020-03-11,48,0.391572462394834,40.5655595068007,0.00970327236618604,5,0.407698886111749,44.0917778468431,0.00914007234036284,-0.0161264237169157,-3.52621834004245,0.000563200025823196,"recov3"
26,2020-03-12,0,NA,NA,NA,5,0.407160181031078,45.1285597764863,0.00899611147058302,NA,NA,NA,"recov3"
27,2020-03-13,192,0.389513468699685,45.4689460551622,0.00853228022742411,5,0.443851012774671,47.3689326483976,0.00924561187575228,-0.0543375440749859,-1.89998659323537,-0.000713331648328161,"recov3"
