"event","window","signal","n_cells","raw_mean","demeaned_mean","demeaned_median","pct_suppressed","min","max"
"MADAGASCAR_FRANCISCO_2020","baseline","sif",450,0.00607,0,-0.00105,50.9,-0.38478,0.56461
"MADAGASCAR_FRANCISCO_2020","baseline","nirvr",450,-0.64449,0,0.01393,49.8,-18.80306,33.83096
"MADAGASCAR_FRANCISCO_2020","baseline","phif",450,0.00032,0,-0.00012,51.3,-0.01161,0.00851
"MADAGASCAR_FRANCISCO_2020","pre7","sif",715,0.03838,0.03231,0.02961,38.9,-0.50944,0.37849
"MADAGASCAR_FRANCISCO_2020","pre7","nirvr",715,-4.19525,-3.55076,-3.41499,70.8,-37.47988,19.01785
"MADAGASCAR_FRANCISCO_2020","pre7","phif",715,0.00131,0.00099,0.00104,26,-0.01068,0.01311
"MADAGASCAR_FRANCISCO_2020","acute","sif",38,-0.06139,-0.06746,-0.02892,65.8,-0.5928,0.16629
"MADAGASCAR_FRANCISCO_2020","acute","nirvr",38,-6.71191,-6.06741,-4.96649,84.2,-27.88094,12.57479
"MADAGASCAR_FRANCISCO_2020","acute","phif",38,0.00021,-0.00011,0.00082,39.5,-0.0131,0.00385
"MADAGASCAR_FRANCISCO_2020","early","sif",181,-0.02642,-0.03249,-0.03494,64.1,-0.47425,0.31484
"MADAGASCAR_FRANCISCO_2020","early","nirvr",181,1.3872,2.03169,1.691,37.6,-18.0174,33.73424
"MADAGASCAR_FRANCISCO_2020","early","phif",181,-0.00081,-0.00112,-0.00119,69.6,-0.01533,0.00829
"MADAGASCAR_FRANCISCO_2020","recov2","sif",83,0.01391,0.00784,-0.0047,51.8,-0.32966,0.398
"MADAGASCAR_FRANCISCO_2020","recov2","nirvr",83,0.62318,1.26767,-1.64737,56.6,-20.66231,28.02833
"MADAGASCAR_FRANCISCO_2020","recov2","phif",83,8e-05,-0.00024,-6e-05,54.2,-0.00588,0.00711
"MADAGASCAR_FRANCISCO_2020","recov3","sif",45,-0.00888,-0.01495,-0.01289,53.3,-0.36214,0.18522
"MADAGASCAR_FRANCISCO_2020","recov3","nirvr",45,-1.04673,-0.40223,1.15555,40,-14.84783,6.25761
"MADAGASCAR_FRANCISCO_2020","recov3","phif",45,2e-05,-3e-04,-0.00023,55.6,-0.00586,0.00765
