"event","window","signal","n_cells","raw_mean","demeaned_mean","demeaned_median","pct_suppressed","min","max"
"MALAWI_IDAI_2019","baseline","sif",161,0.06177,0,0.00125,47.2,-0.31035,0.26135
"MALAWI_IDAI_2019","baseline","nirvr",161,9.14531,0,-0.55427,56.5,-20.34995,21.32928
"MALAWI_IDAI_2019","baseline","phif",161,-0.00053,0,0.00016,44.1,-0.01682,0.00402
"MALAWI_IDAI_2019","pre7","sif",67,0.05299,-0.00878,-0.0047,52.2,-0.29342,0.29589
"MALAWI_IDAI_2019","pre7","nirvr",67,0.83975,-8.30556,-9.21573,92.5,-21.29456,6.1755
"MALAWI_IDAI_2019","pre7","phif",67,0.00076,0.0013,0.00137,28.4,-0.005,0.00691
"MALAWI_IDAI_2019","acute","sif",53,0.06952,0.00774,0.01561,45.3,-0.30286,0.40106
"MALAWI_IDAI_2019","acute","nirvr",53,1.29914,-7.84618,-7.72914,83,-32.78516,5.49318
"MALAWI_IDAI_2019","acute","phif",53,0.00136,0.0019,0.00198,20.8,-0.00564,0.01437
"MALAWI_IDAI_2019","early","sif",68,0.04995,-0.01182,-0.00117,52.9,-0.49372,0.31041
"MALAWI_IDAI_2019","early","nirvr",68,1.42578,-7.71953,-6.24606,91.2,-41.68443,6.58001
"MALAWI_IDAI_2019","early","phif",68,6e-04,0.00114,0.00146,20.6,-0.01485,0.00724
"MALAWI_IDAI_2019","recov2","sif",38,0.06594,0.00416,-0.00036,50,-0.41028,0.34192
"MALAWI_IDAI_2019","recov2","nirvr",38,3.36645,-5.77887,-1.72555,60.5,-44.22262,10.74282
"MALAWI_IDAI_2019","recov2","phif",38,0.00131,0.00185,0.00125,31.6,-0.0038,0.01345
"MALAWI_IDAI_2019","recov3","sif",59,0.01069,-0.05108,-0.04598,64.4,-0.54572,0.25756
"MALAWI_IDAI_2019","recov3","nirvr",59,1.58951,-7.5558,-3.79404,91.5,-31.08556,6.34163
"MALAWI_IDAI_2019","recov3","phif",59,-0.00014,0.00039,0.00066,40.7,-0.00953,0.00579
