"event","window","signal","n_cells","raw_mean","demeaned_mean","demeaned_median","pct_suppressed","min","max"
"MOZAMBIQUE_DESMOND_2019","baseline","sif",341,0.1542,0,0.00074,49.9,-0.61375,0.58737
"MOZAMBIQUE_DESMOND_2019","baseline","nirvr",341,8.19826,0,-0.1591,50.7,-28.04739,30.55146
"MOZAMBIQUE_DESMOND_2019","baseline","phif",341,0.00185,0,5e-05,49,-0.03522,0.011
"MOZAMBIQUE_DESMOND_2019","pre7","sif",381,0.07907,-0.07514,-0.07514,66.1,-0.83006,0.45113
"MOZAMBIQUE_DESMOND_2019","pre7","nirvr",381,8.29271,0.09445,-0.22139,50.9,-25.45805,47.14684
"MOZAMBIQUE_DESMOND_2019","pre7","phif",381,-6e-05,-0.00191,-0.00182,70.9,-0.01695,0.01631
"MOZAMBIQUE_DESMOND_2019","acute","sif",13,-0.00542,-0.15962,-0.24474,76.9,-0.48788,0.26984
"MOZAMBIQUE_DESMOND_2019","acute","nirvr",13,-6.09722,-14.29548,-16.7734,84.6,-27.66454,2.28575
"MOZAMBIQUE_DESMOND_2019","acute","phif",13,0.00139,-0.00046,-0.00074,61.5,-0.0091,0.01011
"MOZAMBIQUE_DESMOND_2019","early","sif",400,0.1384,-0.0158,-0.01725,53.8,-0.74329,0.52854
"MOZAMBIQUE_DESMOND_2019","early","nirvr",400,10.8958,2.69754,3.15246,39,-51.66976,37.14096
"MOZAMBIQUE_DESMOND_2019","early","phif",400,0.00052,-0.00133,-0.00143,71.8,-0.01352,0.00854
"MOZAMBIQUE_DESMOND_2019","recov2","sif",568,0.07501,-0.07919,-0.07512,71.5,-0.5736,0.38343
"MOZAMBIQUE_DESMOND_2019","recov2","nirvr",568,10.15754,1.95927,1.84401,41.5,-39.1204,36.75411
"MOZAMBIQUE_DESMOND_2019","recov2","phif",568,-0.00057,-0.00241,-0.00216,85.7,-0.0167,0.00756
"MOZAMBIQUE_DESMOND_2019","recov3","sif",457,-0.02565,-0.17985,-0.16511,88,-0.76751,0.37844
"MOZAMBIQUE_DESMOND_2019","recov3","nirvr",457,1.65903,-6.53923,-5.65224,73.1,-48.94249,21.83056
"MOZAMBIQUE_DESMOND_2019","recov3","phif",457,-0.00074,-0.00259,-0.0026,84.2,-0.01185,0.00559
