"rel","date","n","sif","nirvr","phif","clim_n","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","window"
-14,2021-01-09,0,NA,NA,NA,18,0.373341729505481,42.1758890593634,0.00520429702582191,NA,NA,NA,"baseline"
-13,2021-01-10,0,NA,NA,NA,18,0.398529091177982,43.0219858989351,0.00547480998443176,NA,NA,NA,"baseline"
-12,2021-01-11,0,NA,NA,NA,18,0.43817569742,44.0821006706179,0.00617036657299335,NA,NA,NA,"baseline"
-11,2021-01-12,0,NA,NA,NA,17,0.473428000142787,46.4138788540145,0.00633593266323504,NA,NA,NA,"baseline"
-10,2021-01-13,0,NA,NA,NA,17,0.542960477285294,49.2076720217862,0.0107537250502977,NA,NA,NA,"baseline"
-9,2021-01-14,0,NA,NA,NA,17,0.550878227425842,49.0149978005869,0.0110495313423561,NA,NA,NA,"baseline"
-8,2021-01-15,0,NA,NA,NA,17,0.573539722694746,50.1749099044076,0.0112163426838131,NA,NA,NA,"baseline"
-7,2021-01-16,0,NA,NA,NA,15,0.585658254335753,51.222801848795,0.0111232303929743,NA,NA,NA,"pre7"
-6,2021-01-17,0,NA,NA,NA,14,0.565971889473974,50.3314863077882,0.010728236691415,NA,NA,NA,"pre7"
-5,2021-01-18,0,NA,NA,NA,14,0.543344173288799,48.8687012756699,0.0104768293206371,NA,NA,NA,"pre7"
-4,2021-01-19,0,NA,NA,NA,14,0.505074764087794,46.3407242893622,0.010332550632375,NA,NA,NA,"pre7"
-3,2021-01-20,0,NA,NA,NA,14,0.476252832581459,46.8934373934893,0.00955872930659262,NA,NA,NA,"pre7"
-2,2021-01-21,0,NA,NA,NA,15,0.461266464179964,46.2687770358948,0.00938367615773925,NA,NA,NA,"pre7"
-1,2021-01-22,0,NA,NA,NA,15,0.46292374076761,47.477222349576,0.00915586108464892,NA,NA,NA,"pre7"
0,2021-01-23,0,NA,NA,NA,15,0.493486237987534,50.1278001892709,0.00929993226605264,NA,NA,NA,"acute"
1,2021-01-24,0,NA,NA,NA,15,0.495456627083957,51.3724668351155,0.00915623390963253,NA,NA,NA,"acute"
2,2021-01-25,0,NA,NA,NA,17,0.479248517190741,49.7634847804468,0.00918757320726331,NA,NA,NA,"acute"
3,2021-01-26,0,NA,NA,NA,18,0.498519650793214,50.5849202249067,0.00950995903240216,NA,NA,NA,"acute"
4,2021-01-27,0,NA,NA,NA,17,0.538566226746717,53.5920599474854,0.00982156436873291,NA,NA,NA,"acute"
5,2021-01-28,0,NA,NA,NA,17,0.532383487725306,54.39683304874,0.00951708566146739,NA,NA,NA,"acute"
6,2021-01-29,0,NA,NA,NA,17,0.535863748357252,54.1364544766754,0.00961811856419304,NA,NA,NA,"acute"
7,2021-01-30,0,NA,NA,NA,17,0.540900131047321,55.3157664804553,0.00952173784364076,NA,NA,NA,"early"
8,2021-01-31,0,NA,NA,NA,17,0.523839589697709,54.3275109991399,0.00939937157065112,NA,NA,NA,"early"
9,2021-02-01,0,NA,NA,NA,17,0.514899329995196,53.6891210170132,0.00935301840153163,NA,NA,NA,"early"
10,2021-02-02,0,NA,NA,NA,17,0.509998669926818,52.6681263521562,0.00943928271678238,NA,NA,NA,"early"
11,2021-02-03,0,NA,NA,NA,17,0.54654954746538,55.7935931597945,0.00956682415288433,NA,NA,NA,"early"
12,2021-02-04,0,NA,NA,NA,17,0.541612496025401,55.7870373707312,0.00946930166556942,NA,NA,NA,"early"
13,2021-02-05,0,NA,NA,NA,18,0.522773311567092,54.6435307169147,0.00926082294987937,NA,NA,NA,"early"
14,2021-02-06,0,NA,NA,NA,18,0.52575161912804,55.3491113740956,0.00916818604690959,NA,NA,NA,"recov2"
15,2021-02-07,0,NA,NA,NA,18,0.511150200595135,54.7289645381592,0.00897149911924641,NA,NA,NA,"recov2"
16,2021-02-08,0,NA,NA,NA,18,0.493836765558662,52.8296536517761,0.00897373007186175,NA,NA,NA,"recov2"
17,2021-02-09,0,NA,NA,NA,18,0.489714506146796,52.7815127494476,0.00888688067440051,NA,NA,NA,"recov2"
18,2021-02-10,0,NA,NA,NA,18,0.478256491640204,52.1500720198918,0.00878001717662641,NA,NA,NA,"recov2"
19,2021-02-11,0,NA,NA,NA,17,0.464135135096856,51.4224864717133,0.00863385939663222,NA,NA,NA,"recov2"
20,2021-02-12,0,NA,NA,NA,17,0.454805011232325,50.9858012058071,0.00854306199845598,NA,NA,NA,"recov2"
21,2021-02-13,0,NA,NA,NA,17,0.459137371756693,52.02091301332,0.00850736012471488,NA,NA,NA,"recov3"
22,2021-02-14,0,NA,NA,NA,17,0.474050197863171,52.5095871128247,0.00880326291284447,NA,NA,NA,"recov3"
23,2021-02-15,0,NA,NA,NA,17,0.475913534448937,52.3661722139684,0.00894495799210325,NA,NA,NA,"recov3"
24,2021-02-16,0,NA,NA,NA,17,0.482505322031833,52.8249286998251,0.00908874991314815,NA,NA,NA,"recov3"
25,2021-02-17,0,NA,NA,NA,17,0.495565565733054,54.2580597224073,0.00911153848823606,NA,NA,NA,"recov3"
26,2021-02-18,0,NA,NA,NA,17,0.496856842663228,54.5581138442519,0.00909141901198942,NA,NA,NA,"recov3"
27,2021-02-19,0,NA,NA,NA,16,0.502331877713851,55.1303704557212,0.00910944626482155,NA,NA,NA,"recov3"
