"rel","date","n","sif","nirvr","phif","clim_n","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","window"
-14,2021-01-29,0,NA,NA,NA,17,0.452390385267659,49.0062035850152,0.0088710756733401,NA,NA,NA,"baseline"
-13,2021-01-30,0,NA,NA,NA,17,0.435840142520704,49.2910319772232,0.0084850779201534,NA,NA,NA,"baseline"
-12,2021-01-31,0,NA,NA,NA,17,0.427560062650826,49.0135401871935,0.00836954294084565,NA,NA,NA,"baseline"
-11,2021-02-01,0,NA,NA,NA,17,0.436800127749267,48.9104637026757,0.00873132549555425,NA,NA,NA,"baseline"
-10,2021-02-02,0,NA,NA,NA,16,0.429626279370964,48.5617571095549,0.00866559706347799,NA,NA,NA,"baseline"
-9,2021-02-03,0,NA,NA,NA,16,0.397408859957237,46.3879508008871,0.00815267732378184,NA,NA,NA,"baseline"
-8,2021-02-04,0,NA,NA,NA,16,0.391959265274818,46.5087372534206,0.00807842505222784,NA,NA,NA,"baseline"
-7,2021-02-05,0,NA,NA,NA,17,0.381343002821062,46.0358639259286,0.00792036894156371,NA,NA,NA,"pre7"
-6,2021-02-06,0,NA,NA,NA,17,0.393371908061465,46.0094526654693,0.0081482501080665,NA,NA,NA,"pre7"
-5,2021-02-07,0,NA,NA,NA,17,0.401831181323041,46.0755637483809,0.00837922319163073,NA,NA,NA,"pre7"
-4,2021-02-08,0,NA,NA,NA,16,0.406638796056546,45.5195076431808,0.00855383849692642,NA,NA,NA,"pre7"
-3,2021-02-09,0,NA,NA,NA,16,0.408181440667639,45.4978421278355,0.00859957925990695,NA,NA,NA,"pre7"
-2,2021-02-10,0,NA,NA,NA,15,0.401473826245671,45.3773235541128,0.00846853424906117,NA,NA,NA,"pre7"
-1,2021-02-11,0,NA,NA,NA,15,0.398284345297054,45.0181536352437,0.00848243499535702,NA,NA,NA,"pre7"
0,2021-02-12,0,NA,NA,NA,15,0.417345121158009,46.2600651503745,0.00891102839065267,NA,NA,NA,"acute"
1,2021-02-13,0,NA,NA,NA,15,0.423097609492153,47.5490238112137,0.00876332555265291,NA,NA,NA,"acute"
2,2021-02-14,0,NA,NA,NA,15,0.433575994808577,47.590276579338,0.00902657136628498,NA,NA,NA,"acute"
3,2021-02-15,0,NA,NA,NA,14,0.423603761521928,47.193391391477,0.00891815238860239,NA,NA,NA,"acute"
4,2021-02-16,0,NA,NA,NA,14,0.412512694647365,47.6462587672196,0.00859230891979192,NA,NA,NA,"acute"
5,2021-02-17,0,NA,NA,NA,15,0.42153537168422,47.9811619349139,0.0087458884755132,NA,NA,NA,"acute"
6,2021-02-18,0,NA,NA,NA,14,0.415094595152897,48.2568405370528,0.00854608977897438,NA,NA,NA,"acute"
7,2021-02-19,0,NA,NA,NA,14,0.414832078444822,48.5061670676455,0.00849029773646582,NA,NA,NA,"early"
8,2021-02-20,0,NA,NA,NA,14,0.422063378999099,49.2488189119477,0.00847817388448535,NA,NA,NA,"early"
9,2021-02-21,0,NA,NA,NA,14,0.415516463448872,49.7931110308071,0.00827528232797415,NA,NA,NA,"early"
10,2021-02-22,0,NA,NA,NA,14,0.417163788752133,48.8646339264074,0.00845830806899443,NA,NA,NA,"early"
11,2021-02-23,0,NA,NA,NA,14,0.406770129448099,48.3893558166845,0.00831372866138172,NA,NA,NA,"early"
12,2021-02-24,0,NA,NA,NA,15,0.410128372468367,48.1764497689639,0.00847093646698509,NA,NA,NA,"early"
13,2021-02-25,0,NA,NA,NA,14,0.420030818022051,48.5412809084574,0.00860652265683146,NA,NA,NA,"early"
14,2021-02-26,0,NA,NA,NA,13,0.412969151225863,48.6442311310667,0.00841717014132937,NA,NA,NA,"recov2"
15,2021-02-27,0,NA,NA,NA,14,0.415212144179077,49.0790412137093,0.00841505980897451,NA,NA,NA,"recov2"
16,2021-02-28,0,NA,NA,NA,14,0.407115144878456,49.1280161053776,0.00820728895567202,NA,NA,NA,"recov2"
17,2021-03-01,0,NA,NA,NA,14,0.398655905310204,49.2304012181442,0.00799716591266284,NA,NA,NA,"recov2"
18,2021-03-02,0,NA,NA,NA,14,0.40364294507298,48.9574909192174,0.00813440903269325,NA,NA,NA,"recov2"
19,2021-03-03,0,NA,NA,NA,13,0.394246680140871,48.9333436902566,0.00796940189783479,NA,NA,NA,"recov2"
20,2021-03-04,0,NA,NA,NA,12,0.390961815424299,49.3762537701762,0.00775524175848559,NA,NA,NA,"recov2"
21,2021-03-05,0,NA,NA,NA,12,0.382692017563087,49.2894041440455,0.00759060974204949,NA,NA,NA,"recov3"
22,2021-03-06,0,NA,NA,NA,12,0.37543050160177,48.6970721745228,0.00757769000701972,NA,NA,NA,"recov3"
23,2021-03-07,0,NA,NA,NA,13,0.369580384512012,48.341207856328,0.00749492165905986,NA,NA,NA,"recov3"
24,2021-03-08,0,NA,NA,NA,14,0.341287964810465,45.8644200929598,0.00707728611524506,NA,NA,NA,"recov3"
25,2021-03-09,0,NA,NA,NA,15,0.315735259286116,44.6463260388665,0.0066468113484622,NA,NA,NA,"recov3"
26,2021-03-10,0,NA,NA,NA,15,0.310084417930381,44.0770508228373,0.00666220662818146,NA,NA,NA,"recov3"
27,2021-03-11,0,NA,NA,NA,14,0.299259179943487,43.7357091015417,0.00646125531087913,NA,NA,NA,"recov3"
