"event","window","signal","n_cells","raw_mean","demeaned_mean","demeaned_median","pct_suppressed","min","max"
"MOZAMBIQUE_IDAI_2019","baseline","sif",921,-0.00356,0,-0.00328,51.5,-0.40413,0.43064
"MOZAMBIQUE_IDAI_2019","baseline","nirvr",921,1.47843,0,-0.38239,52.1,-22.37109,40.57152
"MOZAMBIQUE_IDAI_2019","baseline","phif",921,-0.00026,0,0,49.9,-0.00778,0.00596
"MOZAMBIQUE_IDAI_2019","pre7","sif",205,0.03003,0.03359,0.03327,36.6,-0.26866,0.37124
"MOZAMBIQUE_IDAI_2019","pre7","nirvr",205,3.14941,1.67099,2.1704,40.5,-20.10407,35.22322
"MOZAMBIQUE_IDAI_2019","pre7","phif",205,4e-05,3e-04,3e-04,42.9,-0.00801,0.00882
"MOZAMBIQUE_IDAI_2019","acute","sif",157,0.03646,0.04002,0.04717,36.9,-0.36919,0.40581
"MOZAMBIQUE_IDAI_2019","acute","nirvr",157,3.86817,2.38974,2.36995,35,-20.10271,19.01616
"MOZAMBIQUE_IDAI_2019","acute","phif",157,0.00016,0.00042,0.00041,43.3,-0.00523,0.00738
"MOZAMBIQUE_IDAI_2019","early","sif",662,-0.00648,-0.00292,-0.00079,50.5,-0.35619,0.33333
"MOZAMBIQUE_IDAI_2019","early","nirvr",662,0.48766,-0.99077,-0.87759,56.8,-25.142,28.69315
"MOZAMBIQUE_IDAI_2019","early","phif",662,-2e-04,6e-05,0.00013,47,-0.00922,0.00755
"MOZAMBIQUE_IDAI_2019","recov2","sif",67,-0.1279,-0.12435,-0.10325,74.6,-0.52265,0.27565
"MOZAMBIQUE_IDAI_2019","recov2","nirvr",67,-6.06202,-7.54044,-5.95673,70.1,-40.99113,15.08727
"MOZAMBIQUE_IDAI_2019","recov2","phif",67,-0.00217,-0.00191,-0.0014,77.6,-0.01894,0.00364
"MOZAMBIQUE_IDAI_2019","recov3","sif",462,0.04294,0.0465,0.05154,33.3,-0.48771,0.38877
"MOZAMBIQUE_IDAI_2019","recov3","nirvr",462,5.61445,4.13603,4.91985,19.9,-38.13354,21.80598
"MOZAMBIQUE_IDAI_2019","recov3","phif",462,-0.00012,0.00014,0.00016,47.2,-0.00702,0.0059
