"event","window","signal","n_cells","raw_mean","demeaned_mean","demeaned_median","pct_suppressed","min","max"
"MOZAMBIQUE_KENNETH_2019","baseline","sif",109,0.01724,0,0.00765,45.9,-0.36009,0.34743
"MOZAMBIQUE_KENNETH_2019","baseline","nirvr",109,6.43508,0,-0.10582,51.4,-21.86807,34.00956
"MOZAMBIQUE_KENNETH_2019","baseline","phif",109,-0.00091,0,3e-05,49.5,-0.0086,0.00614
"MOZAMBIQUE_KENNETH_2019","pre7","sif",56,-0.02795,-0.04519,-0.09388,69.6,-0.37001,0.32168
"MOZAMBIQUE_KENNETH_2019","pre7","nirvr",56,5.37428,-1.0608,0.30496,50,-37.44616,16.58757
"MOZAMBIQUE_KENNETH_2019","pre7","phif",56,-0.00165,-0.00074,-0.00065,64.3,-0.00753,0.00454
"MOZAMBIQUE_KENNETH_2019","acute","sif",12,0.03081,0.01357,0.00934,41.7,-0.26752,0.25978
"MOZAMBIQUE_KENNETH_2019","acute","nirvr",12,2.95949,-3.47559,-4.12924,66.7,-21.52361,10.48645
"MOZAMBIQUE_KENNETH_2019","acute","phif",12,0.00021,0.00111,0.00156,33.3,-0.00267,0.00458
"MOZAMBIQUE_KENNETH_2019","early","sif",304,-0.0515,-0.06874,-0.0755,78.9,-0.48276,0.27945
"MOZAMBIQUE_KENNETH_2019","early","nirvr",304,-2.82188,-9.25696,-9.41812,97.4,-18.98305,10.91968
"MOZAMBIQUE_KENNETH_2019","early","phif",304,-0.00067,0.00023,0.00018,44.4,-0.00864,0.00719
"MOZAMBIQUE_KENNETH_2019","recov2","sif",268,-0.0014,-0.01864,-0.01745,57.8,-0.31063,0.22715
"MOZAMBIQUE_KENNETH_2019","recov2","nirvr",268,-0.03674,-6.47182,-6.30726,97,-27.96977,10.38662
"MOZAMBIQUE_KENNETH_2019","recov2","phif",268,2e-05,0.00092,0.00088,34.7,-0.00393,0.00679
"MOZAMBIQUE_KENNETH_2019","recov3","sif",96,-0.03216,-0.0494,-0.05387,65.6,-0.27852,0.18325
"MOZAMBIQUE_KENNETH_2019","recov3","nirvr",96,2.06317,-4.37191,-4.48942,76,-22.42442,10.1894
"MOZAMBIQUE_KENNETH_2019","recov3","phif",96,-0.0011,-2e-04,-0.00026,54.2,-0.00579,0.00494
