"rel","date","n","sif","nirvr","phif","clim_n","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","window"
-14,2021-01-10,0,NA,NA,NA,18,0.133251498350887,23.6584228953021,0.00389452604056265,NA,NA,NA,"baseline"
-13,2021-01-11,0,NA,NA,NA,18,0.145945294548811,24.0943711179264,0.00441815242960187,NA,NA,NA,"baseline"
-12,2021-01-12,0,NA,NA,NA,18,0.154046019682133,24.0892599244876,0.00473573992302784,NA,NA,NA,"baseline"
-11,2021-01-13,0,NA,NA,NA,18,0.155435778227333,23.9354782291615,0.00484768861300206,NA,NA,NA,"baseline"
-10,2021-01-14,0,NA,NA,NA,18,0.147188026167831,23.6439334667425,0.0045109697124931,NA,NA,NA,"baseline"
-9,2021-01-15,0,NA,NA,NA,18,0.142432778549223,23.6091054918083,0.00427587098351479,NA,NA,NA,"baseline"
-8,2021-01-16,0,NA,NA,NA,18,0.134454828883822,23.4397519135013,0.004003331327624,NA,NA,NA,"baseline"
-7,2021-01-17,0,NA,NA,NA,18,0.134424728374601,23.8784067888732,0.00392187204549819,NA,NA,NA,"pre7"
-6,2021-01-18,0,NA,NA,NA,18,0.134074708520647,24.2495397402993,0.00389838005009469,NA,NA,NA,"pre7"
-5,2021-01-19,0,NA,NA,NA,18,0.13498482639897,24.625453027448,0.00379577073316438,NA,NA,NA,"pre7"
-4,2021-01-20,0,NA,NA,NA,18,0.12422080436078,24.2445585958621,0.00333584024244454,NA,NA,NA,"pre7"
-3,2021-01-21,0,NA,NA,NA,18,0.116266129442299,23.9964570002627,0.0030283576952587,NA,NA,NA,"pre7"
-2,2021-01-22,0,NA,NA,NA,18,0.117514900185321,24.2510947016466,0.00303160530448538,NA,NA,NA,"pre7"
-1,2021-01-23,0,NA,NA,NA,18,0.119830450502429,24.46740049696,0.00293297152755079,NA,NA,NA,"pre7"
0,2021-01-24,0,NA,NA,NA,18,0.125356873941157,24.8174583050185,0.0029948552790117,NA,NA,NA,"acute"
1,2021-01-25,0,NA,NA,NA,18,0.136787072471047,25.6927528165537,0.00290927340692024,NA,NA,NA,"acute"
2,2021-01-26,0,NA,NA,NA,18,0.130081896586444,25.0069658351811,0.0027853713726195,NA,NA,NA,"acute"
3,2021-01-27,0,NA,NA,NA,17,0.125666186968836,24.7088824522915,0.00259976543760311,NA,NA,NA,"acute"
4,2021-01-28,0,NA,NA,NA,17,0.12047619241435,24.2293266748026,0.00259273500531748,NA,NA,NA,"acute"
5,2021-01-29,0,NA,NA,NA,17,0.128143827552585,25.1371479392747,0.00261535646720407,NA,NA,NA,"acute"
6,2021-01-30,0,NA,NA,NA,17,0.134592976726873,25.6292133388298,0.00268372592136831,NA,NA,NA,"acute"
7,2021-01-31,0,NA,NA,NA,17,0.146899780954839,26.3863272742437,0.00302421877045164,NA,NA,NA,"early"
8,2021-02-01,0,NA,NA,NA,17,0.134421516633573,25.4789769944594,0.00282942430110505,NA,NA,NA,"early"
9,2021-02-02,0,NA,NA,NA,17,0.13757272659271,25.2942439155917,0.0032371396807722,NA,NA,NA,"early"
10,2021-02-03,0,NA,NA,NA,17,0.128641211458808,24.4066111705429,0.00349524553945191,NA,NA,NA,"early"
11,2021-02-04,0,NA,NA,NA,17,0.134233479055418,26.0591867704813,0.00351889269242068,NA,NA,NA,"early"
12,2021-02-05,0,NA,NA,NA,18,0.136538475898466,26.3184162045654,0.0033886636520884,NA,NA,NA,"early"
13,2021-02-06,0,NA,NA,NA,17,0.137733351308934,26.5750537595222,0.003373381732546,NA,NA,NA,"early"
14,2021-02-07,0,NA,NA,NA,17,0.142676887763664,27.071803731762,0.00371047821363944,NA,NA,NA,"recov2"
15,2021-02-08,0,NA,NA,NA,17,0.156481556086309,28.1877609267667,0.00409193698250639,NA,NA,NA,"recov2"
16,2021-02-09,0,NA,NA,NA,17,0.143986188697066,27.7231126063233,0.00373556664166259,NA,NA,NA,"recov2"
17,2021-02-10,0,NA,NA,NA,17,0.168116271583746,29.624713009437,0.00419664356358564,NA,NA,NA,"recov2"
18,2021-02-11,0,NA,NA,NA,17,0.167052716401894,30.336875062845,0.00372433465534394,NA,NA,NA,"recov2"
19,2021-02-12,0,NA,NA,NA,17,0.188364322073111,32.3737555343967,0.00404642009414926,NA,NA,NA,"recov2"
20,2021-02-13,0,NA,NA,NA,17,0.200039562815266,32.4476905605755,0.00437522427034075,NA,NA,NA,"recov2"
21,2021-02-14,0,NA,NA,NA,17,0.200920408131014,32.8513758334017,0.00452954050841895,NA,NA,NA,"recov3"
22,2021-02-15,0,NA,NA,NA,18,0.208170005848397,33.2439821284536,0.00471123351346462,NA,NA,NA,"recov3"
23,2021-02-16,0,NA,NA,NA,18,0.223610645772055,33.6247605436974,0.00510071767285009,NA,NA,NA,"recov3"
24,2021-02-17,0,NA,NA,NA,18,0.20643617137126,32.9852000933936,0.00454927153429929,NA,NA,NA,"recov3"
25,2021-02-18,0,NA,NA,NA,18,0.210870684466821,33.3049158138144,0.00466795716492022,NA,NA,NA,"recov3"
26,2021-02-19,0,NA,NA,NA,18,0.20730551960886,32.8275772415212,0.00487278775862771,NA,NA,NA,"recov3"
27,2021-02-20,0,NA,NA,NA,18,0.219440215404537,33.230073744763,0.00539626121520512,NA,NA,NA,"recov3"
