"country","event","anchor","n_old","n_new","RR_old_sif","RR_new_sif","RR_old_nirvr","RR_new_nirvr","RR_old_phif","RR_new_phif"
"Botswana","Chalane_2020","2020-12-31",0,0,NA,NA,NA,NA,NA,NA
"Botswana","Eloise_2021","2021-01-25",0,0,NA,NA,NA,NA,NA,NA
"Madagascar","Ava_2018","2018-01-05",0,0,NA,NA,NA,NA,NA,NA
"Madagascar","Belna_2019","2019-12-09",8484,15733,1.65,1.102,1.287,1.09,1.338,1.034
"Madagascar","Chalane_2020","2020-12-26",1665,0,1.042,NA,1.145,NA,0.899,NA
"Madagascar","Diane_2020","2020-01-22",5414,5028,0.973,1.009,1.036,0.935,0.921,1.09
"Madagascar","Eliakim_2018","2018-03-16",0,0,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","2021-01-19",0,0,NA,NA,NA,NA,NA,NA
"Madagascar","Francisco_2020","2020-02-15",1595,5146,1.002,1.057,0.915,1.14,1.092,0.93
"Madagascar","Iman_2021","2021-03-05",0,0,NA,NA,NA,NA,NA,NA
"Malawi","Idai_2019","2019-03-07",2293,872,1.339,1.266,1.147,1.127,1.215,1.15
"Mozambique","Chalane_2020","2020-12-30",165,0,1.25,NA,1.012,NA,1.244,NA
"Mozambique","Desmond_2019","2019-01-17",1643,1989,1.225,1.446,1.239,1.326,0.95,1.095
"Mozambique","Eloise_2021","2021-01-23",0,0,NA,NA,NA,NA,NA,NA
"Mozambique","Guambe_2021","2021-02-12",0,0,NA,NA,NA,NA,NA,NA
"Mozambique","Idai_2019","2019-03-04",5591,5976,0.976,0.917,1.076,0.985,0.899,0.927
"Mozambique","Kenneth_2019","2019-04-25",327,1263,0.916,0.775,0.925,0.84,0.997,0.922
"South_Africa","Eloise_2021","2021-01-24",0,0,NA,NA,NA,NA,NA,NA
"Zimbabwe","Chalane_2020","2020-12-30",167,0,1.813,NA,1.272,NA,1.524,NA
"Zimbabwe","Eloise_2021","2021-01-23",0,0,NA,NA,NA,NA,NA,NA
"Zimbabwe","Idai_2019","2019-03-15",5026,4613,0.841,1.051,0.945,0.965,0.897,1.11
