"rel","date","rain_mm","sif_n"
-14,2020-12-16,19.32,0
-13,2020-12-17,10.26,138
-12,2020-12-18,16.19,156
-11,2020-12-19,18.73,397
-10,2020-12-20,8.86,125
-9,2020-12-21,4.55,36
-8,2020-12-22,1.42,242
-7,2020-12-23,2.29,870
-6,2020-12-24,19.17,1288
-5,2020-12-25,12.23,48
-4,2020-12-26,1.46,0
-3,2020-12-27,2.37,28
-2,2020-12-28,1.76,766
-1,2020-12-29,0.55,1571
0,2020-12-30,17.11,348
1,2020-12-31,10.58,167
2,2021-01-01,11.16,0
3,2021-01-02,1.88,0
4,2021-01-03,0.13,0
5,2021-01-04,0.09,0
6,2021-01-05,2.82,0
7,2021-01-06,7.84,0
8,2021-01-07,14,0
9,2021-01-08,9.51,0
10,2021-01-09,9.07,0
11,2021-01-10,4.88,0
12,2021-01-11,6.63,0
13,2021-01-12,6.88,0
14,2021-01-13,5.78,0
15,2021-01-14,4.62,0
16,2021-01-15,14.53,0
17,2021-01-16,15.93,0
18,2021-01-17,25.04,0
19,2021-01-18,13.24,0
20,2021-01-19,2.18,0
21,2021-01-20,8.25,0
22,2021-01-21,6.42,0
23,2021-01-22,2.17,0
24,2021-01-23,3.39,0
25,2021-01-24,8.21,0
26,2021-01-25,8.91,0
27,2021-01-26,2.81,0
