"rel","date","rain_mm","sif_n"
-14,2021-01-09,2.43,0
-13,2021-01-10,0.51,0
-12,2021-01-11,2.49,0
-11,2021-01-12,6.48,0
-10,2021-01-13,1.22,0
-9,2021-01-14,3.1,0
-8,2021-01-15,19.07,0
-7,2021-01-16,14.46,0
-6,2021-01-17,25.46,0
-5,2021-01-18,9.97,0
-4,2021-01-19,0.94,0
-3,2021-01-20,11.15,0
-2,2021-01-21,5.1,0
-1,2021-01-22,1.3,0
0,2021-01-23,8.28,0
1,2021-01-24,26.82,0
2,2021-01-25,12.58,0
3,2021-01-26,3.59,0
4,2021-01-27,3.02,0
5,2021-01-28,19.01,0
6,2021-01-29,22.32,0
7,2021-01-30,9.98,0
8,2021-01-31,1.66,0
9,2021-02-01,8.08,0
10,2021-02-02,24.15,0
11,2021-02-03,1.46,0
12,2021-02-04,4.53,0
13,2021-02-05,11.05,0
14,2021-02-06,2.2,0
15,2021-02-07,3.51,0
16,2021-02-08,2.81,0
17,2021-02-09,0.32,0
18,2021-02-10,1.19,0
19,2021-02-11,0.25,0
20,2021-02-12,0.58,0
21,2021-02-13,3.72,0
22,2021-02-14,16.28,0
23,2021-02-15,18.21,0
24,2021-02-16,5.78,0
25,2021-02-17,5.27,0
26,2021-02-18,0.77,0
27,2021-02-19,0.09,0
