"rel","date","rain_mm","sif_n"
-14,2019-03-01,0,228
-13,2019-03-02,0,281
-12,2019-03-03,0.01,251
-11,2019-03-04,0,871
-10,2019-03-05,0.41,1107
-9,2019-03-06,0.04,0
-8,2019-03-07,1,10
-7,2019-03-08,0.63,72
-6,2019-03-09,0.5,1326
-5,2019-03-10,0.05,718
-4,2019-03-11,0,1154
-3,2019-03-12,0,4
-2,2019-03-13,0,2
-1,2019-03-14,0.96,427
0,2019-03-15,9.99,0
1,2019-03-16,14.02,0
2,2019-03-17,7.9,0
3,2019-03-18,1.7,0
4,2019-03-19,0.41,484
5,2019-03-20,0.37,1027
6,2019-03-21,0,1451
7,2019-03-22,0,0
8,2019-03-23,0,0
9,2019-03-24,0.11,63
10,2019-03-25,0,2001
11,2019-03-26,0.1,2540
12,2019-03-27,0.44,9
13,2019-03-28,0,0
14,2019-03-29,0,34
15,2019-03-30,0,1424
16,2019-03-31,0.07,2584
17,2019-04-01,0,931
18,2019-04-02,0,0
19,2019-04-03,0.05,0
20,2019-04-04,0.37,1690
21,2019-04-05,0,4388
22,2019-04-06,1.07,1514
23,2019-04-07,0.21,0
24,2019-04-08,1.42,0
25,2019-04-09,4.57,0
26,2019-04-10,0.19,668
27,2019-04-11,1,472
