"rel","date","n","sif","nirvr","phif","clim_n","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","window"
-14,2019-03-01,228,0.388075253999743,48.9417090969061,0.00785900462090991,4,0.379121967343307,52.6985174731524,0.00711233813677364,0.00895328665643647,-3.75680837624635,0.000746666484136266,"baseline"
-13,2019-03-02,281,0.437856637047491,62.78199095717,0.00692180737443816,4,0.375724889022657,52.7187271281263,0.00702713252269407,0.0621317480248337,10.0632638290438,-0.000105325148255908,"baseline"
-12,2019-03-03,251,0.33368443924353,52.7380357063095,0.00616633420816346,5,0.37326834176584,52.0145615362584,0.00711445490680239,-0.0395839025223102,0.723474170051126,-0.00094812069863892,"baseline"
-11,2019-03-04,871,0.228054383438696,43.2246127791343,0.00515745618310621,4,0.344330551713632,48.7668541972282,0.00702454246400857,-0.116276168274935,-5.54224141809397,-0.00186708628090236,"baseline"
-10,2019-03-05,1107,0.165506667363545,41.1908622048503,0.00386111773437201,4,0.344330551713632,48.7668541972282,0.00702454246400857,-0.178823884350087,-7.57599199237788,-0.00316342472963655,"baseline"
-9,2019-03-06,0,NA,NA,NA,4,0.389447671122467,53.5741908717204,0.00725699525000392,NA,NA,NA,"baseline"
-8,2019-03-07,10,0.445198307931423,46.4383625094217,0.00961154513380761,4,0.403429621788172,54.6084672272391,0.00734435323477274,0.0417686861432515,-8.17010471781739,0.00226719189903488,"baseline"
-7,2019-03-08,72,0.278150459919642,44.528331911219,0.00616332129943361,5,0.386032735625663,53.0610089838568,0.00719623811993096,-0.107882275706021,-8.53267707263782,-0.00103291682049735,"pre7"
-6,2019-03-09,1326,0.208108369682933,40.066961266928,0.00506823943495938,6,0.378764770919881,52.0063396614329,0.00719792059516115,-0.170656401236948,-11.9393783945048,-0.00212968116020178,"pre7"
-5,2019-03-10,718,0.244467018474695,42.2961682513539,0.00556220172997628,6,0.378764770919881,52.0063396614329,0.00719792059516115,-0.134297752445186,-9.71017141007898,-0.00163571886518487,"pre7"
-4,2019-03-11,1154,0.224140888244147,41.612654634499,0.00525239185698798,5,0.381233254565559,52.9050786518518,0.00711021770760118,-0.157092366321413,-11.2924240173528,-0.0018578258506132,"pre7"
-3,2019-03-12,4,0.153445076197386,51.8854306267451,0.00293136888127914,5,0.375930447870257,51.5022376647802,0.00720669720055719,-0.222485371672871,0.38319296196493,-0.00427532831927804,"pre7"
-2,2019-03-13,2,0.359438896179199,45.7096932730517,0.00809971355566258,6,0.368875080986906,50.4230500730111,0.0071987568908332,-0.00943618480770664,-4.71335679995941,0.000900956664829382,"pre7"
-1,2019-03-14,427,0.249609939133491,43.7349039546054,0.00567085668748429,7,0.364259827683508,50.1451295513598,0.00714194120689052,-0.114649888550016,-6.41022559675434,-0.00147108451940623,"pre7"
0,2019-03-15,0,NA,NA,NA,7,0.351845445037683,47.3175675165985,0.00732807857511648,NA,NA,NA,"acute"
1,2019-03-16,0,NA,NA,NA,7,0.388104595283152,49.0997295413764,0.00768816582997785,NA,NA,NA,"acute"
2,2019-03-17,0,NA,NA,NA,7,0.39233650975142,48.3206946661329,0.00790535723934459,NA,NA,NA,"acute"
3,2019-03-18,0,NA,NA,NA,7,0.385523324601138,47.5162761112471,0.00786716005886706,NA,NA,NA,"acute"
4,2019-03-19,484,0.187702093954275,42.6224172293787,0.00424288941925617,8,0.368008386124081,46.7934114465958,0.00760680078209914,-0.180306292169806,-4.17099421721703,-0.00336391136284297,"acute"
