"event","window","signal","n_cells","raw_mean","demeaned_mean","demeaned_median","pct_suppressed","min","max"
"IDAI_2019","baseline","sif",39,-0.12955,0,-0.02029,53.8,-0.20818,0.29369
"IDAI_2019","baseline","nirvr",39,-4.45975,0,0.05426,48.7,-9.73047,14.81929
"IDAI_2019","baseline","phif",39,-0.00248,0,-0.00038,56.4,-0.00431,0.00531
"IDAI_2019","pre7","sif",319,-0.10034,0.02921,0.03586,37.6,-0.45859,0.37228
"IDAI_2019","pre7","nirvr",319,-3.69486,0.76489,1.16737,41.1,-17.17359,21.43485
"IDAI_2019","pre7","phif",319,-0.00175,0.00073,0.00083,34.8,-0.01052,0.008
"IDAI_2019","acute","sif",147,-0.11693,0.01262,0.01623,46.3,-0.47789,0.37994
"IDAI_2019","acute","nirvr",147,-7.22268,-2.76293,-2.58692,61.9,-20.96577,9.15756
"IDAI_2019","acute","phif",147,-0.00159,9e-04,0.00079,34,-0.00669,0.00791
"IDAI_2019","early","sif",769,0.01954,0.14909,0.15083,6.5,-0.18579,0.46335
"IDAI_2019","early","nirvr",769,-1.12774,3.33201,3.3031,24.3,-20.72974,21.28022
"IDAI_2019","early","phif",769,8e-04,0.00328,0.00322,4.7,-0.00322,0.01213
"IDAI_2019","recov2","sif",842,0.00698,0.13653,0.1402,9,-0.25851,0.46707
"IDAI_2019","recov2","nirvr",842,1.50969,5.96943,6.69478,14.1,-14.8447,18.90217
"IDAI_2019","recov2","phif",842,-3e-05,0.00245,0.00239,12.4,-0.01019,0.00902
"IDAI_2019","recov3","sif",177,0.02747,0.15703,0.15617,6.2,-0.16152,0.45209
"IDAI_2019","recov3","nirvr",177,4.76984,9.22958,9.60864,7.3,-6.27524,23.25416
"IDAI_2019","recov3","phif",177,-0.00019,0.00229,0.00227,16.9,-0.00553,0.01128
