"event","window","PRCPTOT","RX1day","sif_days","antecedent60d"
"IDAI","baseline",1.5,1,6,361.9
"IDAI","pre7",2.1,1,7,361.9
"IDAI","acute",34.4,14,3,361.9
"IDAI","early",0.7,0.4,4,361.9
"IDAI","recov2",0.5,0.4,5,361.9
"IDAI","recov3",8.5,4.6,4,361.9
"CHALANE","baseline",79.3,19.3,6,196.9
"CHALANE","pre7",39.8,19.2,6,196.9
"CHALANE","acute",43.8,17.1,2,196.9
"CHALANE","early",58.8,14,0,196.9
"CHALANE","recov2",81.3,25,0,196.9
"CHALANE","recov3",40.2,8.9,0,196.9
"ELOISE","baseline",35.3,19.1,0,285.4
"ELOISE","pre7",68.4,25.5,0,285.4
"ELOISE","acute",95.6,26.8,0,285.4
"ELOISE","early",60.9,24.1,0,285.4
"ELOISE","recov2",10.9,3.5,0,285.4
"ELOISE","recov3",50.1,18.2,0,285.4
