country,event,n_acute,morans_I,moran_p,effect,naive_lo,naive_hi,block_lo,block_hi
Zimbabwe,Chalane_2020,515,0.484620497005337,0.001,-42.9,-48.2575459852823,-37.5424540147177,-55.4763285460862,-30.3236714539138
Zimbabwe,Idai_2019,2962,0.190297075273191,0.001,-37.8,-38.9854060473155,-36.6145939526844,-40.3580346014391,-35.2419653985609
Mozambique,Chalane_2020,170,0.52203280358482,0.001,-16.7,-25.6832361532093,-7.71676384679065,-33.7456101393406,0.345610139340611
Mozambique,Desmond_2019,602,0.788971390725326,0.001,35.5,28.6407511773354,42.3592488226646,17.7713830780552,53.2286169219448
Mozambique,Idai_2019,4139,0.427122819472835,0.001,-6,-6.92029878194837,-5.07970121805163,-8.24191775889113,-3.75808224110887
Mozambique,Kenneth_2019,121,0.44039336059161,0.001,-32.2,-39.22315402641,-25.17684597359,-43.4162347205855,-20.9837652794145
Malawi,Idai_2019,1424,0.355360479951498,0.001,-3,-4.9059638209906,-1.0940361790094,-7.3845812431309,1.3845812431309
Botswana,Chalane_2020,15,0.0393272448239985,0.071,-10.2,-98.3988012241156,77.9988012241156,-133.502759665621,113.102759665621
Madagascar,Belna_2019,6037,0.495522639304999,0.001,-16.9,-20.4579510665894,-13.3420489334106,-28.5905246402214,-5.2094753597786
Madagascar,Chalane_2020,1665,0.397471227066765,0.001,-9.5,-12.4232643752644,-6.5767356247356,-15.2322555480655,-3.76774445193451
Madagascar,Diane_2020,2573,0.432999023604997,0.001,-19.6,-21.3522821713408,-17.8477178286592,-23.670781237817,-15.529218762183
Madagascar,Francisco_2020,320,0.235542552049935,0.001,-28.3,-32.5278363215332,-24.0721636784668,-34.7977156236965,-21.8022843763035
