"event","window","n_window_days","days_cf0.02","days_cf0.05","days_cf0.1","days_cf0.2","days_cf0.5","days_cf0.8"
"IDAI","baseline",7,6,6,7,7,7,7
"IDAI","pre7",7,7,7,7,7,7,7
"IDAI","acute",7,3,3,4,5,5,5
"IDAI","early",7,4,4,5,6,6,6
"IDAI","recov2",7,5,5,6,6,6,6
"IDAI","recov3",7,4,4,6,6,6,6
"CHALANE","baseline",7,6,6,6,7,7,7
"CHALANE","pre7",7,6,6,6,6,6,6
"CHALANE","acute",7,2,2,2,2,2,2
"CHALANE","early",7,0,0,0,0,0,0
"CHALANE","recov2",7,0,0,0,0,0,0
"CHALANE","recov3",7,0,0,0,0,0,0
"ELOISE","baseline",7,0,0,0,0,0,0
"ELOISE","pre7",7,0,0,0,0,0,0
"ELOISE","acute",7,0,0,0,0,0,0
"ELOISE","early",7,0,0,0,0,0,0
"ELOISE","recov2",7,0,0,0,0,0,0
"ELOISE","recov3",7,0,0,0,0,0,0
