"key","verdict","entry","acute_files_present","window_files_present","window_days","clim_yr1","clim_yr2","clim_yr3","clim_years_contributing","clim_years_labels"
"Botswana/Eloise_2021","NO_EVENT_DATA","2021-01-25",0,0,42,0,50,49,2,"2018/2019/2020"
"Madagascar/Ava_2018","NO_EVENT_DATA","2018-01-05",0,0,42,58,52,18,3,"2019/2020/2021"
"Madagascar/Eliakim_2018","NO_EVENT_DATA","2018-03-16",0,0,42,48,46,0,2,"2019/2020/2021"
"Madagascar/Eloise_2021","NO_EVENT_DATA","2021-01-19",0,0,42,0,50,49,2,"2018/2019/2020"
"Madagascar/Iman_2021","NO_EVENT_DATA","2021-03-05",0,0,42,0,49,48,2,"2018/2019/2020"
"Mozambique/Eloise_2021","NO_EVENT_DATA","2021-01-23",0,0,42,0,50,49,2,"2018/2019/2020"
"Mozambique/Guambe_2021","NO_EVENT_DATA","2021-02-12",0,0,42,0,50,48,2,"2018/2019/2020"
"South_Africa/Eloise_2021","NO_EVENT_DATA","2021-01-24",0,0,42,0,50,49,2,"2018/2019/2020"
"Zimbabwe/Eloise_2021","NO_EVENT_DATA","2021-01-23",0,0,42,0,50,49,2,"2018/2019/2020"
"Botswana/Chalane_2020","REPRODUCED","2020-12-31",1,14,42,23,58,23,3,"2018/2019/2021"
"Madagascar/Belna_2019","REPRODUCED","2019-12-09",7,42,42,45,51,42,3,"2018/2020/2021"
"Madagascar/Chalane_2020","REPRODUCED","2020-12-26",5,19,42,28,58,28,3,"2018/2019/2021"
"Madagascar/Diane_2020","REPRODUCED","2020-01-22",7,41,42,0,50,0,1,"2018/2019/2021"
"Madagascar/Francisco_2020","REPRODUCED","2020-02-15",7,40,42,0,49,0,1,"2018/2019/2021"
"Malawi/Idai_2019","REPRODUCED","2019-03-07",7,41,42,0,48,0,1,"2018/2020/2021"
"Mozambique/Chalane_2020","REPRODUCED","2020-12-30",2,15,42,24,58,24,3,"2018/2019/2021"
"Mozambique/Desmond_2019","REPRODUCED","2019-01-17",7,42,42,0,49,2,2,"2018/2020/2021"
"Mozambique/Idai_2019","REPRODUCED","2019-03-04",7,41,42,0,48,0,1,"2018/2020/2021"
"Mozambique/Kenneth_2019","REPRODUCED","2019-04-25",7,37,42,25,45,25,3,"2018/2020/2021"
"Zimbabwe/Chalane_2020","REPRODUCED","2020-12-30",2,15,42,24,58,24,3,"2018/2019/2021"
"Zimbabwe/Idai_2019","REPRODUCED","2019-03-15",7,40,42,0,46,0,1,"2018/2020/2021"
