"country","event","window","published","recomputed_A","diff","verdict"
"Botswana","Chalane_2020","baseline",0,0,0,"MATCH"
"Botswana","Chalane_2020","pre7",0.5,0.5,0,"MATCH"
"Botswana","Chalane_2020","acute",-10.2,-10.2,0,"MATCH"
"Botswana","Chalane_2020","early",NA,NA,NA,"BOTH_NA"
"Botswana","Chalane_2020","recov2",NA,NA,NA,"BOTH_NA"
"Botswana","Chalane_2020","recov3",NA,NA,NA,"BOTH_NA"
"Botswana","Eloise_2021","baseline",NA,NA,NA,"BOTH_NA"
"Botswana","Eloise_2021","pre7",NA,NA,NA,"BOTH_NA"
"Botswana","Eloise_2021","acute",NA,NA,NA,"BOTH_NA"
"Botswana","Eloise_2021","early",NA,NA,NA,"BOTH_NA"
"Botswana","Eloise_2021","recov2",NA,NA,NA,"BOTH_NA"
"Botswana","Eloise_2021","recov3",NA,NA,NA,"BOTH_NA"
"Madagascar","Ava_2018","baseline",NA,NA,NA,"BOTH_NA"
"Madagascar","Ava_2018","pre7",NA,NA,NA,"BOTH_NA"
"Madagascar","Ava_2018","acute",NA,NA,NA,"BOTH_NA"
"Madagascar","Ava_2018","early",NA,NA,NA,"BOTH_NA"
"Madagascar","Ava_2018","recov2",NA,NA,NA,"BOTH_NA"
"Madagascar","Ava_2018","recov3",NA,NA,NA,"BOTH_NA"
"Madagascar","Belna_2019","baseline",0,0,0,"MATCH"
"Madagascar","Belna_2019","pre7",12.9,12.9,0,"MATCH"
"Madagascar","Belna_2019","acute",-16.9,-16.9,0,"MATCH"
"Madagascar","Belna_2019","early",-22.9,-22.9,0,"MATCH"
"Madagascar","Belna_2019","recov2",-4.7,-4.7,0,"MATCH"
"Madagascar","Belna_2019","recov3",-47.8,-47.8,0,"MATCH"
"Madagascar","Chalane_2020","baseline",0,0,0,"MATCH"
"Madagascar","Chalane_2020","pre7",17.3,17.3,0,"MATCH"
"Madagascar","Chalane_2020","acute",-9.5,-9.5,0,"MATCH"
"Madagascar","Chalane_2020","early",NA,NA,NA,"BOTH_NA"
"Madagascar","Chalane_2020","recov2",NA,NA,NA,"BOTH_NA"
"Madagascar","Chalane_2020","recov3",NA,NA,NA,"BOTH_NA"
"Madagascar","Diane_2020","baseline",0,0,0,"MATCH"
"Madagascar","Diane_2020","pre7",-0.4,-0.4,0,"MATCH"
"Madagascar","Diane_2020","acute",-19.6,-19.6,0,"MATCH"
"Madagascar","Diane_2020","early",-0.9,-0.9,0,"MATCH"
