"country","event","window","n_days","acute_soundings","NIRvR_pct","A_SIF_pct","A_PhiF_residual_pct","A_PhiF_direct_pct","B_SIF_pct","B_PhiF_residual_pct","B_PhiF_direct_pct","Diff_SIF_pp","Diff_PhiF_residual_pp","Diff_PhiF_direct_pp","SIF_sign_changed","PhiF_sign_changed"
"Botswana","Chalane_2020","baseline",6,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Botswana","Chalane_2020","pre7",6,NA,15.668277632891,0.528146312579593,-13.0892684062983,-15.0765805138929,3.2861128355875,-10.7048925173781,-12.9714622519757,2.75796652300791,2.38437588892018,2.10511826191722,"no","no"
"Botswana","Chalane_2020","acute",1,15,7.19509788439503,-10.1642488651805,-16.1941610131246,-20.8287619473894,-21.8138225793633,-27.0617976346672,-31.9945500053165,-11.6495737141829,-10.8676366215425,-11.1657880579271,"no","no"
"Botswana","Chalane_2020","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Chalane_2020","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Chalane_2020","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Eloise_2021","baseline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Eloise_2021","pre7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Eloise_2021","acute",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Eloise_2021","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Eloise_2021","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana","Eloise_2021","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Ava_2018","baseline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Ava_2018","pre7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Ava_2018","acute",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Ava_2018","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Ava_2018","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Ava_2018","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Belna_2019","baseline",7,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Madagascar","Belna_2019","pre7",7,NA,19.167281965848,12.8590653655683,-5.29358100328883,-13.5750835337308,8.70041692988485,-8.78333789551635,-16.0723272199475,-4.1586484356834,-3.48975689222752,-2.49724368621669,"no","no"
"Madagascar","Belna_2019","acute",7,6037,-8.90762107265898,-16.8955454243254,-8.76903693341672,-12.3132154105004,-13.7438268629931,-5.30912228584091,-10.9408578161154,3.15171856133234,3.45991464757581,1.37235759438499,"no","no"
"Madagascar","Belna_2019","early",7,NA,-8.81631307264454,-22.8683678149875,-15.4107112970086,-22.0922337322363,-18.4341410236922,-10.5477506724531,-19.5151939709367,4.43422679129529,4.86296062455553,2.57703976129957,"no","no"
"Madagascar","Belna_2019","recov2",7,NA,6.59409219858269,-4.72738155597248,-10.6211080943055,-29.0911191303012,-9.28762980791497,-14.8992516179136,-31.5411186588985,-4.5602482519425,-4.27814352360809,-2.44999952859725,"no","no"
"Madagascar","Belna_2019","recov3",7,NA,-16.6756109923963,-47.8460537318659,-37.4085464180544,-38.0397692742097,-43.4463040678153,-32.1282800801288,-35.9263070690158,4.39974966405064,5.28026633792555,2.11346220519391,"no","no"
"Madagascar","Chalane_2020","baseline",7,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Madagascar","Chalane_2020","pre7",7,NA,17.7759127783221,17.3066025772655,-0.398477235273009,0.97722735810513,15.6859801579371,-1.77449919179886,-0.789473353572084,-1.62062241932847,-1.37602195652585,-1.76670071167721,"no","no"
"Madagascar","Chalane_2020","acute",5,1665,7.41476777226076,-9.46080442379662,-15.7106630178047,-28.0345124123894,-11.4087201085078,-17.5241154183546,-31.1997404455873,-1.94791568471119,-1.81345240054992,-3.1652280331979,"no","no"
"Madagascar","Chalane_2020","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Chalane_2020","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Chalane_2020","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Diane_2020","baseline",7,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Madagascar","Diane_2020","pre7",6,NA,-19.3205972479693,-0.402587005147916,23.4483766581245,35.0052841521843,0.715060030973927,24.8336707951633,34.6352802043108,1.11764703612184,1.38529413703885,-0.370003947873521,"YES","no"
"Madagascar","Diane_2020","acute",6,2573,-7.88569146681532,-19.6151661500553,-12.7336076989759,-9.91144855623311,-19.2687096388015,-12.3574918525121,-8.82402416411661,0.346456511253869,0.376115846463797,1.08742439211651,"no","no"
"Madagascar","Diane_2020","early",6,NA,2.52443661648363,-0.872508625656223,-3.313303007796,-3.67506764650096,0.869229827790291,-1.61445099658046,-1.49794817343919,1.74173845344651,1.69885201121553,2.17711947306178,"YES","no"
"Madagascar","Diane_2020","recov2",7,NA,1.21385436355187,-9.12915400988484,-10.218965020624,-8.00659821149867,-9.10890794003097,-10.1989617612074,-7.88748827391534,0.0202460698538687,0.0200032594165904,0.11910993758333,"no","no"
"Madagascar","Diane_2020","recov3",7,NA,-17.1292551769263,-10.0111911007589,8.58935694540235,2.70019212779126,-7.1539431369428,12.0371936577624,5.42657023690479,2.85724796381612,3.44783671236002,2.72637810911353,"no","no"
"Madagascar","Eliakim_2018","baseline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eliakim_2018","pre7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eliakim_2018","acute",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eliakim_2018","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eliakim_2018","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eliakim_2018","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","baseline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","pre7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","acute",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Francisco_2020","baseline",6,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Madagascar","Francisco_2020","pre7",6,NA,-5.03873736429379,11.3104259605238,17.2166659025342,16.6183487621557,12.7483276792287,18.7308640911377,17.4620562884375,1.43790171870495,1.51419818860357,0.84370752628185,"no","no"
"Madagascar","Francisco_2020","acute",4,320,-40.4536060880385,-28.3417180792197,20.3402544018468,6.84476686325664,-27.9122245040676,21.0615299433802,7.22537608908466,0.429493575152108,0.721275541533405,0.380609225828024,"no","no"
"Madagascar","Francisco_2020","early",6,NA,1.19357908619825,-6.4349982510484,-7.53859820567122,-13.3998177803401,-5.52262761690988,-6.63698899056348,-14.0666351180582,0.912370634138517,0.901609215107745,-0.666817337718125,"no","no"
"Madagascar","Francisco_2020","recov2",6,NA,2.93738991732114,3.22456749523949,0.278982766270852,-1.58337787351032,0.97651502519844,-1.90491996513381,-2.93200838415297,-2.24805247004105,-2.18390273140466,-1.34863051064264,"no","YES"
"Madagascar","Francisco_2020","recov3",4,NA,-13.2321468752657,-14.5342542211058,-1.5006794555216,-0.0625731189062997,-16.0761184171112,-3.27767881701202,-1.43082077640375,-1.54186419600547,-1.77699936149042,-1.36824765749745,"no","no"
"Madagascar","Iman_2021","baseline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Iman_2021","pre7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
