"key","country","event","entry","year","self_check","max_abs_dSIF","n_count_mismatch","finite_days_new","finite_days_pub","usable_acute_days","acute_soundings","minutes","file"
"Botswana/Chalane_2020","Botswana","Chalane_2020","2020-12-31",2020,"REPRODUCED",0,0,13,13,1,15,7.56,"series_Botswana_Chalane_2020.csv"
"Botswana/Eloise_2021","Botswana","Eloise_2021","2021-01-25",2021,"NO_EVENT_DATA",NA,0,0,0,0,0,7.95,"series_Botswana_Eloise_2021.csv"
"Madagascar/Ava_2018","Madagascar","Ava_2018","2018-01-05",2018,"NO_EVENT_DATA",NA,0,0,0,0,0,8.42,"series_Madagascar_Ava_2018.csv"
"Madagascar/Belna_2019","Madagascar","Belna_2019","2019-12-09",2019,"REPRODUCED",4.44089209850063e-16,0,42,42,7,6037,12.5,"series_Madagascar_Belna_2019.csv"
"Madagascar/Chalane_2020","Madagascar","Chalane_2020","2020-12-26",2020,"REPRODUCED",4.71844785465692e-16,0,19,19,5,1665,8.71,"series_Madagascar_Chalane_2020.csv"
"Madagascar/Diane_2020","Madagascar","Diane_2020","2020-01-22",2020,"REPRODUCED",4.9960036108132e-16,0,39,39,6,2573,5.63,"series_Madagascar_Diane_2020.csv"
"Madagascar/Eliakim_2018","Madagascar","Eliakim_2018","2018-03-16",2018,"NO_EVENT_DATA",NA,0,0,0,0,0,6.13,"series_Madagascar_Eliakim_2018.csv"
"Madagascar/Eloise_2021","Madagascar","Eloise_2021","2021-01-19",2021,"NO_EVENT_DATA",NA,0,0,0,0,0,6.04,"series_Madagascar_Eloise_2021.csv"
"Madagascar/Francisco_2020","Madagascar","Francisco_2020","2020-02-15",2020,"REPRODUCED",4.9960036108132e-16,0,32,32,4,320,4.56,"series_Madagascar_Francisco_2020.csv"
"Madagascar/Iman_2021","Madagascar","Iman_2021","2021-03-05",2021,"NO_EVENT_DATA",NA,0,0,0,0,0,5.89,"series_Madagascar_Iman_2021.csv"
"Malawi/Idai_2019","Malawi","Idai_2019","2019-03-07",2019,"REPRODUCED",4.44089209850063e-16,0,28,28,4,1424,5.3,"series_Malawi_Idai_2019.csv"
"Mozambique/Chalane_2020","Mozambique","Chalane_2020","2020-12-30",2020,"REPRODUCED",4.44089209850063e-16,0,15,15,2,170,6.09,"series_Mozambique_Chalane_2020.csv"
"Mozambique/Desmond_2019","Mozambique","Desmond_2019","2019-01-17",2019,"REPRODUCED",8.88178419700125e-16,0,40,40,6,602,4.69,"series_Mozambique_Desmond_2019.csv"
"Mozambique/Eloise_2021","Mozambique","Eloise_2021","2021-01-23",2021,"NO_EVENT_DATA",NA,0,0,0,0,0,6.09,"series_Mozambique_Eloise_2021.csv"
"Mozambique/Guambe_2021","Mozambique","Guambe_2021","2021-02-12",2021,"NO_EVENT_DATA",NA,0,0,0,0,0,5.87,"series_Mozambique_Guambe_2021.csv"
"Mozambique/Idai_2019","Mozambique","Idai_2019","2019-03-04",2019,"REPRODUCED",4.9960036108132e-16,0,39,39,7,4139,5.9,"series_Mozambique_Idai_2019.csv"
"Mozambique/Kenneth_2019","Mozambique","Kenneth_2019","2019-04-25",2019,"REPRODUCED",4.9960036108132e-16,0,21,21,1,121,8.71,"series_Mozambique_Kenneth_2019.csv"
"South_Africa/Eloise_2021","South_Africa","Eloise_2021","2021-01-24",2021,"NO_EVENT_DATA",NA,0,0,0,0,0,6.36,"series_South_Africa_Eloise_2021.csv"
"Zimbabwe/Chalane_2020","Zimbabwe","Chalane_2020","2020-12-30",2020,"REPRODUCED",4.44089209850063e-16,0,14,14,2,515,6.2,"series_Zimbabwe_Chalane_2020.csv"
"Zimbabwe/Eloise_2021","Zimbabwe","Eloise_2021","2021-01-23",2021,"NO_EVENT_DATA",NA,0,0,0,0,0,5.39,"series_Zimbabwe_Eloise_2021.csv"
"Zimbabwe/Idai_2019","Zimbabwe","Idai_2019","2019-03-15",2019,"REPRODUCED",4.44089209850063e-16,0,29,29,3,2962,5.59,"series_Zimbabwe_Idai_2019.csv"
