"rel","date","n","sif","nirvr","phif","sif_raw","phif_raw","clim_n","sif.clim","nirvr.clim","phif.clim","sif_raw.clim","phif_raw.clim","sif_anom","nirvr_anom","phif_anom","sif_raw_anom","phif_raw_anom","dcf","dcf.clim","window"
-14,2020-12-17,152,-0.0246467898434371,19.8153812772454,-0.00194635024131607,-0.0651006195847386,-0.00513307683551058,25,0.187678259226977,29.5255246305586,0.00525817056082846,0.487260047595361,0.0137510340645281,-0.212325049070414,-9.71014335331313,-0.00720452080214452,-0.552360667180099,-0.0188841109000387,0.37859531907151,0.385170629427086,"baseline"
-13,2020-12-18,33,0.202392089674532,24.9870740435829,0.00719268999040419,0.543051756071773,0.0193125416367347,25,0.186127903779191,29.6463280238749,0.00527699025946186,0.49044999774683,0.0139972421560594,0.0162641858953402,-4.65925398029196,0.00191569973094233,0.0526017583249435,0.00531529948067535,0.372693923574721,0.379504342204667,"baseline"
-12,2020-12-19,88,0.37968182314018,29.7978249896968,0.0126670428652778,1.02771164400672,0.0342894166704321,25,0.186749184782417,29.745557419781,0.00520375636166285,0.492230672337528,0.013823627098055,0.192932638357763,0.0522675699157809,0.00746328650361496,0.535480971669196,0.020465789572377,0.369443924620645,0.379393636515118,"baseline"
-11,2020-12-20,0,NA,NA,NA,NA,NA,26,0.195075215738799,30.4339394365013,0.00525637519711781,0.510054887935969,0.0138707496800802,NA,NA,NA,NA,NA,NA,0.382459261449699,"baseline"
-10,2020-12-21,519,0.458555195508399,41.5440502583076,0.0106873525959648,1.1308956977504,0.0263671535176691,26,0.200265582442643,30.456238842122,0.0054623764181041,0.522646720409324,0.014394070012925,0.258289613065756,11.0878114161856,0.00522497617786073,0.608248977341071,0.0119730835047442,0.405479653358456,0.383175813838075,"baseline"
-9,2020-12-22,987,0.47162046769715,41.9923166049347,0.0110867530118284,1.21049126366289,0.028479732679435,26,0.199697204926643,30.4277953922248,0.00539699340025625,0.519990323959984,0.0141794258939513,0.271923262770507,11.5645212127099,0.00568975961157218,0.690500939702908,0.0143003067854837,0.389610798404317,0.384040232529425,"baseline"
-8,2020-12-23,2212,0.286488548762771,36.0322735302412,0.00770176551111772,0.76210009433217,0.0204989691930094,27,0.205668484644377,31.1177787795198,0.00561016114450296,0.535405191997832,0.0147295762672494,0.0808200641183937,4.91449475072143,0.00209160436661476,0.226694902334338,0.00576939292575998,0.375919844248047,0.384136141595747,"baseline"
-7,2020-12-24,2089,0.368273192364884,39.5930019001879,0.00905285326619036,1.00974447590595,0.0248151437683228,27,0.213965390999241,30.9989016406224,0.00593460701256345,0.563508261874144,0.0157478275369072,0.154307801365643,8.59410025956545,0.00311824625362691,0.446236214031801,0.00906731623141557,0.364719194957188,0.379702314013328,"pre7"
-6,2020-12-25,361,0.243922416606745,30.7895592331082,0.00738529332508382,0.611736175951153,0.0187024073444147,27,0.224820662646179,31.3600097719012,0.00620775747483433,0.591161685239895,0.0164571984088235,0.019101753960566,-0.570450538793018,0.00117753585024949,0.0205744907112587,0.00224520893559121,0.39873793016652,0.3803031696057,"pre7"
-5,2020-12-26,0,NA,NA,NA,NA,NA,27,0.240647952195932,31.3191234962666,0.0068466550134349,0.631043408542252,0.0180745565355836,NA,NA,NA,NA,NA,NA,0.381349284277992,"pre7"
-4,2020-12-27,1426,0.450030799527838,44.5601272790264,0.00938624882262863,1.15122257063046,0.024021073537301,26,0.254048287260898,31.7665615919643,0.00717554072303355,0.664865663842977,0.0188959671322399,0.19598251226694,12.7935656870621,0.00221070809959508,0.486356906787487,0.00512510640506104,0.390915545793529,0.382104688325275,"pre7"
-3,2020-12-28,2518,0.315716942378281,37.6968058841419,0.00767701869176185,0.835602783487624,0.0203185773386355,24,0.250057883343165,31.5841395997682,0.00702598911704856,0.657270885880296,0.0185483614077718,0.0656590590351162,6.11266628437367,0.00065102957471329,0.178331897607328,0.00177021593086369,0.377831367507594,0.380448744520697,"pre7"
-2,2020-12-29,1224,0.338425784135824,38.0340300947408,0.00877660898503708,0.920155344538739,0.0238585266140244,23,0.245166765060776,30.9322931810448,0.0070518097489249,0.651372098077602,0.0187744671036661,0.0932590190750478,7.10173691369597,0.00172479923611218,0.268783246461137,0.00508405951035832,0.367792010495219,0.376385119633368,"pre7"
-1,2020-12-30,755,0.327993441343717,38.1166279699825,0.00841132696059528,0.907039036816649,0.0232455974519547,22,0.242236482604858,30.5139201397474,0.00695433831974707,0.645936791748625,0.0185766840673022,0.0857569587388586,7.60270783023511,0.00145698864084822,0.261102245068024,0.00466891338465251,0.361608958413571,0.37501576887902,"pre7"
0,2020-12-31,15,0.324169496695201,34.4756829090295,0.00850519088173163,0.795518947330614,0.0208946644149623,21,0.242618049982469,30.0949618408403,0.00708983645525986,0.64620219013047,0.0189180256751582,0.0815514467127316,4.38072106818911,0.00141535442647177,0.149316757200144,0.00197663873980416,0.407494375568251,0.375452224842326,"acute"
1,2021-01-01,0,NA,NA,NA,NA,NA,11,0.208136843216937,28.2745232441616,0.00621477862389344,0.560006093682143,0.0167767758699607,NA,NA,NA,NA,NA,NA,0.371668889972962,"acute"
2,2021-01-02,0,NA,NA,NA,NA,NA,10,0.213391229669735,28.62754725729,0.00650550195558499,0.572105775334878,0.0174960387756269,NA,NA,NA,NA,NA,NA,0.372992615823233,"acute"
3,2021-01-03,0,NA,NA,NA,NA,NA,9,0.208486780858117,28.3751298222172,0.00649740823474661,0.555983149538848,0.0173912529618099,NA,NA,NA,NA,NA,NA,0.374987589158131,"acute"
4,2021-01-04,0,NA,NA,NA,NA,NA,8,0.185803050454686,27.3859281110853,0.00585861814257059,0.490061321380582,0.0155363912257891,NA,NA,NA,NA,NA,NA,0.379142450849313,"acute"
