"rel","date","n","sif","nirvr","phif","sif_raw","phif_raw","clim_n","sif.clim","nirvr.clim","phif.clim","sif_raw.clim","phif_raw.clim","sif_anom","nirvr_anom","phif_anom","sif_raw_anom","phif_raw_anom","dcf","dcf.clim","window"
-14,2017-12-22,0,NA,NA,NA,NA,NA,23,0.339101183810281,33.2892413562263,0.00986279852740874,0.881033329493198,0.0256834033775158,NA,NA,NA,NA,NA,NA,0.384890301488757,"baseline"
-13,2017-12-23,0,NA,NA,NA,NA,NA,24,0.329109479673287,32.5840041929354,0.00972288153138223,0.860649944214949,0.0254770592950308,NA,NA,NA,NA,NA,NA,0.382396445715787,"baseline"
-12,2017-12-24,0,NA,NA,NA,NA,NA,23,0.316239147070413,31.9212328584773,0.0092772177152452,0.833345654948247,0.0244749278060942,NA,NA,NA,NA,NA,NA,0.379481365496593,"baseline"
-11,2017-12-25,0,NA,NA,NA,NA,NA,23,0.323927665237717,31.7176972594304,0.00945528959500704,0.851005612386288,0.0249084118236903,NA,NA,NA,NA,NA,NA,0.380641044574781,"baseline"
-10,2017-12-26,0,NA,NA,NA,NA,NA,24,0.337684755704598,32.3442039357598,0.00967270314606973,0.88843350257637,0.0255363886545043,NA,NA,NA,NA,NA,NA,0.380090073962031,"baseline"
-9,2017-12-27,0,NA,NA,NA,NA,NA,24,0.345490138347406,32.8838107923287,0.00976267306538662,0.903821583553811,0.0256201061700269,NA,NA,NA,NA,NA,NA,0.382254799657411,"baseline"
-8,2017-12-28,0,NA,NA,NA,NA,NA,23,0.351054032922382,33.2094233361747,0.00981859453724982,0.919844697184816,0.0258197356790929,NA,NA,NA,NA,NA,NA,0.381644895053244,"baseline"
-7,2017-12-29,0,NA,NA,NA,NA,NA,21,0.351380896227438,33.1014436447404,0.00988984613289818,0.926889192952029,0.0261675652843236,NA,NA,NA,NA,NA,NA,0.379096982572785,"pre7"
-6,2017-12-30,0,NA,NA,NA,NA,NA,19,0.360612987677328,33.1780819142903,0.0101108042732684,0.951444698511467,0.026766412620283,NA,NA,NA,NA,NA,NA,0.379016235248887,"pre7"
-5,2017-12-31,0,NA,NA,NA,NA,NA,18,0.378942959410236,34.4041414564379,0.010213625092542,0.994031822372188,0.0269209568970168,NA,NA,NA,NA,NA,NA,0.381218136966596,"pre7"
-4,2018-01-01,0,NA,NA,NA,NA,NA,21,0.387368542858652,36.0445992051927,0.0102660552716059,1.02379562821223,0.0272345490936967,NA,NA,NA,NA,NA,NA,0.37836510743368,"pre7"
-3,2018-01-02,0,NA,NA,NA,NA,NA,21,0.402080673446598,36.8914905557717,0.0107911055485228,1.06235141396944,0.0286159093755945,NA,NA,NA,NA,NA,NA,0.37848179816906,"pre7"
-2,2018-01-03,0,NA,NA,NA,NA,NA,20,0.414349780263135,38.0682642111944,0.0109807768869619,1.09796429587684,0.0292044186508101,NA,NA,NA,NA,NA,NA,0.377380013010562,"pre7"
-1,2018-01-04,0,NA,NA,NA,NA,NA,19,0.405484651263423,37.3166961692428,0.0109838728650851,1.07664865119133,0.0291994767199418,NA,NA,NA,NA,NA,NA,0.376617433008204,"pre7"
0,2018-01-05,0,NA,NA,NA,NA,NA,18,0.414359839887938,37.6372153250904,0.0111488251036305,1.10847203294227,0.0298951003423317,NA,NA,NA,NA,NA,NA,0.373811722419449,"acute"
1,2018-01-06,0,NA,NA,NA,NA,NA,18,0.422505826073567,37.6550479653146,0.0113218128501108,1.13719863708657,0.0305356975350239,NA,NA,NA,NA,NA,NA,0.371532124902998,"acute"
2,2018-01-07,0,NA,NA,NA,NA,NA,18,0.416721022927192,37.123697029098,0.0112992506019829,1.11865820786341,0.0303717393171617,NA,NA,NA,NA,NA,NA,0.372518629906728,"acute"
3,2018-01-08,0,NA,NA,NA,NA,NA,18,0.431788529560715,37.6884829894457,0.0116584781223853,1.16350707416016,0.0314596339220569,NA,NA,NA,NA,NA,NA,0.371109500878959,"acute"
4,2018-01-09,0,NA,NA,NA,NA,NA,18,0.424125484285782,37.2636321687935,0.0115801889899737,1.15115093902778,0.0313967482307447,NA,NA,NA,NA,NA,NA,0.368436032067162,"acute"
5,2018-01-10,0,NA,NA,NA,NA,NA,18,0.419488754197424,37.0195296939525,0.0114819109036603,1.13152181627554,0.0309566289952442,NA,NA,NA,NA,NA,NA,0.370729709461716,"acute"
6,2018-01-11,0,NA,NA,NA,NA,NA,18,0.443216316492749,37.7503496401451,0.0119358625691377,1.19850228358783,0.0323036353655487,NA,NA,NA,NA,NA,NA,0.369808487277923,"acute"
7,2018-01-12,0,NA,NA,NA,NA,NA,18,0.454906775609998,37.8153253899357,0.0122081306497635,1.22431100068084,0.0328789703337617,NA,NA,NA,NA,NA,NA,0.371561454039885,"early"
8,2018-01-13,0,NA,NA,NA,NA,NA,18,0.462585141257519,38.522977391636,0.0122232441437789,1.24122526392631,0.0328711417242628,NA,NA,NA,NA,NA,NA,0.372684277948262,"early"
