"rel","date","n","sif","nirvr","phif","sif_raw","phif_raw","clim_n","sif.clim","nirvr.clim","phif.clim","sif_raw.clim","phif_raw.clim","sif_anom","nirvr_anom","phif_anom","sif_raw_anom","phif_raw_anom","dcf","dcf.clim","window"
-14,2020-12-12,151,0.186535650679983,19.6566205403848,0.00925382140173244,0.501460237357617,0.0248567747604007,25,0.329074278983404,30.2540493860278,0.0106658946739665,0.862046367284199,0.0280318787736264,-0.14253862830342,-10.597428845643,-0.00141207327223411,-0.360586129926581,-0.0031751040132257,0.371984928781014,0.381736170433759,"baseline"
-13,2020-12-13,347,0.231386892017536,23.1714816022691,0.00975909381659592,0.641286902568808,0.0270369966011713,25,0.326687104738589,30.7229965411291,0.0104205626015901,0.862536884403668,0.0275665519895605,-0.0953002127210526,-7.55151493885992,-0.000661468784994231,-0.221249981834861,-0.000529555388389235,0.360816494287764,0.37875146054125,"baseline"
-12,2020-12-14,114,0.109562078543955,17.0493663997759,0.00631195097535826,0.308701308601405,0.0177840709159823,25,0.341257442002028,30.7565902179218,0.0108502217209827,0.89395740507515,0.0285101873599616,-0.231695363458073,-13.7072238181459,-0.00453827074562445,-0.585256096473745,-0.0107261164439794,0.354912906072003,0.381737921812215,"baseline"
-11,2020-12-15,901,0.345807649435842,30.4380860346578,0.0111810513788607,0.847034769580822,0.0273859695783823,25,0.331919761175378,30.1340038509214,0.0107154134291523,0.871973631348428,0.028248626067518,0.0138878882604642,0.304082183736416,0.000465637949708383,-0.0249388617676056,-0.000862656489135673,0.408256734970837,0.380653438639072,"baseline"
-10,2020-12-16,2047,0.333278386958122,30.6812808740923,0.0103927276602008,0.855969116592934,0.0266882925992377,26,0.322669452952175,29.8279256572473,0.010475057415604,0.847027389896604,0.0275722511332728,0.0106089340059466,0.853355216844939,-8.2329755403213e-05,0.00894172669632975,-0.000883958534035133,0.389357957544882,0.380943351774685,"baseline"
-9,2020-12-17,2305,0.298246581103641,25.9442304553641,0.0111389943831776,0.793167366931486,0.0296486413011119,26,0.323585464099286,29.9447210651092,0.0104520393609762,0.846262054547242,0.0274177806975614,-0.0253388829956454,-4.00049060974512,0.000686955022201351,-0.0530946876157569,0.00223086060355043,0.376019732452512,0.382370286320361,"baseline"
-8,2020-12-18,579,0.320392153866023,28.0823556715215,0.0114524851150127,0.876671242075675,0.0313720772901116,26,0.322555871662466,29.8981171162358,0.0102759712269978,0.850676529152804,0.0271632452059573,-0.00216371779644331,-1.81576144471435,0.00117651388801484,0.025994712922871,0.00420883208415431,0.365464427813826,0.37917570381741,"baseline"
-7,2020-12-19,835,0.231035027542001,27.4304324236385,0.00813033714118646,0.645627100726389,0.0227511991122461,25,0.331268597301717,30.2967066332378,0.010398982242266,0.87094891570127,0.0274243538124438,-0.100233569759716,-2.8662742095992,-0.00226864510107955,-0.225321814974881,-0.00467315470019771,0.357845925739588,0.380353647992071,"pre7"
-6,2020-12-20,148,0.413637816553583,36.6079770358514,0.0111451211501347,1.01738838779086,0.0273895749942067,25,0.350505492060086,31.4741250133337,0.0105891422579537,0.920127471664915,0.0279335069025544,0.0631323244934968,5.13385202251778,0.000555978892180996,0.0972609161259403,-0.000543931908347683,0.406568250156414,0.38093145010209,"pre7"
-5,2020-12-21,448,0.642511505546281,40.9286305866296,0.0148531953626572,1.6537575113138,0.0382145031592154,25,0.353799420191907,31.8083387944987,0.0106331944921462,0.928809655851169,0.0280142924329116,0.288712085354374,9.12029179213085,0.00422000087051096,0.724947855462636,0.0102002107263037,0.388516152549987,0.380917035006147,"pre7"
