"rel","date","n","sif","nirvr","phif","sif_raw","phif_raw","clim_n","sif.clim","nirvr.clim","phif.clim","sif_raw.clim","phif_raw.clim","sif_anom","nirvr_anom","phif_anom","sif_raw_anom","phif_raw_anom","dcf","dcf.clim","window"
-14,2018-03-02,0,NA,NA,NA,NA,NA,15,0.513407753841293,50.8950246321446,0.0103523195394331,1.45122667457094,0.0294592518109152,NA,NA,NA,NA,NA,NA,0.353775025526654,"baseline"
-13,2018-03-03,0,NA,NA,NA,NA,NA,14,0.529575324306831,51.6487580681272,0.0105988578711574,1.49450879470656,0.0301077366477185,NA,NA,NA,NA,NA,NA,0.354347412462575,"baseline"
-12,2018-03-04,0,NA,NA,NA,NA,NA,13,0.538902162701598,53.5084632893419,0.0100259116838475,1.51741586350729,0.0283099252170992,NA,NA,NA,NA,NA,NA,0.35514467435183,"baseline"
-11,2018-03-05,0,NA,NA,NA,NA,NA,14,0.533660903827196,53.0247464848968,0.00995264353514547,1.51641528301681,0.0283840400950647,NA,NA,NA,NA,NA,NA,0.351922662481685,"baseline"
-10,2018-03-06,0,NA,NA,NA,NA,NA,14,0.512410574055654,51.4147334374722,0.00980970780739809,1.46012307367713,0.0281032483136893,NA,NA,NA,NA,NA,NA,0.35093656370022,"baseline"
-9,2018-03-07,0,NA,NA,NA,NA,NA,13,0.485099706357673,49.2232191412855,0.00975677371112459,1.40541576802329,0.0283254509260224,NA,NA,NA,NA,NA,NA,0.345164553717769,"baseline"
-8,2018-03-08,0,NA,NA,NA,NA,NA,12,0.501169414626292,48.9875597272661,0.00993442218286875,1.45196102782147,0.0288671407835554,NA,NA,NA,NA,NA,NA,0.345167263461782,"baseline"
-7,2018-03-09,0,NA,NA,NA,NA,NA,12,0.486068395747944,48.398379755455,0.00972406965379261,1.39764219440081,0.0280487972902797,NA,NA,NA,NA,NA,NA,0.347777419496361,"pre7"
-6,2018-03-10,0,NA,NA,NA,NA,NA,13,0.458309321266418,47.3523371371595,0.00908273299030526,1.31978206155142,0.0262355319360323,NA,NA,NA,NA,NA,NA,0.347261365810405,"pre7"
-5,2018-03-11,0,NA,NA,NA,NA,NA,13,0.457925159107658,47.5238195305827,0.00905721343806235,1.31594705619503,0.0260942809641116,NA,NA,NA,NA,NA,NA,0.347981445721471,"pre7"
-4,2018-03-12,0,NA,NA,NA,NA,NA,14,0.443362490058132,47.4051293491932,0.00880715210209585,1.27202477020927,0.0253271211553559,NA,NA,NA,NA,NA,NA,0.348548629273306,"pre7"
