"rel","date","n","sif","nirvr","phif","sif_raw","phif_raw","clim_n","sif.clim","nirvr.clim","phif.clim","sif_raw.clim","phif_raw.clim","sif_anom","nirvr_anom","phif_anom","sif_raw_anom","phif_raw_anom","dcf","dcf.clim","window"
-14,2020-02-01,997,0.459780779447679,41.5612370793606,0.0110540051671763,1.27108065697291,0.0305825431686927,8,0.460770221250245,40.4979043548367,0.0118364457350892,1.26111555530411,0.0322623853879178,-0.000989441802565993,1.06333272452387,-0.000782440567912922,0.00996510166879294,-0.00167984221922504,0.361724314602232,0.365367169814293,"baseline"
-13,2020-02-02,189,0.371808067905327,33.9379257698757,0.0110175782644803,1.05556851257841,0.0312845531488044,8,0.444273673938701,39.8876858532007,0.0116464867138125,1.23115442230088,0.0321888555400616,-0.0724656060333735,-5.94976008332503,-0.000628908449332206,-0.175585909722468,-0.00090430239125721,0.352234898516555,0.360859422580318,"baseline"
-12,2020-02-03,330,0.382130055039218,37.9660354584744,0.0100921712022086,1.10795875849823,0.0292620945232627,8,0.464345937351501,41.955413622976,0.0115754464308793,1.27804830069691,0.0318207215137171,-0.0822158823122828,-3.98937816450164,-0.00148327522867079,-0.170089542198682,-0.00255862699045445,0.344895558709397,0.363324247681637,"baseline"
-11,2020-02-04,0,NA,NA,NA,NA,NA,9,0.444309272916538,41.9577889840781,0.0110286944402328,1.22233267647196,0.0303070536778599,NA,NA,NA,NA,NA,NA,0.363492919291789,"baseline"
-10,2020-02-05,239,0.454797713912119,41.605203883143,0.0111434664706474,1.21046891467155,0.0296554276946235,9,0.423211126943384,41.4702066980085,0.0105440052848295,1.1598198097251,0.0288610493974301,0.031586586968735,0.134997185134445,0.000599461185817898,0.0506491049464486,0.000794378297193379,0.375720275341003,0.364893859714031,"baseline"
-9,2020-02-06,1262,0.494974769291943,48.098731755923,0.0101912123614974,1.35941311022674,0.028025631738382,9,0.410364446064683,42.3184685388395,0.00974703457202059,1.14197426546329,0.0272296388990626,0.0846103232272602,5.78026321708352,0.000444177789476759,0.217438844763452,0.000795992839319391,0.364109162673431,0.359346491839027,"baseline"
-8,2020-02-07,1904,0.481918663004396,49.9644839457865,0.00969464882464839,1.3607360655234,0.0273869164670319,9,0.405851719885046,41.5931472761321,0.00985339432166135,1.1432852179297,0.0278853371932737,0.0760669431193495,8.37133666965438,-0.000158745497012957,0.217450847593696,-0.000498420726241768,0.354160277819217,0.354987288841165,"baseline"
-7,2020-02-08,1036,0.421443654123593,44.1346367107475,0.00965110052506198,1.21940245921454,0.0279341661104951,9,0.409402117240755,42.5320378452145,0.0097953060860336,1.14456449304459,0.0275739155434054,0.0120415368828378,1.60259886553302,-0.000144205560971621,0.0748379661699508,0.000360250567089646,0.345614896000013,0.35769248454644,"pre7"
-6,2020-02-09,8,0.534851841628551,35.3267447488859,0.0154498019620989,1.57474409043789,0.0454822481534271,9,0.423638767697765,43.9628077607608,0.0098242108855519,1.17737844157537,0.0275364337717686,0.111213073930786,-8.63606301187483,0.00562559107654696,0.397365648862522,0.0179458143816585,0.339643656944809,0.359815291955681,"pre7"
-5,2020-02-10,464,0.448355346344058,46.539275670374,0.0096772825982947,1.17940231141281,0.0254620891987914,9,0.425808547540001,45.9427555920131,0.00946332377128191,1.17833429248824,0.0264098275339628,0.0225467988040573,0.596520078360967,0.000213958827012794,0.00106801892457509,-0.000947738335171477,0.3801547122686,0.361364809845973,"pre7"
-4,2020-02-11,2632,0.530553504394627,53.7893592138006,0.00977258523438181,1.44777670464164,0.0266916568606898,9,0.423650611556459,48.0435863293948,0.00887813755519665,1.16903097254236,0.024635583872717,0.106902892838168,5.7457728844058,0.000894447679185164,0.278745732099286,0.00205607298797278,0.366460865611145,0.36239468543346,"pre7"
-3,2020-02-12,2030,0.43863367334516,44.7334537145946,0.00944850168874286,1.23616573802251,0.0266566139454775,9,0.409179706539217,47.2233367341901,0.0087254780829967,1.14453443616733,0.0245500107672381,0.0294539668059431,-2.48988301959551,0.000723023605746156,0.0916313018551735,0.00210660317823943,0.35483403224461,0.357507553821993,"pre7"
-2,2020-02-13,0,NA,NA,NA,NA,NA,9,0.408259463571236,48.1962594297762,0.00859737210654821,1.13682785719375,0.0240964597867592,NA,NA,NA,NA,NA,NA,0.359121621613865,"pre7"
-1,2020-02-14,9,0.492249382866753,47.3221311623125,0.0103786090494638,1.45040334595574,0.0305791223259806,9,0.4418247854472,51.2413528977024,0.00884251163082856,1.22222113765259,0.0246361692530384,0.0504245974195532,-3.91922173538993,0.00153609741863527,0.228182208303157,0.00594295307294224,0.339387925599679,0.36149332705518,"pre7"
0,2020-02-15,0,NA,NA,NA,NA,NA,9,0.450975402909522,53.3691817170888,0.00862516465329478,1.24270097515008,0.0239063757565118,NA,NA,NA,NA,NA,NA,0.362899371552403,"acute"
1,2020-02-16,8,0.292503828182817,34.4285114253746,0.0086714458645367,0.790712177753448,0.0234402057003021,9,0.454832418074622,54.981395889578,0.00828889565963795,1.2502622880319,0.022849832266339,-0.162328589891806,-20.5528844642034,0.000382550204898746,-0.459550110278452,0.000590373433963041,0.369924526790356,0.36378960033306,"acute"
2,2020-02-17,159,0.245427600796329,38.205165089113,0.00637480668265087,0.692315493669337,0.0179806046659112,9,0.448725717219488,54.2197423168119,0.00830364284473189,1.25117176266567,0.0232287408112198,-0.20329811642316,-16.014577227699,-0.00192883616208102,-0.558856268996337,-0.00524813614530865,0.354502539724395,0.358644376902704,"acute"
3,2020-02-18,128,0.355441985309881,39.7722562164373,0.00890969384869976,1.02401261724299,0.0256739439481524,9,0.432343369050401,52.5148953024336,0.00829029302794389,1.21993387313105,0.023476079160389,-0.07690138374052,-12.7426390859963,0.000619400820755867,-0.195921255888062,0.00219786478776344,0.347107036890677,0.354399019957335,"acute"
4,2020-02-19,25,0.394329763352871,37.4943952306898,0.0108296657688432,1.16083391427994,0.0318884004839021,8,0.42186837771318,51.5406743946347,0.00826096173581865,1.19242533908629,0.0234356822317339,-0.0275386143603095,-14.0462791639449,0.00256870403302458,-0.031591424806352,0.00845271825216824,0.339695247099558,0.353790181980234,"acute"
5,2020-02-20,0,NA,NA,NA,NA,NA,8,0.43093105156697,51.0858885271317,0.00848522075470725,1.21169404190293,0.0239465605343851,NA,NA,NA,NA,NA,NA,0.355643451782766,"acute"
6,2020-02-21,0,NA,NA,NA,NA,NA,8,0.430847099062813,51.1717251781445,0.0084219907103369,1.20717751754067,0.0236683615656572,NA,NA,NA,NA,NA,NA,0.356904508908151,"acute"
7,2020-02-22,0,NA,NA,NA,NA,NA,8,0.452716455648867,50.1406254616143,0.00910195999662223,1.28371026373281,0.0259084671981879,NA,NA,NA,NA,NA,NA,0.352662488132209,"early"
8,2020-02-23,445,0.456440296261624,47.6687121094291,0.00972904074077924,1.30806620996236,0.0279014677446208,8,0.433621507792721,45.4130801764854,0.0102838096173718,1.24787814541942,0.0297754917015685,0.022818788468903,2.25563193294375,-0.00055476887659253,0.0601880645429442,-0.00187402395694766,0.348942807929239,0.347487059841872,"early"
9,2020-02-24,828,0.502169298586224,50.2766346623203,0.0100785084531744,1.47614728312957,0.0296326809765138,8,0.442816587228337,44.0497566273504,0.0107549649566352,1.26467808171184,0.0308891452972859,0.0593527113578872,6.22687803496991,-0.000676456503460793,0.211469201417729,-0.00125646432077213,0.340189156140014,0.350141742496991,"early"
10,2020-02-25,2,0.695924758911133,49.3888601826373,0.0143296234827839,2.08346211910248,0.0429003819059126,8,0.444585987358756,43.9943263176409,0.0107844705255708,1.26299052124973,0.030841504384009,0.251338771552376,5.39453386499636,0.00354515295721303,0.820471597852753,0.0120588775219037,0.334023235906456,0.352010549468605,"early"
11,2020-02-26,4,0.132663236232474,32.1546969737539,0.00381764414338503,0.355332993902266,0.0102257065410963,8,0.438695615998862,43.3319005119276,0.0107484699299913,1.24161668907457,0.0306453150619492,-0.306032379766387,-11.1772035381737,-0.00693082578660629,-0.886283695172305,-0.020419608520853,0.373349051478635,0.353326127023824,"early"
12,2020-02-27,411,0.284935964915818,40.9927100626315,0.00688005387983688,0.792585330792089,0.0191405671518869,8,0.447487290868918,43.6750805471684,0.0108515021016406,1.26352196885432,0.0308651152423462,-0.1625513259531,-2.68237048453688,-0.0039714482218037,-0.470936638062227,-0.0117245480904593,0.359501941110947,0.354158694426716,"early"
13,2020-02-28,3456,0.460211590587217,52.6985020298477,0.00865940231602155,1.31514338066622,0.0247650056043718,9,0.456946916225024,44.3415512274836,0.0108364007346986,1.29963868211711,0.0309869246500741,0.00326467436219252,8.35695080236404,-0.00217699841867709,0.0155046985491114,-0.00622191904570226,0.349932636511531,0.351595349163246,"early"
14,2020-02-29,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"recov2"
15,2020-03-01,8,0.388410933315754,34.2002716785606,0.012169562578409,1.16194416955113,0.0363990332754772,8,0.454970404916257,43.8248925131505,0.0110045056140953,1.2992561458587,0.0315880733470607,-0.0665594716005033,-9.62462083458995,0.00116505696431373,-0.137311976307568,0.00481095992841652,0.334276760875524,0.350177604598175,"recov2"
16,2020-03-02,5,0.842814385890961,70.240672417667,0.0119531094300988,2.18778440952301,0.0310263239757556,8,0.448957330094829,43.8439079746552,0.010906578711068,1.27694364318255,0.0311890243134458,0.393857055796132,26.3967644430118,0.00104653071903079,0.910840766340455,-0.000162700337690263,0.385236489583868,0.351587427128642,"recov2"
17,2020-03-03,5,0.365128252282739,47.5247451863823,0.00724122773328703,1.00055085495114,0.019871015698413,8,0.447047304852273,44.2402027117531,0.0107054273701728,1.2652588263515,0.0304717008237015,-0.081919052569534,3.28454247462926,-0.00346419963688578,-0.264707971400362,-0.0106006851252885,0.364927230311115,0.353324786629923,"recov2"
18,2020-03-04,341,0.494917774985372,51.3266269882806,0.00926309123905709,1.40038218427876,0.0262496389868589,8,0.459010771627663,47.5135951865774,0.00962592707070292,1.29602634182026,0.0271573728571964,0.0359070033577091,3.81303180170325,-0.000362835831645822,0.104355842458492,-0.000907733870337418,0.353416217759348,0.354167779478143,"recov2"
19,2020-03-05,180,0.346941168932244,39.8629424478043,0.0085703391510975,1.01934612852832,0.0251867124240052,8,0.454094260358584,47.0844014812304,0.00961758122086152,1.30334657864885,0.0276140560056163,-0.10715309142634,-7.22145903342609,-0.00104724206976402,-0.284000450120538,-0.00242734358161112,0.340356586661237,0.348406377702953,"recov2"
20,2020-03-06,17,0.395460448282606,42.5634148364412,0.00923707413473584,1.18755123545142,0.0277323244496455,7,0.448614150304571,46.5074114074165,0.00961871460945468,1.29627411052233,0.0277872067737223,-0.0531537020219641,-3.94399657097535,-0.000381640474718841,-0.108722875070915,-5.48823240767299e-05,0.333004957156465,0.346079696156087,"recov2"
21,2020-03-07,0,NA,NA,NA,NA,NA,6,0.46006937064692,46.8742812223515,0.00981510116809588,1.33228831489879,0.0284168743653363,NA,NA,NA,NA,NA,NA,0.345322679409578,"recov3"
22,2020-03-08,0,NA,NA,NA,NA,NA,5,0.457318198177157,46.5046887043228,0.00983592569720306,1.32278798682674,0.0284433692417075,NA,NA,NA,NA,NA,NA,0.345722975058329,"recov3"
