"rel","date","n","sif","nirvr","phif","sif_raw","phif_raw","clim_n","sif.clim","nirvr.clim","phif.clim","sif_raw.clim","phif_raw.clim","sif_anom","nirvr_anom","phif_anom","sif_raw_anom","phif_raw_anom","dcf","dcf.clim","window"
-14,2021-02-19,0,NA,NA,NA,NA,NA,15,0.417014796598585,45.990621215575,0.00905738040314454,1.16762661831797,0.0254157797103852,NA,NA,NA,NA,NA,NA,0.357147387749105,"baseline"
-13,2021-02-20,0,NA,NA,NA,NA,NA,15,0.424240864205025,46.0216549619117,0.00915306545111247,1.19616770437434,0.0258725084830283,NA,NA,NA,NA,NA,NA,0.354666709904966,"baseline"
-12,2021-02-21,0,NA,NA,NA,NA,NA,14,0.41033589798477,44.8609160397126,0.00908005972131006,1.15791652971769,0.0256690544694083,NA,NA,NA,NA,NA,NA,0.354374333083244,"baseline"
-11,2021-02-22,0,NA,NA,NA,NA,NA,14,0.427694140105935,45.5564067131951,0.00938642093877574,1.21465518356988,0.0267229215926813,NA,NA,NA,NA,NA,NA,0.352111567044845,"baseline"
-10,2021-02-23,0,NA,NA,NA,NA,NA,14,0.410258783262038,43.0775703713764,0.00986548154160572,1.17305785470634,0.0283120179846649,NA,NA,NA,NA,NA,NA,0.349734483781912,"baseline"
-9,2021-02-24,0,NA,NA,NA,NA,NA,14,0.425773196956117,43.3885253544439,0.0100994848310119,1.20854435241134,0.0287626836644661,NA,NA,NA,NA,NA,NA,0.352302500199183,"baseline"
-8,2021-02-25,0,NA,NA,NA,NA,NA,14,0.428916594326436,43.5583702202085,0.0101156338142864,1.21393985417204,0.0287388247171044,NA,NA,NA,NA,NA,NA,0.353326067063656,"baseline"
-7,2021-02-26,0,NA,NA,NA,NA,NA,14,0.422345962461086,42.3926379510659,0.0102798183342614,1.20088555699733,0.0293577458687897,NA,NA,NA,NA,NA,NA,0.351695430093365,"pre7"
-6,2021-02-27,0,NA,NA,NA,NA,NA,16,0.428971406798891,43.9147754874569,0.0100604831348473,1.21651344186015,0.0286834012642962,NA,NA,NA,NA,NA,NA,0.352623647251246,"pre7"
-5,2021-02-28,0,NA,NA,NA,NA,NA,16,0.44497123031105,45.5290841100192,0.0100764708536282,1.26694853827893,0.0288526145394771,NA,NA,NA,NA,NA,NA,0.351214920627727,"pre7"
-4,2021-03-01,0,NA,NA,NA,NA,NA,17,0.418212886668486,43.0952132816545,0.0103252647517919,1.1891112087403,0.0293920327861595,NA,NA,NA,NA,NA,NA,0.351702081011856,"pre7"
-3,2021-03-02,0,NA,NA,NA,NA,NA,17,0.412643232270859,42.9806197749961,0.0102317977877821,1.17617274353277,0.0291916310333864,NA,NA,NA,NA,NA,NA,0.350835567768251,"pre7"
-2,2021-03-03,0,NA,NA,NA,NA,NA,17,0.430097319718933,43.2924562174451,0.0105418096597753,1.2175876412836,0.0298924970337755,NA,NA,NA,NA,NA,NA,0.353237257948446,"pre7"
-1,2021-03-04,0,NA,NA,NA,NA,NA,16,0.438225214179899,44.6798593895629,0.0101462013884945,1.23802306744417,0.0286236138472135,NA,NA,NA,NA,NA,NA,0.353971768138853,"pre7"
0,2021-03-05,0,NA,NA,NA,NA,NA,17,0.417868004375411,44.449391945424,0.0097110941463784,1.19132088485926,0.0276365245778113,NA,NA,NA,NA,NA,NA,0.35076024410063,"acute"
1,2021-03-06,0,NA,NA,NA,NA,NA,16,0.413454826312853,44.4926254234643,0.00953335872290933,1.18069287846429,0.027134384900047,NA,NA,NA,NA,NA,NA,0.350179825638169,"acute"
2,2021-03-07,0,NA,NA,NA,NA,NA,15,0.403768803238161,43.4139799682044,0.00957338292347833,1.16248033994724,0.0274071970208357,NA,NA,NA,NA,NA,NA,0.347333876852047,"acute"
