"rel","date","n","sif","nirvr","phif","sif_raw","phif_raw","clim_n","sif.clim","nirvr.clim","phif.clim","sif_raw.clim","phif_raw.clim","sif_anom","nirvr_anom","phif_anom","sif_raw_anom","phif_raw_anom","dcf","dcf.clim","window"
-14,2019-02-21,5,0.706254971027374,79.4484170770305,0.00892221702694677,1.92565789222717,0.0243272676783103,4,0.514737264728562,59.0339805751398,0.00847716827373988,1.48335144764908,0.0245308527723128,0.191517706298812,20.4144365018907,0.000445048753206887,0.442306444578088,-0.000203585094002489,0.366760354410895,0.347009648687338,"baseline"
-13,2019-02-22,545,0.637419493434899,70.7882874046353,0.008738433440347,1.80707929879769,0.0247732148330863,5,0.458319473895245,56.7021447481058,0.00779645851707485,1.32284580049299,0.022593859361197,0.179100019539655,14.0861426565294,0.000941974923272148,0.484233498304699,0.00217935547188925,0.352734655230126,0.346464775958348,"baseline"
-12,2019-02-23,476,0.557797466600392,64.0489411154293,0.00866369010540018,1.62728908631418,0.0252734585563224,6,0.469677553782028,56.9100108611071,0.00801243269677599,1.36470050841209,0.0233583134140384,0.0881199128183637,7.13893025432227,0.000651257408624194,0.262588577902091,0.00191514514228398,0.342777120114414,0.344161631718394,"baseline"
-11,2019-02-24,462,0.55454394183811,65.9911356204641,0.00839756446960293,1.65489968412366,0.0250578718028333,5,0.445241525656689,55.1446626727757,0.00800217794956633,1.31009166824527,0.0235693350074433,0.109302416181421,10.8464729476884,0.000395386520036603,0.344808015878394,0.00148853679538997,0.33509217939803,0.339855245589833,"baseline"
-10,2019-02-25,0,NA,NA,NA,NA,NA,4,0.430035184183619,53.7158753812952,0.00801845420944073,1.27580738695384,0.0237881212881524,NA,NA,NA,NA,NA,NA,0.337069050219551,"baseline"
-9,2019-02-26,31,0.61816164178233,74.3759593060442,0.0080186192566827,1.67288128214498,0.0217009900634488,4,0.443739445364734,55.8968183869724,0.00783834915050127,1.29944624731041,0.023028135058729,0.174422196417595,18.4791409190718,0.000180270106181431,0.373435034834563,-0.00132714499528018,0.369519133473548,0.341483494437098,"baseline"
-8,2019-02-27,348,0.635874641695242,73.3279884335626,0.00859427831155315,1.78954003297392,0.0241838525614997,4,0.431691307055258,58.4479310835714,0.0071622415027896,1.25506993617712,0.0208672751536041,0.204183334639984,14.8800573499912,0.00143203680876355,0.534470096796801,0.00331657740789563,0.355328536930534,0.343957969681091,"baseline"
-7,2019-02-28,318,0.495001213496211,60.9911640594663,0.00810560677927826,1.43710082253945,0.0235288918817603,5,0.437054779311717,57.9602624355852,0.00735300141871365,1.27756433043422,0.0215342603317704,0.0579464341844941,3.03090162388115,0.000752605360564614,0.159536492105225,0.00199463154998989,0.344444318542322,0.342100017118644,"pre7"
-6,2019-03-01,99,0.531735417216715,63.8937742789651,0.00832705821319601,1.58317598429593,0.0247918984826935,5,0.437054779311717,57.9602624355852,0.00735300141871365,1.27756433043422,0.0215342603317704,0.094680637904998,5.93351184337996,0.00097405679448236,0.305611653861707,0.00325763815092305,0.335866272916708,0.342100017118644,"pre7"
-5,2019-03-02,0,NA,NA,NA,NA,NA,5,0.490352401621094,61.5745142088211,0.00778260991414743,1.41928990137867,0.0225849539617775,NA,NA,NA,NA,NA,NA,0.345491362367036,"pre7"
-4,2019-03-03,0,NA,NA,NA,NA,NA,5,0.44643262844445,60.8915614827241,0.00689548365921926,1.28179636755721,0.0198396979364219,NA,NA,NA,NA,NA,NA,0.348286701182686,"pre7"
-3,2019-03-04,17,0.545861067140804,75.8272610387435,0.00712054324809279,1.52035080685335,0.0198319687643509,5,0.44643262844445,60.8915614827241,0.00689548365921926,1.28179636755721,0.0198396979364219,0.0994284386963539,14.9356995560194,0.000225059588873538,0.238554439296141,-7.72917207101168e-06,0.359036259710721,0.348286701182686,"pre7"
-2,2019-03-05,28,0.51330707062568,63.2989534686624,0.00789367033951925,1.48202711503421,0.0227918208868729,6,0.438533408196871,58.4659501775925,0.00726106568967412,1.26973968574984,0.0211245264698531,0.0747736624288086,4.83300329106987,0.00063260464984513,0.212287429284365,0.00166729441701972,0.346354709315715,0.345372687896966,"pre7"
-1,2019-03-06,0,NA,NA,NA,NA,NA,5,0.4126584839717,56.5877737422145,0.00713059490535474,1.20334336527284,0.020885680463382,NA,NA,NA,NA,NA,NA,0.342926629157203,"pre7"
0,2019-03-07,0,NA,NA,NA,NA,NA,5,0.40540293657667,56.3723186839111,0.00699521956346513,1.17063176226917,0.0203038615042865,NA,NA,NA,NA,NA,NA,0.346311239489036,"acute"
1,2019-03-08,0,NA,NA,NA,NA,NA,5,0.376754374360434,55.1624352324829,0.00664898244264351,1.07728159883031,0.0191094528805911,NA,NA,NA,NA,NA,NA,0.349726918912851,"acute"
2,2019-03-09,9,0.686325692468219,75.2486938261766,0.00898789200156981,1.88778508371777,0.0247235483468843,6,0.376298665661077,54.1774814836668,0.00675900176035053,1.08153805039522,0.0195158931380507,0.310027026807142,21.0712123425098,0.00222889024121928,0.806247033322552,0.00520765520883351,0.36356134942892,0.347929197242362,"acute"
3,2019-03-10,735,0.510265262175801,63.9176008437698,0.00785235521797653,1.45867903207866,0.022444980069107,7,0.385655325409206,53.9302627657626,0.00698758624473285,1.1177141115082,0.0203358393735678,0.124609936766595,9.98733807800715,0.000864768973243687,0.340964920570463,0.00210914069553923,0.349813256346503,0.345039327533245,"acute"
4,2019-03-11,517,0.422160908109662,57.7906349821747,0.00695458495097176,1.2462060364392,0.0205272541556259,6,0.366741809292597,52.0109631756981,0.00694857362425772,1.07242461899442,0.0203752536247008,0.0554190988170642,5.7796718064766,6.01132671404752e-06,0.173781417444777,0.000152000530925064,0.338756911590565,0.341974440717782,"acute"
5,2019-03-12,163,0.465679443961272,58.7015862508627,0.00795105077479206,1.40659930003933,0.0240134471808389,5,0.378716353684572,51.506240251712,0.0074069538849811,1.10960826701325,0.0217594436393476,0.0869630902767004,7.19534599915068,0.000544096889810965,0.296991033026081,0.00225400354149127,0.331067592560477,0.341306355533895,"acute"
6,2019-03-13,0,NA,NA,NA,NA,NA,6,0.411597046582668,53.3288812092086,0.00770154208456458,1.19687766036876,0.0224676724297001,NA,NA,NA,NA,NA,NA,0.343892329359588,"acute"
7,2019-03-14,5,0.52200308740139,60.7165474352341,0.00802996141669705,1.41608608365059,0.0217839534913879,6,0.398611176234076,53.7452295070543,0.00723050282965768,1.15215750816264,0.0209347539088041,0.123391911167314,6.97131792817982,0.000799458587039375,0.263928575487946,0.000849199582583816,0.368623838217304,0.345969343088989,"early"
8,2019-03-15,31,0.631727779824888,65.5677207407063,0.009511280670289,1.78773019102312,0.0269180891292705,7,0.391063247636352,52.7579513784108,0.00716942591544143,1.13633124983991,0.02087046278674,0.240664532188535,12.8097693622955,0.00234185475484757,0.651398941183212,0.00604762634253053,0.353368636384302,0.344145466114258,"early"
