"rel","date","n","sif","nirvr","phif","sif_raw","phif_raw","clim_n","sif.clim","nirvr.clim","phif.clim","sif_raw.clim","phif_raw.clim","sif_anom","nirvr_anom","phif_anom","sif_raw_anom","phif_raw_anom","dcf","dcf.clim","window"
-14,2021-01-09,0,NA,NA,NA,NA,NA,18,0.373341729505481,42.1758890593634,0.00520429702582191,1.01987593082604,0.0151036682748124,NA,NA,NA,NA,NA,NA,0.366065830383012,"baseline"
-13,2021-01-10,0,NA,NA,NA,NA,NA,18,0.398529091177982,43.0219858989351,0.00547480998443176,1.07495630003232,0.0156459886118793,NA,NA,NA,NA,NA,NA,0.370739806972617,"baseline"
-12,2021-01-11,0,NA,NA,NA,NA,NA,18,0.43817569742,44.0821006706179,0.00617036657299335,1.18535466553744,0.0175993034850235,NA,NA,NA,NA,NA,NA,0.369657883972923,"baseline"
-11,2021-01-12,0,NA,NA,NA,NA,NA,17,0.473428000142787,46.4138788540145,0.00633593266323504,1.28044608623835,0.0180843385131859,NA,NA,NA,NA,NA,NA,0.369736770045201,"baseline"
-10,2021-01-13,0,NA,NA,NA,NA,NA,17,0.542960477285294,49.2076720217862,0.0107537250502977,1.45904924617997,0.0290044566787182,NA,NA,NA,NA,NA,NA,0.372133071386627,"baseline"
-9,2021-01-14,0,NA,NA,NA,NA,NA,17,0.550878227425842,49.0149978005869,0.0110495313423561,1.48292110672996,0.0298690046263002,NA,NA,NA,NA,NA,NA,0.371481817155198,"baseline"
-8,2021-01-15,0,NA,NA,NA,NA,NA,17,0.573539722694746,50.1749099044076,0.0112163426838131,1.53643436607442,0.0301671990638813,NA,NA,NA,NA,NA,NA,0.373292693367785,"baseline"
-7,2021-01-16,0,NA,NA,NA,NA,NA,15,0.585658254335753,51.222801848795,0.0111232303929743,1.56110924370005,0.0297175542540571,NA,NA,NA,NA,NA,NA,0.375155202430075,"pre7"
-6,2021-01-17,0,NA,NA,NA,NA,NA,14,0.565971889473974,50.3314863077882,0.010728236691415,1.50587886685078,0.0286427974287964,NA,NA,NA,NA,NA,NA,0.375841577920263,"pre7"
-5,2021-01-18,0,NA,NA,NA,NA,NA,14,0.543344173288799,48.8687012756699,0.0104768293206371,1.45358524295443,0.0281494682934417,NA,NA,NA,NA,NA,NA,0.373795878791701,"pre7"
-4,2021-01-19,0,NA,NA,NA,NA,NA,14,0.505074764087794,46.3407242893622,0.010332550632375,1.3669169537776,0.0280428745065499,NA,NA,NA,NA,NA,NA,0.369499231604359,"pre7"
-3,2021-01-20,0,NA,NA,NA,NA,NA,14,0.476252832581459,46.8934373934893,0.00955872930659262,1.28299259491385,0.02584474944799,NA,NA,NA,NA,NA,NA,0.371204662029587,"pre7"
-2,2021-01-21,0,NA,NA,NA,NA,NA,15,0.461266464179964,46.2687770358948,0.00938367615773925,1.24182441876299,0.0253706862836894,NA,NA,NA,NA,NA,NA,0.371442578524459,"pre7"
-1,2021-01-22,0,NA,NA,NA,NA,NA,15,0.46292374076761,47.477222349576,0.00915586108464892,1.2570743159109,0.0249550779194531,NA,NA,NA,NA,NA,NA,0.36825487157628,"pre7"
0,2021-01-23,0,NA,NA,NA,NA,NA,15,0.493486237987534,50.1278001892709,0.00929993226605264,1.34341858627483,0.0253969763496142,NA,NA,NA,NA,NA,NA,0.367336169850028,"acute"
1,2021-01-24,0,NA,NA,NA,NA,NA,15,0.495456627083957,51.3724668351155,0.00915623390963253,1.35573949064633,0.0251580092687413,NA,NA,NA,NA,NA,NA,0.365451202463502,"acute"
2,2021-01-25,0,NA,NA,NA,NA,NA,17,0.479248517190741,49.7634847804468,0.00918757320726331,1.31383254383681,0.025315552831929,NA,NA,NA,NA,NA,NA,0.364771385393744,"acute"
3,2021-01-26,0,NA,NA,NA,NA,NA,18,0.498519650793214,50.5849202249067,0.00950995903240216,1.36251444169919,0.0261336829029054,NA,NA,NA,NA,NA,NA,0.365882104098297,"acute"
4,2021-01-27,0,NA,NA,NA,NA,NA,17,0.538566226746717,53.5920599474854,0.00982156436873291,1.47232902535758,0.0270066140717448,NA,NA,NA,NA,NA,NA,0.365792032535607,"acute"
5,2021-01-28,0,NA,NA,NA,NA,NA,17,0.532383487725306,54.39683304874,0.00951708566146739,1.45729339560651,0.0262034009842974,NA,NA,NA,NA,NA,NA,0.365323475238651,"acute"
6,2021-01-29,0,NA,NA,NA,NA,NA,17,0.535863748357252,54.1364544766754,0.00961811856419304,1.4712101636936,0.0265588855185551,NA,NA,NA,NA,NA,NA,0.364233310495845,"acute"
7,2021-01-30,0,NA,NA,NA,NA,NA,17,0.540900131047321,55.3157664804553,0.00952173784364076,1.48669023681545,0.0263201948378847,NA,NA,NA,NA,NA,NA,0.363828400599408,"early"
8,2021-01-31,0,NA,NA,NA,NA,NA,17,0.523839589697709,54.3275109991399,0.00939937157065112,1.43586014867049,0.0259141824863386,NA,NA,NA,NA,NA,NA,0.364826330881005,"early"
9,2021-02-01,0,NA,NA,NA,NA,NA,17,0.514899329995196,53.6891210170132,0.00935301840153163,1.41037732402789,0.0257732929023323,NA,NA,NA,NA,NA,NA,0.365079132529369,"early"
10,2021-02-02,0,NA,NA,NA,NA,NA,17,0.509998669926818,52.6681263521562,0.00943928271678238,1.4066676242808,0.0261511461894594,NA,NA,NA,NA,NA,NA,0.362558049338462,"early"
11,2021-02-03,0,NA,NA,NA,NA,NA,17,0.54654954746538,55.7935931597945,0.00956682415288433,1.5052279963105,0.0264578303845338,NA,NA,NA,NA,NA,NA,0.363100838414539,"early"
12,2021-02-04,0,NA,NA,NA,NA,NA,17,0.541612496025401,55.7870373707312,0.00946930166556942,1.49752515721992,0.0262947421601177,NA,NA,NA,NA,NA,NA,0.3616717177766,"early"
13,2021-02-05,0,NA,NA,NA,NA,NA,18,0.522773311567092,54.6435307169147,0.00926082294987937,1.44343881635875,0.0256832343235959,NA,NA,NA,NA,NA,NA,0.36217213063859,"early"
14,2021-02-06,0,NA,NA,NA,NA,NA,18,0.52575161912804,55.3491113740956,0.00916818604690959,1.44961507661735,0.0253786259950116,NA,NA,NA,NA,NA,NA,0.362683603122334,"recov2"
15,2021-02-07,0,NA,NA,NA,NA,NA,18,0.511150200595135,54.7289645381592,0.00897149911924641,1.41330375518684,0.0249063162604947,NA,NA,NA,NA,NA,NA,0.36167044679476,"recov2"
16,2021-02-08,0,NA,NA,NA,NA,NA,18,0.493836765558662,52.8296536517761,0.00897373007186175,1.37208661189607,0.0250629297066873,NA,NA,NA,NA,NA,NA,0.359916612608175,"recov2"
17,2021-02-09,0,NA,NA,NA,NA,NA,18,0.489714506146796,52.7815127494476,0.00888688067440051,1.36421381716938,0.0248738989276503,NA,NA,NA,NA,NA,NA,0.358971958782026,"recov2"
18,2021-02-10,0,NA,NA,NA,NA,NA,18,0.478256491640204,52.1500720198918,0.00878001717662641,1.33684203313742,0.0246453984122294,NA,NA,NA,NA,NA,NA,0.357750938244954,"recov2"
19,2021-02-11,0,NA,NA,NA,NA,NA,17,0.464135135096856,51.4224864717133,0.00863385939663222,1.29530991184961,0.0242091577617498,NA,NA,NA,NA,NA,NA,0.358319758731796,"recov2"
20,2021-02-12,0,NA,NA,NA,NA,NA,17,0.454805011232325,50.9858012058071,0.00854306199845598,1.27444960978653,0.0240319466579847,NA,NA,NA,NA,NA,NA,0.356863863223675,"recov2"
21,2021-02-13,0,NA,NA,NA,NA,NA,17,0.459137371756693,52.02091301332,0.00850736012471488,1.28707453579973,0.0239378411832574,NA,NA,NA,NA,NA,NA,0.35672943484303,"recov3"
22,2021-02-14,0,NA,NA,NA,NA,NA,17,0.474050197863171,52.5095871128247,0.00880326291284447,1.33416921465068,0.0248465187852475,NA,NA,NA,NA,NA,NA,0.355314897583879,"recov3"
23,2021-02-15,0,NA,NA,NA,NA,NA,17,0.475913534448937,52.3661722139684,0.00894495799210325,1.34490574794321,0.0253470255076533,NA,NA,NA,NA,NA,NA,0.353863856390502,"recov3"
24,2021-02-16,0,NA,NA,NA,NA,NA,17,0.482505322031833,52.8249286998251,0.00908874991314815,1.36030158305519,0.0256863429776701,NA,NA,NA,NA,NA,NA,0.354704668466343,"recov3"
25,2021-02-17,0,NA,NA,NA,NA,NA,17,0.495565565733054,54.2580597224073,0.00911153848823606,1.39376406690679,0.0256676909211487,NA,NA,NA,NA,NA,NA,0.355559149141269,"recov3"
26,2021-02-18,0,NA,NA,NA,NA,NA,17,0.496856842663228,54.5581138442519,0.00909141901198942,1.40231741199267,0.0257126685185555,NA,NA,NA,NA,NA,NA,0.354311255364934,"recov3"
27,2021-02-19,0,NA,NA,NA,NA,NA,16,0.502331877713851,55.1303704557212,0.00910944626482155,1.41866815852045,0.0257820115997267,NA,NA,NA,NA,NA,NA,0.354086947463275,"recov3"
