"rel","date","n","sif","nirvr","phif","sif_raw","phif_raw","clim_n","sif.clim","nirvr.clim","phif.clim","sif_raw.clim","phif_raw.clim","sif_anom","nirvr_anom","phif_anom","sif_raw_anom","phif_raw_anom","dcf","dcf.clim","window"
-14,2021-01-29,0,NA,NA,NA,NA,NA,17,0.452390385267659,49.0062035850152,0.0088710756733401,1.21731261649252,0.0239801123577036,NA,NA,NA,NA,NA,NA,0.371630408769726,"baseline"
-13,2021-01-30,0,NA,NA,NA,NA,NA,17,0.435840142520704,49.2910319772232,0.0084850779201534,1.17140938145034,0.0228986875518303,NA,NA,NA,NA,NA,NA,0.37206475329836,"baseline"
-12,2021-01-31,0,NA,NA,NA,NA,NA,17,0.427560062650826,49.0135401871935,0.00836954294084565,1.14215364576635,0.0224520222573401,NA,NA,NA,NA,NA,NA,0.374345486910341,"baseline"
-11,2021-02-01,0,NA,NA,NA,NA,NA,17,0.436800127749267,48.9104637026757,0.00873132549555425,1.17238229816679,0.0235279320855716,NA,NA,NA,NA,NA,NA,0.372574823444771,"baseline"
-10,2021-02-02,0,NA,NA,NA,NA,NA,16,0.429626279370964,48.5617571095549,0.00866559706347799,1.1516903490268,0.0233290557396172,NA,NA,NA,NA,NA,NA,0.373039749559426,"baseline"
-9,2021-02-03,0,NA,NA,NA,NA,NA,16,0.397408859957237,46.3879508008871,0.00815267732378184,1.07517485848088,0.0221423911873381,NA,NA,NA,NA,NA,NA,0.369622537973718,"baseline"
-8,2021-02-04,0,NA,NA,NA,NA,NA,16,0.391959265274818,46.5087372534206,0.00807842505222784,1.06739958190034,0.022082373367778,NA,NA,NA,NA,NA,NA,0.367209498599387,"baseline"
-7,2021-02-05,0,NA,NA,NA,NA,NA,17,0.381343002821062,46.0358639259286,0.00792036894156371,1.03638358809827,0.0216210070334634,NA,NA,NA,NA,NA,NA,0.367955462823194,"pre7"
-6,2021-02-06,0,NA,NA,NA,NA,NA,17,0.393371908061465,46.0094526654693,0.0081482501080665,1.07377914312872,0.0223342567133153,NA,NA,NA,NA,NA,NA,0.366343405511938,"pre7"
-5,2021-02-07,0,NA,NA,NA,NA,NA,17,0.401831181323041,46.0755637483809,0.00837922319163073,1.10340611697018,0.0231050898287356,NA,NA,NA,NA,NA,NA,0.364173421864309,"pre7"
-4,2021-02-08,0,NA,NA,NA,NA,NA,16,0.406638796056546,45.5195076431808,0.00855383849692642,1.12221793159046,0.0237099045399359,NA,NA,NA,NA,NA,NA,0.362352787822806,"pre7"
-3,2021-02-09,0,NA,NA,NA,NA,NA,16,0.408181440667639,45.4978421278355,0.00859957925990695,1.13218427622927,0.0239564155441091,NA,NA,NA,NA,NA,NA,0.360525622230936,"pre7"
-2,2021-02-10,0,NA,NA,NA,NA,NA,15,0.401473826245671,45.3773235541128,0.00846853424906117,1.11539900103323,0.0236126182550584,NA,NA,NA,NA,NA,NA,0.359937408831973,"pre7"
-1,2021-02-11,0,NA,NA,NA,NA,NA,15,0.398284345297054,45.0181536352437,0.00848243499535702,1.10910899668917,0.0237105432081624,NA,NA,NA,NA,NA,NA,0.359102979496139,"pre7"
0,2021-02-12,0,NA,NA,NA,NA,NA,15,0.417345121158009,46.2600651503745,0.00891102839065267,1.16439446536553,0.0249544469071282,NA,NA,NA,NA,NA,NA,0.358422453534246,"acute"
1,2021-02-13,0,NA,NA,NA,NA,NA,15,0.423097609492153,47.5490238112137,0.00876332555265291,1.1768993226364,0.024459197637172,NA,NA,NA,NA,NA,NA,0.359501956840592,"acute"
2,2021-02-14,0,NA,NA,NA,NA,NA,15,0.433575994808577,47.590276579338,0.00902657136628498,1.21154073352393,0.0252844103773834,NA,NA,NA,NA,NA,NA,0.357871578570424,"acute"
3,2021-02-15,0,NA,NA,NA,NA,NA,14,0.423603761521928,47.193391391477,0.00891815238860239,1.18428535821732,0.024989101411754,NA,NA,NA,NA,NA,NA,0.357687240311381,"acute"
4,2021-02-16,0,NA,NA,NA,NA,NA,14,0.412512694647365,47.6462587672196,0.00859230891979192,1.14693009988468,0.0239426405186571,NA,NA,NA,NA,NA,NA,0.359666813774302,"acute"
5,2021-02-17,0,NA,NA,NA,NA,NA,15,0.42153537168422,47.9811619349139,0.0087458884755132,1.17281212269269,0.0243844729194513,NA,NA,NA,NA,NA,NA,0.359422761351072,"acute"
6,2021-02-18,0,NA,NA,NA,NA,NA,14,0.415094595152897,48.2568405370528,0.00854608977897438,1.15685532599508,0.0238532628912303,NA,NA,NA,NA,NA,NA,0.358812883361928,"acute"
7,2021-02-19,0,NA,NA,NA,NA,NA,14,0.414832078444822,48.5061670676455,0.00849029773646582,1.1604421566863,0.0237840291077785,NA,NA,NA,NA,NA,NA,0.357477601149372,"early"
8,2021-02-20,0,NA,NA,NA,NA,NA,14,0.422063378999099,49.2488189119477,0.00847817388448535,1.18544722234492,0.0238292411007585,NA,NA,NA,NA,NA,NA,0.356037258381036,"early"
9,2021-02-21,0,NA,NA,NA,NA,NA,14,0.415516463448872,49.7931110308071,0.00827528232797415,1.16144275924751,0.0231437878978944,NA,NA,NA,NA,NA,NA,0.357758882338794,"early"
