"rel","date","n","sif","nirvr","phif","sif_raw","phif_raw","clim_n","sif.clim","nirvr.clim","phif.clim","sif_raw.clim","phif_raw.clim","sif_anom","nirvr_anom","phif_anom","sif_raw_anom","phif_raw_anom","dcf","dcf.clim","window"
-14,2020-12-16,0,NA,NA,NA,NA,NA,24,0.26411063452299,35.554005087667,0.006938609431799,0.699273304138408,0.0184400821622534,NA,NA,NA,NA,NA,NA,0.377693003522288,"baseline"
-13,2020-12-17,138,0.416119086070229,45.3327524139039,0.00891486332451086,1.03788813597698,0.0222411785207322,23,0.267692414075718,35.8913818945096,0.00698593592946074,0.710591870699398,0.0186135751039597,0.148426671994512,9.44137051939433,0.00192892739505012,0.327296265277583,0.00362760341677252,0.400928646976516,0.376717529588738,"baseline"
-12,2020-12-18,156,0.510390765869465,50.2616104733823,0.0100103471623556,1.32340929131859,0.0259659995166221,23,0.271352971850894,36.4661419495981,0.00695761088462103,0.716458413387999,0.0184409669002081,0.239037794018571,13.7954685237841,0.00305273627773457,0.606950877930595,0.00752503261641393,0.385663580585059,0.378742110889194,"baseline"
-11,2020-12-19,397,0.28487692301083,36.7341177737001,0.00770589616899186,0.762127297754477,0.0206184660368302,22,0.295923112804448,37.3876417600991,0.00751180837145347,0.7819059521352,0.0199205911937087,-0.0110461897936175,-0.653523986399044,0.000194087797538391,-0.0197786543807229,0.000697874843121459,0.373791784981575,0.378463819077412,"baseline"
-10,2020-12-20,125,0.221252672225237,37.5102803193152,0.00570322990183008,0.609711232796311,0.0157184700678311,22,0.292024699492734,37.4606609893439,0.00742923943518865,0.775308507080177,0.0197876291940781,-0.0707720272674974,0.0496193299713354,-0.00172600953335857,-0.165597274283866,-0.00406915912624703,0.362881082591358,0.376656126981637,"baseline"
-9,2020-12-21,36,0.417230905344089,41.4047331575045,0.0101257932794224,1.16275381379657,0.0282192078740972,21,0.296196379526499,37.911496095851,0.00745867090874815,0.78350625157512,0.0197955560931589,0.12103452581759,3.4932370616535,0.00266712237067421,0.379247562221453,0.00842365178093827,0.358829960730694,0.378039586705328,"baseline"
-8,2020-12-22,242,0.575273330706318,52.294442927498,0.0108856594840812,1.42896710773006,0.0270186003038565,21,0.302934429871767,38.3120430104598,0.00755889319917557,0.80088713842647,0.0200601129840603,0.272338900834551,13.9823999170383,0.00332676628490562,0.628079969303593,0.00695848731979619,0.402579826781422,0.378248588767391,"baseline"
-7,2020-12-23,870,0.62595088871774,55.4331312055665,0.0111895813915912,1.61051470549328,0.0288124864975293,21,0.31700789778203,38.7147535933033,0.0078299550310088,0.838788810304398,0.0207870154502978,0.30894299093571,16.7183776122632,0.00335962636058238,0.771725895188878,0.00802547104723145,0.388665118413818,0.377935296570047,"pre7"
-6,2020-12-24,1288,0.402839625667692,44.7531902037426,0.00891557698809487,1.07786311044105,0.0238554981888556,22,0.342527944093649,39.6795319343671,0.00826300946979545,0.904955180201018,0.0219178673421261,0.0603116815740431,5.07365826937546,0.00065256751829942,0.172907930240035,0.00193763084672956,0.373739134186393,0.37850266133353,"pre7"
-5,2020-12-25,48,0.414673331969728,44.1075355713059,0.00946050751156632,1.13731041550636,0.0259458357995258,23,0.353015184946535,39.960427788097,0.00845209905732297,0.93849127828555,0.0225507570275029,0.0616581470231926,4.14710778320894,0.00100840845424335,0.198819137220813,0.00339507877202283,0.364608752646571,0.376151801422629,"pre7"
-4,2020-12-26,0,NA,NA,NA,NA,NA,24,0.363375823999347,40.6719392104931,0.00854338281942545,0.96565884914664,0.0227937889193428,NA,NA,NA,NA,NA,NA,0.376298342132384,"pre7"
