"rel","date","n","sif","nirvr","phif","sif_raw","phif_raw","clim_n","sif.clim","nirvr.clim","phif.clim","sif_raw.clim","phif_raw.clim","sif_anom","nirvr_anom","phif_anom","sif_raw_anom","phif_raw_anom","dcf","dcf.clim","window"
-14,2021-01-09,0,NA,NA,NA,NA,NA,14,0.238841208764159,34.1359619076187,0.0058448688911537,0.646786748723564,0.0159007740238338,NA,NA,NA,NA,NA,NA,0.369273503570555,"baseline"
-13,2021-01-10,0,NA,NA,NA,NA,NA,14,0.265755492272007,35.3331488015636,0.00621179157144333,0.72346165772303,0.0169950613951749,NA,NA,NA,NA,NA,NA,0.367338737906894,"baseline"
-12,2021-01-11,0,NA,NA,NA,NA,NA,13,0.253677137839642,34.7314388641353,0.00583175376384884,0.693099074831466,0.0159902253986501,NA,NA,NA,NA,NA,NA,0.366004150130089,"baseline"
-11,2021-01-12,0,NA,NA,NA,NA,NA,13,0.275744363316744,35.871236364834,0.00656098104060209,0.754852727706334,0.0180243850796414,NA,NA,NA,NA,NA,NA,0.365295577793843,"baseline"
-10,2021-01-13,0,NA,NA,NA,NA,NA,12,0.274461059099198,35.7825225716512,0.00651755673433758,0.751627774053117,0.0179170831377521,NA,NA,NA,NA,NA,NA,0.365155557809126,"baseline"
-9,2021-01-14,0,NA,NA,NA,NA,NA,11,0.281458028042463,35.9146886199598,0.0065855132524599,0.771168527444481,0.0180843125967292,NA,NA,NA,NA,NA,NA,0.364976030563859,"baseline"
-8,2021-01-15,0,NA,NA,NA,NA,NA,11,0.314674001412413,38.5687226249955,0.0068491704008489,0.854052206811773,0.0186715011386626,NA,NA,NA,NA,NA,NA,0.368448203637468,"baseline"
-7,2021-01-16,0,NA,NA,NA,NA,NA,11,0.279547078264763,37.2059924815861,0.00575261961106961,0.75633652228793,0.0156281995869539,NA,NA,NA,NA,NA,NA,0.36960674253721,"pre7"
-6,2021-01-17,0,NA,NA,NA,NA,NA,10,0.262391890848705,36.6116739743756,0.00568839335704053,0.703889215751677,0.0153352375575985,NA,NA,NA,NA,NA,NA,0.372774415315483,"pre7"
-5,2021-01-18,0,NA,NA,NA,NA,NA,10,0.28056417016379,36.5666247816856,0.00633230035831314,0.756501997247734,0.0171739387798744,NA,NA,NA,NA,NA,NA,0.370870362780962,"pre7"
