"country","event","entry","acute_days","acute_soundings","self_check","dSIF_corr","dSIF_raw","dNIRvR","PhiF_direct_corr","PhiF_direct_raw","PhiF_resid_corr","PhiF_resid_raw","resid_diff_pp","DCF_base","DCF_acute","DCF_drift_pct"
"Madagascar","Belna_2019","2019-12-09",7,6037,"REPRODUCED",-16.8955454243255,-13.7438268629931,-8.90762107265899,-12.3132154105004,-10.9408578161154,-8.76903693341674,-5.30912228584092,3.45991464757582,0.385435557191264,0.380456373299235,-1.29183304423514
"Mozambique","Idai_2019","2019-03-04",7,4139,"REPRODUCED",-6.02307679649863,-8.00611595125915,7.01285271621177,-21.258185829846,-23.8021139031512,-12.1816484486032,-14.0347334794446,-1.85308503084144,0.351439113200607,0.353272226277386,0.521601895726463
"Madagascar","Diane_2020","2020-01-22",6,2573,"REPRODUCED",-19.6151661500553,-19.2687096388014,-7.8856914668153,-9.91144855623308,-8.82402416411663,-12.7336076989759,-12.3574918525121,0.37611584646381,0.371496428812092,0.363936418296936,-2.03501566336194
"Mozambique","Desmond_2019","2019-01-17",6,602,"REPRODUCED",35.5186496761743,39.0679639678856,14.5402684098425,139.023496835235,130.769786591525,18.3152890748151,21.4140370880564,3.09874801324135,0.381302953259294,0.363025225617632,-4.79349228361012
"Madagascar","Chalane_2020","2020-12-26",5,1665,"REPRODUCED",-9.46080442379664,-11.4087201085077,7.41476777226072,-28.0345124123893,-31.1997404455873,-15.7106630178047,-17.5241154183545,-1.81345240054984,0.375259025988977,0.382875249415872,2.02959100232774
"Madagascar","Francisco_2020","2020-02-15",4,320,"REPRODUCED",-28.3417180792196,-27.9122245040676,-40.4536060880384,6.84476686325664,7.22537608908466,20.3402544018467,21.0615299433801,0.721275541533341,0.358807414610306,0.352807337626247,-1.67222770203223
"Malawi","Idai_2019","2019-03-07",4,1424,"REPRODUCED",-2.96345887334239,-0.186252701946139,-5.833998554881,2.99470400386439,5.20469987800931,3.04838225844344,5.99764858469265,2.94926632624921,0.353701996592924,0.345799777481616,-2.23414602898121
"Zimbabwe","Idai_2019","2019-03-15",3,2962,"REPRODUCED",-37.7599431882087,-34.3097203957343,-9.52229763306191,-32.6536845931968,-29.2046217978022,-31.2095077753271,-27.3961673586111,3.81334041671594,0.357854974947868,0.345391638513156,-3.48278976323515
"Mozambique","Chalane_2020","2020-12-30",2,170,"REPRODUCED",-16.7460831958867,-17.323854591484,-22.777322299343,10.3825615584629,7.41712878011915,7.81019162121723,7.06200286009069,-0.748188761126545,0.373533996934236,0.375021488381667,0.398221168525343
"Zimbabwe","Chalane_2020","2020-12-30",2,515,"REPRODUCED",-42.9072183723596,-34.6055366213634,-16.9667318093488,-22.4133741113878,-16.023517015358,-31.2410761713597,-21.2430573869674,9.99801878439234,0.38077914710777,0.359650056049103,-5.54890970767565
"Botswana","Chalane_2020","2020-12-31",1,15,"REPRODUCED",-10.1642488651805,-21.8138225793634,7.19509788439504,-20.8287619473894,-31.9945500053166,-16.1941610131247,-27.0617976346672,-10.8676366215425,0.381957243879616,0.407494375568251,6.68586133600948
"Mozambique","Kenneth_2019","2019-04-25",1,121,"REPRODUCED",-32.1615729101178,-29.5651232888424,-15.0963392681156,-17.428968604031,-15.4126535910075,-20.0995263277188,-17.0414136398871,3.05811268783172,0.346544217470577,0.34350753373979,-0.876275977983954
