"rel","n","sif","sif_raw","nirvr","phif","phif_raw","clim_n","sif.clim","sif_raw.clim","nirvr.clim","phif.clim","phif_raw.clim","window","sif_anom","sif_raw_anom","nirvr_anom","phif_anom","phif_raw_anom","dcf"
-14,152,-0.0246467898434371,-0.0651006195847386,19.8153812772454,-0.00194635024131607,-0.00513307683551058,25,0.187678259226977,0.487260047595361,29.5255246305586,0.00525817056082846,0.0137510340645281,"baseline",-0.212325049070414,-0.552360667180099,-9.71014335331313,-0.00720452080214452,-0.0188841109000387,0.37859531907151
-13,33,0.202392089674532,0.543051756071773,24.9870740435829,0.00719268999040419,0.0193125416367347,25,0.186127903779191,0.49044999774683,29.6463280238749,0.00527699025946186,0.0139972421560594,"baseline",0.0162641858953402,0.0526017583249435,-4.65925398029196,0.00191569973094233,0.00531529948067535,0.372693923574721
-12,88,0.37968182314018,1.02771164400672,29.7978249896968,0.0126670428652778,0.0342894166704321,25,0.186749184782417,0.492230672337528,29.745557419781,0.00520375636166285,0.013823627098055,"baseline",0.192932638357763,0.535480971669196,0.0522675699157809,0.00746328650361496,0.020465789572377,0.369443924620645
-11,0,NA,NA,NA,NA,NA,26,0.195075215738799,0.510054887935969,30.4339394365013,0.00525637519711781,0.0138707496800802,"baseline",NA,NA,NA,NA,NA,NA
-10,519,0.458555195508399,1.1308956977504,41.5440502583076,0.0106873525959648,0.0263671535176691,26,0.200265582442643,0.522646720409324,30.456238842122,0.0054623764181041,0.014394070012925,"baseline",0.258289613065756,0.608248977341071,11.0878114161856,0.00522497617786073,0.0119730835047442,0.405479653358456
-9,987,0.47162046769715,1.21049126366289,41.9923166049347,0.0110867530118284,0.028479732679435,26,0.199697204926643,0.519990323959984,30.4277953922248,0.00539699340025625,0.0141794258939513,"baseline",0.271923262770507,0.690500939702908,11.5645212127099,0.00568975961157218,0.0143003067854837,0.389610798404317
-8,2212,0.286488548762771,0.76210009433217,36.0322735302412,0.00770176551111772,0.0204989691930094,27,0.205668484644377,0.535405191997832,31.1177787795198,0.00561016114450296,0.0147295762672494,"baseline",0.0808200641183937,0.226694902334338,4.91449475072143,0.00209160436661476,0.00576939292575998,0.375919844248047
-7,2089,0.368273192364884,1.00974447590595,39.5930019001879,0.00905285326619036,0.0248151437683228,27,0.213965390999241,0.563508261874144,30.9989016406224,0.00593460701256345,0.0157478275369072,NA,0.154307801365643,0.446236214031801,8.59410025956545,0.00311824625362691,0.00906731623141557,0.364719194957188
-6,361,0.243922416606745,0.611736175951153,30.7895592331082,0.00738529332508382,0.0187024073444147,27,0.224820662646179,0.591161685239895,31.3600097719012,0.00620775747483433,0.0164571984088235,NA,0.019101753960566,0.0205744907112587,-0.570450538793018,0.00117753585024949,0.00224520893559121,0.39873793016652
-5,0,NA,NA,NA,NA,NA,27,0.240647952195932,0.631043408542252,31.3191234962666,0.0068466550134349,0.0180745565355836,NA,NA,NA,NA,NA,NA,NA
-4,1426,0.450030799527838,1.15122257063046,44.5601272790264,0.00938624882262863,0.024021073537301,26,0.254048287260898,0.664865663842977,31.7665615919643,0.00717554072303355,0.0188959671322399,NA,0.19598251226694,0.486356906787487,12.7935656870621,0.00221070809959508,0.00512510640506104,0.390915545793529
-3,2518,0.315716942378281,0.835602783487624,37.6968058841419,0.00767701869176185,0.0203185773386355,24,0.250057883343165,0.657270885880296,31.5841395997682,0.00702598911704856,0.0185483614077718,NA,0.0656590590351162,0.178331897607328,6.11266628437367,0.00065102957471329,0.00177021593086369,0.377831367507594
-2,1224,0.338425784135824,0.920155344538739,38.0340300947408,0.00877660898503708,0.0238585266140244,23,0.245166765060776,0.651372098077602,30.9322931810448,0.0070518097489249,0.0187744671036661,NA,0.0932590190750478,0.268783246461137,7.10173691369597,0.00172479923611218,0.00508405951035832,0.367792010495219
-1,755,0.327993441343717,0.907039036816649,38.1166279699825,0.00841132696059528,0.0232455974519547,22,0.242236482604858,0.645936791748625,30.5139201397474,0.00695433831974707,0.0185766840673022,NA,0.0857569587388586,0.261102245068024,7.60270783023511,0.00145698864084822,0.00466891338465251,0.361608958413571
0,15,0.324169496695201,0.795518947330614,34.4756829090295,0.00850519088173163,0.0208946644149623,21,0.242618049982469,0.64620219013047,30.0949618408403,0.00708983645525986,0.0189180256751582,"acute",0.0815514467127316,0.149316757200144,4.38072106818911,0.00141535442647177,0.00197663873980416,0.407494375568251
1,0,NA,NA,NA,NA,NA,11,0.208136843216937,0.560006093682143,28.2745232441616,0.00621477862389344,0.0167767758699607,"acute",NA,NA,NA,NA,NA,NA
2,0,NA,NA,NA,NA,NA,10,0.213391229669735,0.572105775334878,28.62754725729,0.00650550195558499,0.0174960387756269,"acute",NA,NA,NA,NA,NA,NA
3,0,NA,NA,NA,NA,NA,9,0.208486780858117,0.555983149538848,28.3751298222172,0.00649740823474661,0.0173912529618099,"acute",NA,NA,NA,NA,NA,NA
4,0,NA,NA,NA,NA,NA,8,0.185803050454686,0.490061321380582,27.3859281110853,0.00585861814257059,0.0155363912257891,"acute",NA,NA,NA,NA,NA,NA
5,0,NA,NA,NA,NA,NA,8,0.174491102338974,0.470903364659666,26.7233330513801,0.00577518342398635,0.0156186276876634,"acute",NA,NA,NA,NA,NA,NA
6,0,NA,NA,NA,NA,NA,9,0.196326643396992,0.533485548427343,27.4178061521655,0.00639370671327901,0.0173963220227211,"acute",NA,NA,NA,NA,NA,NA
