"country","event","n_acute","morans_I","moran_p","n_eff","ci_naive","ci_block","inflation"
"Zimbabwe","Chalane_2020",515,0.485,0.001,178.8,0.0152,0.0358,2.35
"Zimbabwe","Eloise_2021",0,NA,NA,NA,NA,NA,NA
"Zimbabwe","Idai_2019",2962,0.19,0.001,2014.9,0.0044,0.0095,2.16
"Mozambique","Chalane_2020",170,0.522,0.001,53.4,0.0424,0.0804,1.9
"Mozambique","Desmond_2019",602,0.789,0.001,71,0.0245,0.0634,2.58
"Mozambique","Eloise_2021",0,NA,NA,NA,NA,NA,NA
"Mozambique","Guambe_2021",0,NA,NA,NA,NA,NA,NA
"Mozambique","Idai_2019",4139,0.427,0.001,1661.5,0.0051,0.0125,2.44
"Mozambique","Kenneth_2019",121,0.44,0.001,47,0.0309,0.0494,1.6
"Malawi","Idai_2019",1424,0.355,0.001,677.3,0.0087,0.02,2.3
"Botswana","Chalane_2020",15,0.039,0.071,13.9,0.1715,0.2398,1.4
"Botswana","Eloise_2021",0,NA,NA,NA,NA,NA,NA
"Madagascar","Ava_2018",0,NA,NA,NA,NA,NA,NA
"Madagascar","Belna_2019",6037,0.496,0.001,2036.4,0.0056,0.0183,3.29
"Madagascar","Chalane_2020",1665,0.397,0.001,717.9,0.0096,0.0188,1.96
"Madagascar","Diane_2020",2573,0.433,0.001,1018.1,0.0084,0.0195,2.32
"Madagascar","Eliakim_2018",0,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021",0,NA,NA,NA,NA,NA,NA
"Madagascar","Francisco_2020",320,0.236,0.001,198,0.0184,0.0283,1.54
"Madagascar","Iman_2021",0,NA,NA,NA,NA,NA,NA
"South_Africa","Eloise_2021",0,NA,NA,NA,NA,NA,NA
