"doy","year","date","n","sif","nirvr","phif","sif.clim","nirvr.clim","phif.clim","sif_anom","nirvr_anom","phif_anom","rel","window"
61,2019,2019-03-02,281,0.437856637047491,62.78199095717,0.00692180737443816,0.292667669227961,46.7353093694436,0.00613410257586212,0.145188967819531,16.0466815877265,0.000787704798576041,-13,"baseline"
62,2019,2019-03-03,251,0.33368443924353,52.7380357063095,0.00616633420816346,0.354790032196503,51.6215635413445,0.00686388780397548,-0.0211055929529735,1.11647216496505,-0.000697553595812011,-12,"baseline"
63,2019,2019-03-04,871,0.228054383438696,43.2246127791343,0.00515745618310621,NA,NA,NA,NA,NA,NA,-11,"baseline"
64,2019,2019-03-05,1107,0.165506667363545,41.1908622048503,0.00386111773437201,NA,NA,NA,NA,NA,NA,-10,"baseline"
65,2019,2019-03-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,"baseline"
66,2019,2019-03-07,10,0.445198307931423,46.4383625094217,0.00961154513380761,0.366422352691491,47.512644709338,0.00763643503296101,0.0787759552399317,-1.07428219991628,0.0019751101008466,-8,"baseline"
67,2019,2019-03-08,72,0.278150459919642,44.528331911219,0.00616332129943361,0.363442152738571,49.1978991687869,0.00746374444323566,-0.0852916928189289,-4.66956725756789,-0.00130042314380205,-7,"pre7"
69,2019,2019-03-10,718,0.244467018474695,42.2961682513539,0.00556220172997628,NA,NA,NA,NA,NA,NA,-5,"pre7"
70,2019,2019-03-11,1154,0.224140888244147,41.612654634499,0.00525239185698798,0.473136146863302,65.9646560674123,0.00706391371984352,-0.248995258619155,-24.3520014329133,-0.00181152186285554,-4,"pre7"
71,2019,2019-03-12,4,0.153445076197386,51.8854306267451,0.00293136888127914,0.410717834859323,55.7586689634192,0.00721331974305075,-0.257272758661937,-3.8732383366741,-0.00428195086177161,-3,"pre7"
72,2019,2019-03-13,2,0.359438896179199,45.7096932730517,0.00809971355566258,0.316445190975629,46.8711760103276,0.00660377766056385,0.0429937052035699,-1.1614827372759,0.00149593589509873,-2,"pre7"
73,2019,2019-03-14,427,0.249609939133491,43.7349039546054,0.00567085668748429,0.342424947390972,46.7329930493131,0.00720633297131212,-0.0928150082574808,-2.99808909470767,-0.00153547628382784,-1,"pre7"
74,2019,2019-03-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"acute"
75,2019,2019-03-16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"acute"
76,2019,2019-03-17,0,NA,NA,NA,0.33692811926206,42.1836942334287,0.00794614190801568,NA,NA,NA,2,"acute"
77,2019,2019-03-18,0,NA,NA,NA,0.33359824657015,45.0271121141658,0.00715905534221326,NA,NA,NA,3,"acute"
78,2019,2019-03-19,484,0.187702093954275,42.6224172293787,0.00424288941925617,0.336568307863117,48.4776064214517,0.00680104710323445,-0.148866213908843,-5.85518919207294,-0.00255815768397828,4,"acute"
79,2019,2019-03-20,1027,0.20506368208641,37.4908435254703,0.00537317400756444,0.386235468342532,46.1717218240835,0.00836687529742525,-0.181171786256123,-8.6808782986132,-0.00299370128986081,5,"acute"
80,2019,2019-03-21,1451,0.182468425572952,38.976278999694,0.00463697867323735,0.664531886577606,68.2338031368646,0.00973393052708036,-0.482063461004654,-29.2575241371706,-0.00509695185384301,6,"acute"
82,2019,2019-03-23,0,NA,NA,NA,0.294732651338997,41.1020631651129,0.00693895270796937,NA,NA,NA,8,"early"
83,2019,2019-03-24,63,0.243446956299955,41.0992628938262,0.00590527153301163,0.24540381678468,41.733358794036,0.0057842858447237,-0.00195686048472532,-0.6340959002098,0.00012098568828793,9,"early"
85,2019,2019-03-26,2540,0.274257346998678,38.3075854582153,0.0071218960765942,NA,NA,NA,NA,NA,NA,11,"early"
86,2019,2019-03-27,9,0.302433802021874,42.7285259102759,0.00700055533385473,NA,NA,NA,NA,NA,NA,12,"early"
87,2019,2019-03-28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"early"
88,2019,2019-03-29,34,0.247244569089483,39.9917734157537,0.00601619743849997,NA,NA,NA,NA,NA,NA,14,"recov2"
89,2019,2019-03-30,1424,0.212845385637695,36.6316588802862,0.00572560668244708,0.232331701229869,35.5124551778586,0.00647892598249875,-0.0194863155921743,1.11920370242755,-0.000753319300051665,15,"recov2"
90,2019,2019-03-31,2584,0.239575807642309,35.1993879762404,0.0066941552754485,NA,NA,NA,NA,NA,NA,16,"recov2"
91,2019,2019-04-01,931,0.269621298307799,39.3321770025021,0.00682120359405223,NA,NA,NA,NA,NA,NA,17,"recov2"
92,2019,2019-04-02,0,NA,NA,NA,0.270724448986177,37.2849297811116,0.00701766527324089,NA,NA,NA,18,"recov2"
93,2019,2019-04-03,0,NA,NA,NA,0.194520846512363,32.7974480361059,0.00582537241300858,NA,NA,NA,19,"recov2"
94,2019,2019-04-04,1690,0.210972082177687,36.6502204917059,0.00557530056518928,0.181788394698153,34.9466379670478,0.005154348919353,0.029183687479534,1.703582524658,0.000420951645836276,20,"recov2"
