"country","label","phif_pct","ci_lo","ci_hi"
"Zimbabwe","Idai_2019",-32,-34.2,-29.9
"Zimbabwe","Chalane_2020",-30.9,-45,-16.7
"Mozambique","Idai_2019",-12.2,-13.2,-11.2
"Mozambique","Kenneth_2019",-20.6,-30.5,-10.7
"Mozambique","Desmond_2019",19.5,7.4,31.6
"Mozambique","Chalane_2020",-0.6,-8.1,6.9
"Malawi","Idai_2019",2.6,0.9,4.4
"Botswana","Chalane_2020",-3.6,-65.6,58.4
"Madagascar","Belna_2019",-8.8,-16.7,-0.8
"Madagascar","Chalane_2020",-13.8,-16.4,-11.2
"Madagascar","Diane_2020",-12.8,-15,-10.6
"Madagascar","Francisco_2020",17.7,9.1,26.3
